advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SP	SP	128393027527	Facebook	u55_64	unknown (55-64)	NL	Netherlands	135	1	6052	2312	68	13
Lilian Marijnissen	SP	844559615710915	Facebook	u55_64	unknown (55-64)	NL	Netherlands	46	1	3205	1276	19	4
Stichting De Noordzee		128160633899802	Facebook	u55_64	unknown (55-64)	NL	Netherlands	26	1	2848	1199	17	3
Oxfam Novib		115289021825188	Facebook	u55_64	unknown (55-64)	NL	Netherlands	31	1	2499	999	44	12
Blendle		181375052003138	Facebook	u55_64	unknown (55-64)	NL	Netherlands	50	1	2437	786	30	4
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	u55_64	unknown (55-64)	NL	Netherlands	36	1	2014	689	13	2
Stichting Vluchteling		120034538112114	Facebook	u55_64	unknown (55-64)	NL	Netherlands	41	1	1806	590	24	5
Vereniging Eigen Huis		371735371563	Facebook	u55_64	unknown (55-64)	NL	Netherlands	15	1	1581	623	13	2
Facebook	Facebook	726281677519881	Facebook	u55_64	unknown (55-64)	NL	Netherlands	5	1	1333	666	11	5
Greenpeace Nederland		288295911466	Facebook	u55_64	unknown (55-64)	NL	Netherlands	15	1	1157	377	10	1
CDA	CDA	320374518118	Facebook	u55_64	unknown (55-64)	NL	Netherlands	7	1	941	411	4	1
Bas Eickhout	GroenLinks	208578955894331	Facebook	u55_64	unknown (55-64)	NL	Netherlands	30	1	936	297	8	1
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	u55_64	unknown (55-64)	NL	Netherlands	10	1	923	390	3	0
Vandebron		263935850440177	Facebook	u55_64	unknown (55-64)	NL	Netherlands	10	1	895	366	6	1
GroenLinks	GroenLinks	175740570505	Facebook	u55_64	unknown (55-64)	NL	Netherlands	21	1	881	332	8	2
European Parliament		178362315106	Facebook	u55_64	unknown (55-64)	NL	Netherlands	48	1	856	367	11	2
European Greens		141366725876424	Facebook	u55_64	unknown (55-64)	NL	Netherlands	21	1	685	278	7	1
Partij van de Arbeid (PvdA)	Partij van de Arbeid (PvdA)	113895885305052	Facebook	u55_64	unknown (55-64)	NL	Netherlands	26	1	580	257	4	0
Oxford Academic (Oxford University Press)		188890111132385	Facebook	u55_64	unknown (55-64)	NL	Netherlands	6	1	553	236	7	1
Europees Parlement Nederland		270788920480	Facebook	u55_64	unknown (55-64)	NL	Netherlands	39	1	546	228	5	1
ABN AMRO		206592029351928	Facebook	u55_64	unknown (55-64)	NL	Netherlands	13	1	519	222	5	1
Henk Jan Ormel	CDA	823537391322678	Facebook	u55_64	unknown (55-64)	NL	Netherlands	26	1	517	158	3	0
Milieu Centraal		177508708941577	Facebook	u55_64	unknown (55-64)	NL	Netherlands	10	1	475	170	2	0
Milieudefensie	Milieudefensie	83439828234	Facebook	u55_64	unknown (55-64)	NL	Netherlands	14	1	473	97	4	0
Saarland		882636711855443	Facebook	u55_64	unknown (55-64)	NL	Netherlands	2	1	461	181	1	0
