advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rd6	Last 6 days	NL	Netherlands	25	1	3935557	1766000	26814	8795
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	rd6	Last 6 days	NL	Netherlands	10	1	1814279	884999	7130	1428
Facebook	Facebook	726281677519881	Facebook	rd6	Last 6 days	NL	Netherlands	5	1	1603997	801999	14037	6399
Henk Jan Ormel	CDA	823537391322678	Facebook	rd6	Last 6 days	NL	Netherlands	24	1	1327866	499940	6389	1237
SP	SP	128393027527	Facebook	rd6	Last 6 days	NL	Netherlands	31	1	1219375	473599	6535	1139
GroenLinks	GroenLinks	175740570505	Facebook	rd6	Last 6 days	NL	Netherlands	34	1	1124323	421010	11210	2368
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	rd6	Last 6 days	NL	Netherlands	33	1	1077288	451370	7904	2093
European Greens		141366725876424	Facebook	rd6	Last 6 days	NL	Netherlands	17	1	1052263	441113	11023	2346
Prove Them Wrong	Prove Them Wrong	435711596958375	Facebook	rd6	Last 6 days	NL	Netherlands	28	1	848590	327998	2737	264
Oxfam Novib		115289021825188	Facebook	rd6	Last 6 days	NL	Netherlands	33	1	830692	347583	14143	3971
Partij van de Arbeid (PvdA)	Partij van de Arbeid (PvdA)	113895885305052	Facebook	rd6	Last 6 days	NL	Netherlands	10	1	770216	375041	3681	1116
VVD		121264564551002	Facebook	rd6	Last 6 days	NL	Netherlands	13	1	693822	260666	2631	674
De Goede Zaak	DeGoedeZaak	264564577356897	Facebook	rd6	Last 6 days	NL	Netherlands	12	1	636081	285951	2308	299
Malik Azmani	Malik Azmani	1734459723547461	Facebook	rd6	Last 6 days	NL	Netherlands	53	1	489964	135311	4978	166
CDA	CDA	320374518118	Facebook	rd6	Last 6 days	NL	Netherlands	5	1	331554	153686	2004	374
Europees Parlement Nederland		270788920480	Facebook	rd6	Last 6 days	NL	Netherlands	7	1	300327	60000	1826	299
D66	D66	52985377549	Facebook	rd6	Last 6 days	NL	Netherlands	7	1	260904	97363	1778	370
Jeroen Lenaers		316960281776479	Facebook	rd6	Last 6 days	NL	Netherlands	13	1	207958	83113	1874	200
Jacques Michel Bloi - VVD #13 voor Europa	Bloi Jacques M	1435938086636544	Facebook	rd6	Last 6 days	NL	Netherlands	4	1	183329	36666	363	0
Theo Alkemade	Alkemade Theodoor C W M	298059754467115	Facebook	rd6	Last 6 days	NL	Netherlands	11	1	180132	69857	1661	159
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd6	Last 6 days	NL	Netherlands	34	1	147885	49451	1499	3
Daan Versteeg	Versteeg Daniel R	1010657719133321	Facebook	rd6	Last 6 days	NL	Netherlands	37	1	103140	17551	3263	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	rd6	Last 6 days	NL	Netherlands	6	1	101536	20539	200	0
Bas Eickhout	GroenLinks	208578955894331	Facebook	rd6	Last 6 days	NL	Netherlands	2	1	100997	49999	1097	499
VluchtelingenWerk Nederland		107872495911431	Facebook	rd6	Last 6 days	NL	Netherlands	3	1	99998	20000	198	0
