advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	m	male	PT	Portugal	93	1	4823547	2048809	16474	3437
Kialo		729627343834501	Facebook	m	male	PT	Portugal	372	1	4193883	1755902	19110	4688
Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	m	male	PT	Portugal	56	1	2721226	1137669	3726	260
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	m	male	PT	Portugal	55	1	1319347	605680	2616	646
European Commission		107898832590939	Facebook	m	male	PT	Portugal	10	1	1285367	569186	2084	810
Greens/EFA in the European Parliament		150527751674751	Facebook	m	male	PT	Portugal	54	1	683811	279183	1070	146
Página Miguel Viegas		194651341130667	Facebook	m	male	PT	Portugal	13	1	600028	240240	2117	344
National Geographic		107307059419	Facebook	m	male	PT	Portugal	4	1	596271	295296	274	51
MEO		69209479569	Facebook	m	male	PT	Portugal	4	1	493152	195622	729	244
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m	male	PT	Portugal	36	1	481809	206347	1409	290
Carlos Coelho		306796832807017	Facebook	m	male	PT	Portugal	6	1	448879	224441	1960	392
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	m	male	PT	Portugal	59	1	417741	177195	1506	298
Esquerda Net	Esquerda Net	116426248469551	Facebook	m	male	PT	Portugal	4	1	367068	183535	1584	718
VoteWatch Europe		355087424564148	Facebook	m	male	PT	Portugal	8	1	347384	145591	780	277
Rios Livres		247517791943794	Facebook	m	male	PT	Portugal	9	1	328678	127144	914	102
Fundação Calouste Gulbenkian		49386033906	Facebook	m	male	PT	Portugal	1	1	317036	158518	158	31
Democracia para todos		141310866605696	Facebook	m	male	PT	Portugal	14	1	315394	97292	1077	55
José Manuel Fernandes		255056481315205	Facebook	m	male	PT	Portugal	3	1	294223	147112	770	144
The Bamboo Brush Society		1152885191422950	Facebook	m	male	PT	Portugal	34	1	246358	95187	534	55
Uiu		907141939410106	Facebook	m	male	PT	Portugal	4	1	224068	84558	248	39
Stone Brewing Spain		1619410238105995	Facebook	m	male	PT	Portugal	1	1	176767	70707	35	0
item Industrietechnik		263210250720782	Facebook	m	male	PT	Portugal	6	1	159309	37347	556	0
Um universitário também chora		1429916380583545	Facebook	m	male	PT	Portugal	5	1	145180	52245	172	0
Instituto Universitário da Maia - ISMAI	Instituto Universitário da Maia - ISMAI	126517847414252	Facebook	m	male	PT	Portugal	15	1	135562	29513	638	0
European Youth Event		919232861444360	Facebook	m	male	PT	Portugal	6	1	131570	59837	176	63
