advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	d107	2019-04-17	RO	Romania	23	1	1884128	839152	3475	756
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	d107	2019-04-17	RO	Romania	16	1	604982	239995	1903	495
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	d107	2019-04-17	RO	Romania	12	1	593326	284165	1687	439
George Simion	George Simion	2212856535602171	Facebook	d107	2019-04-17	RO	Romania	2	1	549997	209999	1155	231
Romania #nuepsd	Future Innovation	293215748279337	Facebook	d107	2019-04-17	RO	Romania	1	1	499951	199980	209	105
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	d107	2019-04-17	RO	Romania	6	1	448921	203984	680	136
Politice.net	politice.net	2546711162025064	Facebook	d107	2019-04-17	RO	Romania	1	1	333334	166667	350	70
România în primul rând	Future Innovation	770704223323599	Facebook	d107	2019-04-17	RO	Romania	13	1	284413	119333	403	140
Rares Bogdan		204397909629079	Facebook	d107	2019-04-17	RO	Romania	1	1	249999	100000	52	10
Departamentul pentru Mediul de Afaceri, Comerţ şi Antreprenoriat al PSD	Partidul Social Democrat	1238111743018265	Facebook	d107	2019-04-17	RO	Romania	1	1	249998	99999	52	10
European Commission		107898832590939	Facebook	d107	2019-04-17	RO	Romania	10	1	229492	113996	499	143
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	d107	2019-04-17	RO	Romania	5	1	205999	90200	560	136
Video News		329122497569429	Facebook	d107	2019-04-17	RO	Romania	1	1	124999	49999	262	52
RMDSZ	RMDSZ	102601499822802	Facebook	d107	2019-04-17	RO	Romania	9	1	123468	53439	127	34
Departamentul pentru Turism - Partidul Social Democrat		339973510194748	Facebook	d107	2019-04-17	RO	Romania	2	1	113332	56666	122	24
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	d107	2019-04-17	RO	Romania	1	1	99999	50000	104	21
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	d107	2019-04-17	RO	Romania	1	1	99999	49999	52	10
Departamentul pentru Cultură, Culte și Identitate Națională	Partidul Social Democrat	2054973768128327	Facebook	d107	2019-04-17	RO	Romania	1	1	99999	50000	52	10
Greenpeace Romania		291132089193	Facebook	d107	2019-04-17	RO	Romania	32	1	64996	22333	164	7
Dan Barna	Uniunea Salvați România - USR	207255636351408	Facebook	d107	2019-04-17	RO	Romania	3	1	62498	27499	131	57
PNL Bucuresti		678840505584990	Facebook	d107	2019-04-17	RO	Romania	1	1	49999	24999	111	22
Libertatea.ro		419144368651944	Facebook	d107	2019-04-17	RO	Romania	1	1	49999	25000	10	0
Declic	Declic	686190454826244	Facebook	d107	2019-04-17	RO	Romania	4	1	42915	12333	64	18
Partidul Mișcarea Populară	Partidul Mișcarea Populară	581911828514783	Facebook	d107	2019-04-17	RO	Romania	1	1	33333	16666	34	7
Marian-Jean Marinescu		207673790490	Facebook	d107	2019-04-17	RO	Romania	3	1	30169	6034	63	0
