advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	county_monaghan_IE	County Monaghan, Ireland	2	1	8063	3539	17	6
Michael  O'Dowd for Europe	O'Dowd Michael Joseph	878147035569806	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	1946	389	3	0
Matt Carthy	Carthy Matt	580216935345125	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	1351	675	13	0
Leo Varadkar T.D.	Fine Gael	178974912140818	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	1161	232	2	0
Sinn Féin Ireland	Sinn Féin	148726998530273	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	808	161	1	0
Dr. Fidelma Healy Eames Independent Candidate, EU elections	Healy Eames Fidelma	395965057626422	Facebook	county_monaghan_IE	County Monaghan, Ireland	9	1	701	178	16	0
Aontú	Toibin Peadar Pol	1052704411520149	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	262	52	5	0
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	234	46	4	0
Green Party Ireland	Green Party Ireland	108339693065	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	170	34	0	0
Alex White	Mc Kinney Eunan Anthony	58389344622	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	140	70	1	0
Paul Nolan - Social Democrats Meath East	King John	1838758749501583	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	109	54	1	0
European Commission	European Commission	107898832590939	Facebook	county_monaghan_IE	County Monaghan, Ireland	2	1	65	32	0	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	county_monaghan_IE	County Monaghan, Ireland	2	1	21	5	0	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	county_monaghan_IE	County Monaghan, Ireland	1	1	14	7	0	0
