advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	f25_34	female (25-34)	DE	Germany	4952	1	2216569	396027	79587	0
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	f25_34	female (25-34)	DE	Germany	813	1	413255	69794	15367	33
FDP	FDP	21289227249	Facebook	f25_34	female (25-34)	DE	Germany	557	1	356239	59901	9724	17
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	f25_34	female (25-34)	DE	Germany	2	1	166075	66471	1660	331
European Parliament	European Parliament	178362315106	Facebook	f25_34	female (25-34)	DE	Germany	1	1	150350	75175	751	150
Party of the European Left	Franziska Laskowski	160598290012	Facebook	f25_34	female (25-34)	DE	Germany	1	1	63906	25562	63	12
Berliner Stadtwerke	Berliner Stadtwerke	765844936882239	Facebook	f25_34	female (25-34)	DE	Germany	3	1	36735	15855	225	45
Europäisches Parlament - Verbindungsbüro in Deutschland	Europäisches Parlament - Verbindungsbüro in Deutschland	294494163510	Facebook	f25_34	female (25-34)	DE	Germany	2	1	35667	17833	126	47
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	f25_34	female (25-34)	DE	Germany	20	1	31133	9451	330	33
PARTEI MENSCH UMWELT TIERSCHUTZ	PARTEI MENSCH UMWELT TIERSCHUTZ	108568039165729	Facebook	f25_34	female (25-34)	DE	Germany	6	1	24539	4883	264	47
Monika Hohlmeier	Monika Hohlmeier	139065632780165	Facebook	f25_34	female (25-34)	DE	Germany	9	1	20736	4226	80	7
Landtag Rheinland-Pfalz	Landtag Rheinland-Pfalz	1339267256128796	Facebook	f25_34	female (25-34)	DE	Germany	2	1	19920	4686	198	35
Junge Liberale JuLis	Junge Liberale	110976485656573	Facebook	f25_34	female (25-34)	DE	Germany	2	1	19680	3936	196	39
Peter Gillo	Peter Gillo	578310722649724	Facebook	f25_34	female (25-34)	DE	Germany	3	1	18410	4297	183	32
Greenpeace Deutschland	Greenpeace Deutschland	22541752487	Facebook	f25_34	female (25-34)	DE	Germany	16	1	15269	3574	316	0
ÖDP Nordrhein-Westfalen	Ökologisch-Demokratische Partei (ÖDP) NRW	138480036196810	Facebook	f25_34	female (25-34)	DE	Germany	3	1	13512	2691	32	0
Uwe Conradt: Saarbrücken - gemeinsam - voran.	CDU Saarbrücken Stadt	577254072692345	Facebook	f25_34	female (25-34)	DE	Germany	4	1	11808	2942	56	0
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	f25_34	female (25-34)	DE	Germany	75	1	11296	327	1018	0
FDP Hessen	FDP Hessen	188188564583	Facebook	f25_34	female (25-34)	DE	Germany	2	1	9952	1990	19	0
ver.di	la red	252085013582	Facebook	f25_34	female (25-34)	DE	Germany	1	1	9854	4927	98	49
Delara Burkhardt	SPD Schleswig-Holstein	260587924600836	Facebook	f25_34	female (25-34)	DE	Germany	1	1	7761	1552	15	0
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	f25_34	female (25-34)	DE	Germany	4	1	6981	1370	36	0
Jusos in der SPD	Jusos in der SPD	40415227476	Facebook	f25_34	female (25-34)	DE	Germany	2	1	6657	1331	13	0
MENSCHLICHE WELT	Menschliche Welt	245758938922923	Facebook	f25_34	female (25-34)	DE	Germany	6	1	6458	1442	60	7
Fridays For Future Münster	Fridays for Future	1212444868905059	Facebook	f25_34	female (25-34)	DE	Germany	3	1	6418	1283	23	0
