advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Miikka-Markus Leskinen europarlamenttiin	Leskinen Miikka-Markus	1964589417153542	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	2	1	7797	1559	126	5
Mauri Pekkarinen	Mauri Pekkarinen	177939666416553	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	4735	947	47	9
Poliitikko Sami Yli-Rahnasto	Pohjanmaan Kokoomus ry	371635287025743	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	3425	685	6	0
Tuomas Tikkanen	Tikkanen Juho Tuomas	2139907472900957	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	4	1	3318	589	122	3
Mia Haglund	Mia Haglund MEPiksi -kampanja	252498358197157	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	5	1	2234	531	29	3
Antton Rönnholm	Antton Rönnholm	575908612596562	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	6	1	1841	349	21	0
Petra Schulze Steinen	Schulze-Steinen Petra Elina Marjatta	266912807301110	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	3	1	1170	34	102	0
Kaisa Penny	Kaisa Penny	259256970891807	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	2	1	1106	21	101	0
European Parliament	European Parliament	178362315106	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	679	339	6	3
Sirpa Pietikäinen	Sirpa Pietikäinen	140188405326	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	2	1	566	143	5	0
Kristillisdemokraatit	Kristillisdemokraatit	157614802920	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	3	1	333	63	5	0
Karri Ollila Europarlamenttiin 2019	Karri Ollila	300059733998436	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	194	97	1	0
Mikkel Näkkäläjärvi	Nakkalajarvi Mikkel Antte Iisakki	617733068345315	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	4	1	135	24	3	0
Pekka Shemeikka	Nokela Matti Juhani Philip	591986911282315	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	115	23	2	0
Olli Kotro Euroopan parlamenttiin 2019	Kauko Niko Aleksanteri	2211654885785838	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	3	1	100	17	2	0
Matilda af Hällström	af Hällström Matilda Linnea Alice	430195364409025	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	91	18	1	0
Paula Aikio-Tallgren EU-vaaliehdokas	Pohjoisen asian osaajat ry	510346432432044	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	65	13	1	0
Arto Luukkanen	Riekkovaara Niko Tapani	1527478777519070	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	2	1	53	9	1	0
Äänioikeus.fi		753565071658403	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	39	7	0	0
VIKES Viestintä ja kehitys -säätiö	Viestintä ja kehitys -säätiö	381290523932	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	36	0	3	0
Tekniikan Maailma	Rainisto Sami Pasi Kalevi	309780042465696	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	34	6	0	0
Mikko Ohela	Mikko Ohela	201647537374497	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	29	5	0	0
Perussuomalaiset	Perussuomalaiset	181106108341	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	29	5	0	0
Filip Hamro-Drotz	HAMRO-DROTZ DENNIS MIKAEL	2251922594829597	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	27	0	2	0
Matleena Käppi	Matleena Käpin vuoden 2019 vaalien tukiyhdistys	1806983809518838	Facebook	pirkanmaa	Pirkanmaa	FI	Finland	1	1	24	4	0	0
