advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ian Borg	Ian Borg	151496594943131	Facebook	65_	65+	MT	Malta	5	1	19526	4374	78	0
European Parliament	European Parliament	178362315106	Facebook	65_	65+	MT	Malta	2	1	15682	3136	93	15
Partit Nazzjonalista	Partit Nazzjonalista	159249234115841	Facebook	65_	65+	MT	Malta	2	1	7301	1460	50	8
Michael Briguglio	Michael Briguglio	1040577706078198	Facebook	65_	65+	MT	Malta	9	1	4856	886	129	0
Roberta Metsola	Roberta Metsola	406824526101449	Facebook	65_	65+	MT	Malta	5	1	4373	1294	72	0
Martin Cauchi Inglott II	Martin Cauchi Inglott 	381424722583691	Facebook	65_	65+	MT	Malta	1	1	3900	780	7	0
Cyrus Engerer	Cyrus Engerer	212468218793878	Facebook	65_	65+	MT	Malta	8	1	3311	606	87	0
Alfred Sant	Alfred Sant	537789116260209	Facebook	65_	65+	MT	Malta	5	1	3229	602	81	0
Roselyn Borg Knight	Roselyn Borg	446487702156732	Facebook	65_	65+	MT	Malta	5	1	2552	460	70	0
Miriam Dalli	Miriam Dalli	277980849002904	Facebook	65_	65+	MT	Malta	5	1	2295	800	38	0
Francis Zammit Dimech	Francis Zammit Dimech	117406495021568	Facebook	65_	65+	MT	Malta	4	1	2067	358	62	0
Frank Psaila	Frank Psaila	458318884361628	Facebook	65_	65+	MT	Malta	3	1	1896	616	44	0
David Casa	David Casa	193035580892638	Facebook	65_	65+	MT	Malta	1	1	1831	366	3	0
Josef Caruana	Josef Caruana	166617437361908	Facebook	65_	65+	MT	Malta	2	1	1509	302	29	0
Ralph Puli: Kap tal-Kunsilliera PN f'Hal Qormi	Ralph Puli	312887412236411	Facebook	65_	65+	MT	Malta	7	1	1386	0	137	0
Dr. Anthony Buttigieg	Buttigieg Anthony Emanuel	410157219370162	Facebook	65_	65+	MT	Malta	2	1	1304	205	47	0
European Parliament Office in Malta	European Parliament Office in Malta	116353271736965	Facebook	65_	65+	MT	Malta	1	1	1235	247	24	0
Live Communications for MEP Elections May 2019	Stephen Florian	962042630582450	Facebook	65_	65+	MT	Malta	3	1	1042	155	41	0
Alex Agius Saliba	Alex Agius Saliba	656955664383156	Facebook	65_	65+	MT	Malta	2	1	829	164	17	0
Robert Micallef for MEP	Robert James Bugeja	2123200014472283	Facebook	65_	65+	MT	Malta	1	1	690	138	1	0
Malta Independent	Malta Independent	480288348662981	Facebook	65_	65+	MT	Malta	5	1	628	44	44	0
Tabib Malcolm Paul Galea	Malcolm Paul Galea	558899981162708	Facebook	65_	65+	MT	Malta	1	1	364	72	7	0
European Commission	European Commission	107898832590939	Facebook	65_	65+	MT	Malta	2	1	347	173	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	65_	65+	MT	Malta	2	1	160	48	0	0
Romilda Baldacchino Zarb	Romilda Baldacchino Zarb	295310111175191	Facebook	65_	65+	MT	Malta	1	1	124	0	12	0
Anna Azzopardi	Ann Marie Azzopardi	380497969456408	Facebook	65_	65+	MT	Malta	1	1	111	0	11	0
