advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
VVD	VVD	121264564551002	Facebook	m35_44	male (35-44)	NL	Netherlands	5	1	50411	23593	182	31
European Parliament	European Parliament	178362315106	Facebook	m35_44	male (35-44)	NL	Netherlands	4	1	40245	16781	368	71
ChristenUnie	ChristenUnie	211661062254003	Facebook	m35_44	male (35-44)	NL	Netherlands	20	1	32916	6521	95	0
D66	D66	52985377549	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	11090	4444	25	3
GroenLinks	GroenLinks	175740570505	Facebook	m35_44	male (35-44)	NL	Netherlands	4	1	7378	3627	51	6
PvdA Amsterdam	Partij van de Arbeid (PvdA)	170060616402275	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	6454	1290	64	12
De Goede Zaak	DeGoedeZaak	264564577356897	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	2732	546	7	0
Malik Azmani	Malik Azmani	1734459723547461	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	1648	824	16	0
Daan Versteeg	Versteeg Daniel R	1010657719133321	Facebook	m35_44	male (35-44)	NL	Netherlands	10	1	1538	214	67	0
Esther de Lange	Esther de Lange	206205079489175	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	1358	679	13	0
Theo Alkemade	Alkemade Theodoor C W M	298059754467115	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	1094	218	21	0
ABN AMRO		206592029351928	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	707	353	7	0
Jeroen Lenaers	Jeroen Lenaers	316960281776479	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	692	138	13	0
European Commission	European Commission	107898832590939	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	451	225	1	0
Jeroen Janssen - kandidaat Europarlementariër	Van Oosterbosch Benjamin	921841297985499	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	404	80	8	0
VVD Goeree-Overflakkee	VVD Goeree-Overflakkee	305812906126532	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	385	77	7	0
Jacques Michel Bloi - VVD #13 voor Europa	Bloi Jacques M	1435938086636544	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	324	64	6	0
lunaslatexx	Berkers Julia Floor	1275687902594977	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	292	0	29	0
Kati Piri	PvdA	254626848046622	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	217	0	21	0
VVD Tytsjerksteradiel		971443309666536	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	192	0	19	0
Jimmy Bastings	Bastings Jimmy Anna Hubertus	2262432790696805	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	163	32	3	0
VVD Leidschendam-Voorburg	VVD Leidschendam-Voorburg	498944610134140	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	159	0	15	0
VoteEuropa Nederland	Lacsamana Marlon Toledo	373618906826123	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	152	76	1	0
PvdA Enschede	PvdA Enschede	436001856449324	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	147	0	14	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	124	62	0	0
Maurice Hoogeveen	Hoogeveen Willem M	577556976024596	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	107	0	10	0
VVD Alphen a/d Rijn	Leenaerts Bas M	473422542679870	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	92	0	9	0
Terre des Hommes Nederland		285512534937	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	45	0	4	0
Peter Mertens	PVDA	236485149843971	Facebook	m35_44	male (35-44)	NL	Netherlands	5	1	41	19	0	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	m35_44	male (35-44)	NL	Netherlands	3	1	30	11	0	0
Kim De Witte	PVDA	315662412174661	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	22	4	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	13	2	0	0
CDH liste à la Chambre province de Liège	CDH - Centre Démocrate Humaniste	268478507423505	Facebook	m35_44	male (35-44)	NL	Netherlands	4	1	13	2	0	0
Bart Smans, 17e plaats N-VA Vlaams Parlement	N-VA	800585406798122	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	2	1	0	0
Jos D'Haese	PVDA	1397002987227704	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	1	0	0	0
Lode Ceyssens	Lode Ceyssens	690224427744073	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	1	0	0	0
Charis Kamoen	Kamoen Charis Oswald M	207387513240677	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	1	0	0	0
N-VA Mol	N-VA Mol	293016180727875	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	0	0	0	0
Joris Vandenbroucke	Vandenbroucke Joris Jeroen J	984867054996076	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	0	0	0	0
Christian Leysen	Christian Leysen	403864600161608	Facebook	m35_44	male (35-44)	NL	Netherlands	2	1	0	0	0	0
Alain Mertes	Vivant Ostbelgien	168912413949537	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	0	0	0	0
Open Vld	Open Vld	53668151866	Facebook	m35_44	male (35-44)	NL	Netherlands	4	1	0	0	0	0
Wouter Vermeersch	Vlaams Belang	1819099895078637	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	0	0	0	0
Evi Van Camp	Van Camp Evi	1758937624358952	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	0	0	0	0
Michelle Ginée	Ginee Michelle	1059190017557242	Facebook	m35_44	male (35-44)	NL	Netherlands	1	1	0	0	0	0
