advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Moderaterna	Moderaterna	7719591155	Facebook	0_1k	0 - 1k	SE	Sweden	8	1	7992	0	110	9
Sverigedemokraterna Kalmar län	Kotanen Mika Erik	117200235024372	Facebook	0_1k	0 - 1k	SE	Sweden	7	1	6993	0	64	0
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	0_1k	0 - 1k	SE	Sweden	7	1	6993	0	64	0
Magnus Kolsjö	Magnus Kolsjö	46378622086	Facebook	0_1k	0 - 1k	SE	Sweden	6	1	5994	0	55	0
Islamic Relief Sverige	Islamic Relief Sverige	121702404531696	Facebook	0_1k	0 - 1k	SE	Sweden	5	1	4994	0	45	0
Miljöpartiet de gröna i Örebro	Miljöpartiet de gröna i Örebro	149671858392184	Facebook	0_1k	0 - 1k	SE	Sweden	4	1	3995	0	36	0
David Lega	Kristdemokraterna	251829904829983	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Linus Lakso - MP	Miljöpartiet de gröna	1038425926323402	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Maria Johansson Liberalerna	Johansson Maria Birgitta	200983887194604	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
En Företagares Vardag	Eriksson Mats Ove	347852331958080	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Sverigedemokraterna Norrtelje	Sverigedemokraterna Norrtelje	231584306927975	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Kristdemokraterna Stockholm	Kristdemokraterna Stockholm	176875999028086	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Liberalerna Luleå	Liberalerna Luleå	588513591196975	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Kristdemokraterna i Marks kommun	Hermansson Per-Olof Ingvar	511527222310641	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Miljöpartiet de gröna i Malmö	Miljöpartiet de gröna i Malmö	1506025182942351	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Kristdemokraterna i Örebro län	Cesar Eje Alexander	430535663641398	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Kristdemokraterna på Gotland	Kristdemokraterna på Gotland	1375539726041747	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Vänsterpartiet Skåne	Vänsterpartiet Skåne	111566022258925	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Moderaterna i Varberg	Moderaterna	665682436792792	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1998	0	18	0
Miljöpartiet de gröna Gävle	Johansson Evelina Sofia	127624557250669	Facebook	0_1k	0 - 1k	SE	Sweden	2	1	1997	0	18	0
Kristdemokraterna Täby	Kristdemokraterna Täby	500140550093378	Facebook	0_1k	0 - 1k	SE	Sweden	1	1	999	0	9	0
Vänsterpartiet Helsingborg	Mattiasson Saarinen Ingrid Kristina	732887920091032	Facebook	0_1k	0 - 1k	SE	Sweden	1	1	999	0	9	0
Sverigedemokraterna Värmlands län	Grahn Mats Andreas Johnny	336384546384299	Facebook	0_1k	0 - 1k	SE	Sweden	1	1	999	0	9	0
Socialdemokraterna Västmanland	Socialdemokraterna Västmanland	439408222749809	Facebook	0_1k	0 - 1k	SE	Sweden	1	1	999	0	9	0
Malin Forsbrand kommunalråd Vaxholm	Forsbrand Malin Kristina	298053177394356	Facebook	0_1k	0 - 1k	SE	Sweden	1	1	999	0	9	0
