advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Patricija Šulin	SDS - Slovenska demokratska stranka	1541413339429015	Facebook	65_	65+	SI	Slovenia	3	1	8829	1765	41	0
Socialni demokrati (SD)	Socialni demokrati (SD)	12676777580	Facebook	65_	65+	SI	Slovenia	32	1	7242	787	405	0
European Parliament	European Parliament	178362315106	Facebook	65_	65+	SI	Slovenia	1	1	7227	1445	14	0
SAB - Stranka Alenke Bratušek	SAB - Stranka Alenke Bratušek	242210245976248	Facebook	65_	65+	SI	Slovenia	1	1	6539	1307	12	0
Časopis Slovenec	Slovenska ljudska stranka (SLS)	240130223029252	Facebook	65_	65+	SI	Slovenia	2	1	2374	845	34	0
Franc Bogovič	Slovenska ljudska stranka (SLS)	288826994603012	Facebook	65_	65+	SI	Slovenia	4	1	2102	575	36	0
Janez Janša	SDS - Slovenska demokratska stranka	32585228571	Facebook	65_	65+	SI	Slovenia	2	1	749	267	10	0
Tanja Fajon	Socialni demokrati (SD)	73452413740	Facebook	65_	65+	SI	Slovenia	3	1	510	0	50	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	65_	65+	SI	Slovenia	3	1	452	191	0	0
Ljubica Jelušič	Socialni demokrati (SD)	400257777082904	Facebook	65_	65+	SI	Slovenia	1	1	394	0	39	0
Matjaž Nemec	Socialni demokrati (SD)	642148249206716	Facebook	65_	65+	SI	Slovenia	2	1	364	0	36	0
SDS - Slovenska demokratska stranka	SDS - Slovenska demokratska stranka	30790585231	Facebook	65_	65+	SI	Slovenia	1	1	336	67	6	0
Aleksander Jevšek	Socialni demokrati (SD)	1459898434295068	Facebook	65_	65+	SI	Slovenia	2	1	320	0	31	0
Franc Hočevar	Socialni demokrati (SD)	314250359445858	Facebook	65_	65+	SI	Slovenia	1	1	279	0	27	0
European Commission	European Commission	107898832590939	Facebook	65_	65+	SI	Slovenia	2	1	98	49	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	65_	65+	SI	Slovenia	2	1	90	26	0	0
Isabella De Monte	Walter Godina - Mandatario Elettorale di Isabella De Monte	152661171597544	Facebook	65_	65+	SI	Slovenia	1	1	3	0	0	0
Luca Vidoni	Luca Onorio Vidoni	392986254173330	Facebook	65_	65+	SI	Slovenia	1	1	0	0	0	0
