advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	116960	49203	245	104
Social Democrats	Social Democrats	1012851375393300	Facebook	m25_34	male (25-34)	IE	Ireland	16	1	40176	9326	185	0
Mark Durkan	Fine Gael	2002340613394109	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	32727	16363	163	32
Leo Varadkar T.D.	Fine Gael	178974912140818	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	12048	4776	47	7
Jen Cummins Social Democrats	Social Democrats	359027571515876	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	9995	1999	19	0
Matt Carthy	Carthy Matt	580216935345125	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	8683	2312	32	0
Cllr. Éilis Ryan for Europe	The Workers' Party of Ireland	787376334669425	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	8211	1642	81	16
Malcolm Byrne	Malcolm Byrne Page	34812247970	Facebook	m25_34	male (25-34)	IE	Ireland	4	1	7683	1805	46	0
Paddy Monahan Soc Dems	Social Democrats	243736776300023	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	6909	1381	13	0
Green Party Ireland	Green Party Ireland	108339693065	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	6293	1258	12	0
Deirdre Clune MEP	Deirdre Clune MEP	516116248507364	Facebook	m25_34	male (25-34)	IE	Ireland	4	1	4182	1092	54	4
Denise McMorrow for Dublin 2019	Mc Morrow Denise	438930423601172	Facebook	m25_34	male (25-34)	IE	Ireland	4	1	3393	662	73	0
Sinn Féin Ireland	Sinn Féin	148726998530273	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	2916	583	5	0
Michael  O'Dowd for Europe	O'Dowd Michael Joseph	878147035569806	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	2856	554	13	0
Dr. Fidelma Healy Eames Independent Candidate, EU elections	Healy Eames Fidelma	395965057626422	Facebook	m25_34	male (25-34)	IE	Ireland	9	1	2691	547	71	0
Blaine Gaffney	Blaine O' Gamhna	371962112988652	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	2591	824	41	0
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	1867	729	25	0
Paul Nolan - Social Democrats Meath East	King John	1838758749501583	Facebook	m25_34	male (25-34)	IE	Ireland	3	1	1680	777	27	0
Cllr.June Murphy Social Democrat candidate	Social Democrats	196651674600841	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	1413	706	13	0
Barry Andrews for Europe	Barry Andrews	188114061407	Facebook	m25_34	male (25-34)	IE	Ireland	5	1	1398	170	71	0
Gary Gannon 4 Europe	The Gary Gannon 4 Europe Campaign	691388720903801	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	1300	260	25	0
European Commission	European Commission	107898832590939	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	994	497	2	0
Adrienne Wallace - People Before Profit	Wallace Adrienne Catherine	1555518121383424	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	821	134	28	0
Liam Boyle Labour	Ó BAOILL ANDREW	555153594978666	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	813	162	16	0
Sharon Nolan	Nolan Sharon Kathryn	399903233737537	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	790	133	25	0
Cllr Kevin Daly	Daly Kevin	344182612453224	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	766	153	15	0
Daniel Whooley - Ongar	Ben O'Leary Fitzpatrick 	566106640523884	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	737	147	14	0
Alex White	Mc Kinney Eunan Anthony	58389344622	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	737	369	7	0
Fintan Brett	Brett Fintan Peter	345949292941023	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	639	127	12	0
Owen Hanley	Owen Hanley	234006030801926	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	635	127	12	0
Aontú	Toibin Peadar Pol	1052704411520149	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	563	112	11	0
Eoin Barry For Laois Council 2019	Barry Eoin	469695723432344	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	465	93	9	0
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	387	77	7	0
Cyril Brennan - People Before Profit	People Before Profit - Midlands North West	164750800796944	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	385	77	7	0
Sam O'Connor - Balbriggan & Skerries	O'Connor Samuel Simon	1002067016657679	Facebook	m25_34	male (25-34)	IE	Ireland	3	1	313	0	31	0
Malachy Hand - FF Local Election Candidate for South Roscommon	Hand Malachy	949185501928800	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	310	0	30	0
Orla Kelly	Orla Kelly	284729489119670	Facebook	m25_34	male (25-34)	IE	Ireland	3	1	299	0	29	0
Mairéad Farrell - Sinn Féin	Farrell Mairead	213927028776676	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	291	0	28	0
Cormac MacGowan	Mac Gowan Cormac	2224427621206563	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	262	0	25	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	253	126	0	0
Luke Crowley-Holland	CROWLEY-HOLLAND LUKE	404745130303486	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	213	0	21	0
Fiona Nolan Fianna Fáil	Sweeney Simon Martin	2220109951652114	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	192	0	19	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	m25_34	male (25-34)	IE	Ireland	4	1	182	73	0	0
Declan Burke - Fianna Fáil - Tallaght Central	Burke Declan	666587086733858	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	179	0	17	0
Kate O'Connell TD	O'Connell Kate	203442726495682	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	148	0	14	0
Clare Claffey Social Democrats	Social Democrats Laois Offaly	289004898593218	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	135	0	13	0
Dublin  Bay South Greens	Dublin Bay South Green Party	474701085946722	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	134	0	13	0
Aidan Farrelly Social Democrats	Farrelly Aidan	1907649435989003	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	127	0	12	0
Julie O'Leary	O'Leary Julie	1395595887405642	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	103	0	10	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	m25_34	male (25-34)	IE	Ireland	2	1	88	19	0	0
Buncrana & South Inishowen Sinn Féin	Ni Bhroin Sinead	620153045086951	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	77	0	7	0
West Cork People Before Profit Alliance	O'Sullivan Vanessa	174190439384938	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	74	0	7	0
Louis O'Hara - Sinn Féin	O'HARA LOUIS JOSEPH	290382001169403	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	66	0	6	0
Beckha Doyle - Social Democrat for Scarriff & Killaloe	Beckha Doyle For Scarriff Killaloe	286051255266972	Facebook	m25_34	male (25-34)	IE	Ireland	1	1	40	0	4	0
