advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	u25_34	unknown (25-34)	IT	Italy	29	1	953	355	2	0
Carlo Calenda	Siamo Europei	131887960826264	Facebook	u25_34	unknown (25-34)	IT	Italy	1	1	431	172	0	0
European Commission	European Commission	107898832590939	Facebook	u25_34	unknown (25-34)	IT	Italy	3	1	346	148	0	0
Brando Benifei	Brando Benifei	291380024325396	Facebook	u25_34	unknown (25-34)	IT	Italy	2	1	248	49	0	0
Caterina Avanza	Partito Democratico - Caterina Avanza	623847078064207	Facebook	u25_34	unknown (25-34)	IT	Italy	4	1	244	55	1	0
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	u25_34	unknown (25-34)	IT	Italy	1	1	218	109	0	0
Caterina Cerroni	Caterina Cerroni	1618719834925589	Facebook	u25_34	unknown (25-34)	IT	Italy	2	1	203	98	0	0
Partito Democratico	Partito Democratico	77034286895	Facebook	u25_34	unknown (25-34)	IT	Italy	1	1	142	71	0	0
Livio Lucà Trombetta	Livio Lucà Trombetta	432269534242217	Facebook	u25_34	unknown (25-34)	IT	Italy	5	1	131	34	1	0
Festival Psicologia	Ordine degli Psicologi del Lazio	375703235973864	Facebook	u25_34	unknown (25-34)	IT	Italy	3	1	122	53	0	0
Giuseppe Cossalter	Giuseppe Cossalter	1981132658773307	Facebook	u25_34	unknown (25-34)	IT	Italy	3	1	119	23	0	0
Nicola Danti	Nicola Danti	241424056063716	Facebook	u25_34	unknown (25-34)	IT	Italy	3	1	111	22	0	0
Renate Holzeisen	Team Köllensperger	840785932926956	Facebook	u25_34	unknown (25-34)	IT	Italy	4	1	92	26	0	0
Alessandra Nardini	Alessandra Nardini	1393257504323165	Facebook	u25_34	unknown (25-34)	IT	Italy	4	1	78	16	0	0
Luciano Nobili	Luciano Nobili	406187203142799	Facebook	u25_34	unknown (25-34)	IT	Italy	5	1	74	16	0	0
Francesca Puglisi	Francesca Puglisi	196965250328047	Facebook	u25_34	unknown (25-34)	IT	Italy	1	1	73	36	0	0
Fabrizio Ghera	Fabrizio Ghera	1803487999879591	Facebook	u25_34	unknown (25-34)	IT	Italy	8	1	68	28	0	0
Caio Mussolini	Caio Mussolini	2393234914229651	Facebook	u25_34	unknown (25-34)	IT	Italy	1	1	68	34	0	0
Alberto Cirio	RedAbissi	1391061901114543	Facebook	u25_34	unknown (25-34)	IT	Italy	5	1	60	14	0	0
Carmine Pacente	Carmelo Iannicelli	218066501942820	Facebook	u25_34	unknown (25-34)	IT	Italy	6	1	56	11	0	0
Alberto Bova - Candidato Sindaco	Comitato Elettorale Alberto Bova	146020142780997	Facebook	u25_34	unknown (25-34)	IT	Italy	1	1	56	11	0	0
Paola Testori	Paola Testori	658895384568072	Facebook	u25_34	unknown (25-34)	IT	Italy	6	1	54	15	0	0
Francesco Forlin per Perugia	Francesco Forlin	632686940488385	Facebook	u25_34	unknown (25-34)	IT	Italy	2	1	54	10	0	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	u25_34	unknown (25-34)	IT	Italy	4	1	54	17	0	0
Achille Variati	Achille Variati	478212418874107	Facebook	u25_34	unknown (25-34)	IT	Italy	5	1	54	10	0	0
Sergio Chiamparino	Andrea Maccagno	263544377156823	Facebook	u25_34	unknown (25-34)	IT	Italy	2	1	54	10	0	0
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	u25_34	unknown (25-34)	IT	Italy	4	1	51	16	0	0
Federico Perugini	Federico Perugini	356449288308129	Facebook	u25_34	unknown (25-34)	IT	Italy	2	1	50	19	0	0
Luca Vecchi	Comitato Elettorale Luca Vecchi 2024	245475858955495	Facebook	u25_34	unknown (25-34)	IT	Italy	3	1	48	11	0	0
Michela Giuffrida	Michela Giuffrida	656848937718109	Facebook	u25_34	unknown (25-34)	IT	Italy	4	1	43	8	0	0
Nicola Clerici europee 2019 M5S	Nicola Clerici	2340174086227422	Facebook	u25_34	unknown (25-34)	IT	Italy	4	1	42	11	0	0
