age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	AT	Austria	Europäisches Parlament Österreich		124468054313069	Facebook	29	1	1117118	458121	3813	1356
13_17	13-17	AT	Austria	SPÖ	SPÖ	77393060080	Facebook	259	1	790566	259429	4391	581
13_17	13-17	AT	Austria	Die Grünen	Die Grünen	21759893033	Facebook	85	1	723210	222359	5112	885
13_17	13-17	AT	Austria	Claudia Gamon	NEOS	447992848717452	Facebook	262	1	600052	201614	4503	640
13_17	13-17	AT	Austria	Harald Vilimsky		547597092025909	Facebook	98	1	475115	193610	3558	864
13_17	13-17	AT	Austria	Andreas Schieder	SPÖ	290881691011354	Facebook	107	1	427931	148434	3386	727
13_17	13-17	AT	Austria	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	1055	1	389913	83623	7480	146
13_17	13-17	AT	Austria	Stadt Wien	Stadt Wien	110971788921077	Facebook	12	1	332620	87392	1794	254
13_17	13-17	AT	Austria	European Parliament		178362315106	Facebook	81	1	305036	105242	2027	274
13_17	13-17	AT	Austria	HC Strache	FPÖ	74865038590	Facebook	58	1	168179	67483	1613	348
13_17	13-17	AT	Austria	Günther Sidl	BSA Niederösterreich	806694216374998	Facebook	19	1	139993	50944	613	71
13_17	13-17	AT	Austria	1Europa	Peter Glawischnig	320389701908367	Facebook	18	1	120973	24884	730	100
13_17	13-17	AT	Austria	Grüne Jugend - Grünalternative Jugend	Grüne Jugend - Grünalternative Jugend	533665483708070	Facebook	20	1	106513	30986	879	0
13_17	13-17	AT	Austria	OÖVP - die Oberösterreichische Volkspartei	Oberösterreichische Volkspartei	289163077789256	Facebook	39	1	86056	27654	185	8
13_17	13-17	AT	Austria	Europa-Wahl 2019	Michael Eisenriegler Bakk Phil	489866264465481	Facebook	17	1	77852	26250	479	0
13_17	13-17	AT	Austria	Sebastian Bohrn Mena	Sebastian Bohrn Mena	1583324305255890	Facebook	19	1	76486	32279	677	0
13_17	13-17	AT	Austria	Johann Gudenus		104145976305577	Facebook	46	1	66884	23407	484	82
13_17	13-17	AT	Austria	Dominik Nepp	FPÖ-Wien	135953609780627	Facebook	19	1	59462	26951	381	122
13_17	13-17	AT	Austria	Christian Zoll		601419393620184	Facebook	4	1	49086	24199	63	1
13_17	13-17	AT	Austria	Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	236	1	48051	11617	786	37
13_17	13-17	AT	Austria	Maximilian Krauss		590930261019192	Facebook	91	1	45715	10334	919	43
13_17	13-17	AT	Austria	Grüne Jugend Oberösterreich		147174679238179	Facebook	4	1	45306	8832	200	0
13_17	13-17	AT	Austria	Ordensgemeinschaften Österreich		341397769286892	Facebook	3	1	43856	8825	88	0
13_17	13-17	AT	Austria	Wirtschaftskammer		125946327466544	Facebook	141	1	42400	8413	1204	17
13_17	13-17	AT	Austria	Educandato Statale Collegio Uccellis		433208763774177	Facebook	1	1	40817	20409	203	40
