advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Commission	European Commission	107898832590939	Facebook	f13_17	female (13-17)	BG	Bulgaria	20	1	34440	16309	41	12
Постоянна ромска конференция	Roma Standing Conference	2169116143357997	Facebook	f13_17	female (13-17)	BG	Bulgaria	1	1	4958	2479	2	0
European Greens	European Greens	141366725876424	Facebook	f13_17	female (13-17)	BG	Bulgaria	1	1	2096	838	20	4
European Parliament	European Parliament	178362315106	Facebook	f13_17	female (13-17)	BG	Bulgaria	2	1	1558	758	8	1
Крум Дончев/Krum Donchev	Крум Дончев/Krum Donchev	155516354469476	Facebook	f13_17	female (13-17)	BG	Bulgaria	7	1	1489	478	9	4
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	f13_17	female (13-17)	BG	Bulgaria	5	1	201	71	0	0
ITUC		20556338116	Facebook	f13_17	female (13-17)	BG	Bulgaria	2	1	9	0	0	0
VOA - Глас на Америка		176413438620	Facebook	f13_17	female (13-17)	BG	Bulgaria	1	1	5	0	0	0
ВМРО Горна Оряховица		245988949432379	Facebook	f13_17	female (13-17)	BG	Bulgaria	1	1	4	0	0	0
Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής	Επαμεινωνδας Μαριας	337788662974718	Facebook	f13_17	female (13-17)	BG	Bulgaria	1	1	0	0	0	0
Περιφέρεια σε Δράση - Κωστής Σιμιτσής	Κωστής Σιμιτσής	527150297793347	Facebook	f13_17	female (13-17)	BG	Bulgaria	1	1	0	0	0	0
