advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	f	female	CZ	Czechia	16	1	1816325	803870	5318	1139
Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	f	female	CZ	Czechia	11	1	1801560	856369	9709	3859
Andrej Babiš	ANO	214827221987263	Facebook	f	female	CZ	Czechia	13	1	1406202	652648	8514	2675
ČSSD	ČSSD	111041662264882	Facebook	f	female	CZ	Czechia	141	1	1174150	388274	12453	2737
European Parliament	European Parliament	178362315106	Facebook	f	female	CZ	Czechia	13	1	1141601	465430	8794	1742
European Commission	European Commission	107898832590939	Facebook	f	female	CZ	Czechia	21	1	1127977	547292	4842	978
Zelení - Strana zelených	Zelení - Strana zelených	39371299263	Facebook	f	female	CZ	Czechia	17	1	721353	262169	2578	905
Jaroslav Suchý	Lambert Vojtech	778460319203526	Facebook	f	female	CZ	Czechia	41	1	645555	279533	3137	838
Pavel Poc	Poc Pavel	202974613060409	Facebook	f	female	CZ	Czechia	16	1	617227	220337	1523	308
TOP 09	TOP 09	90002267161	Facebook	f	female	CZ	Czechia	13	1	437199	177285	896	315
Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	f	female	CZ	Czechia	87	1	435094	135026	1511	442
Veronika Luňáková	ODS - Občanská demokratická strana	311589326158964	Facebook	f	female	CZ	Czechia	9	1	427617	180505	605	147
ODS - Občanská demokratická strana	ODS - Občanská demokratická strana	30575632699	Facebook	f	female	CZ	Czechia	10	1	346014	133636	586	209
Nenechme to tak	ATG Principal GROUP	224923858400165	Facebook	f	female	CZ	Czechia	10	1	335861	126678	2498	1168
Radka Trylčová do Evropského parlamentu	ODS - Občanská demokratická strana	388570561882834	Facebook	f	female	CZ	Czechia	85	1	330313	78339	1800	390
Svobodní	Svobodní	43855944703	Facebook	f	female	CZ	Czechia	40	1	289393	64623	1417	306
HLAS	První prezidentská	320144481956623	Facebook	f	female	CZ	Czechia	15	1	279399	103996	371	136
Info.cz	Info.cz	1269502056393120	Facebook	f	female	CZ	Czechia	23	1	273403	65528	1059	252
Greenpeace Česká republika	Greenpeace Česká republika	55876739776	Facebook	f	female	CZ	Czechia	3	1	232851	108509	1739	421
Evropa společně	Evropa společně	535611970260854	Facebook	f	female	CZ	Czechia	6	1	227453	93232	574	149
Michaela Šojdrová	KDU-ČSL	733410133337387	Facebook	f	female	CZ	Czechia	9	1	218740	47929	1021	282
Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	f	female	CZ	Czechia	5	1	179504	82246	325	96
Jan Zahradil	ODS - Občanská demokratická strana	400970967000022	Facebook	f	female	CZ	Czechia	22	1	166443	68640	483	126
Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	f	female	CZ	Czechia	8	1	149520	50015	684	270
Fórum 50 %	Fórum 50 %	136248513192	Facebook	f	female	CZ	Czechia	5	1	128126	25550	342	79
Josef Valihrach - kandidát do Evropského parlamentu	Soukromníci  - Strana soukromníků České republiky	1055203891355904	Facebook	f	female	CZ	Czechia	11	1	113567	26793	149	74
Juraj Seman kandidát do Evropského parlamentu	Seman Juraj	447733512640347	Facebook	f	female	CZ	Czechia	10	1	112213	28055	552	123
Volime-Hynka-007	ODS - Občanská demokratická strana	339021716804527	Facebook	f	female	CZ	Czechia	12	1	108483	23218	547	109
Ondřej Krutílek - kandidát do Evropského parlamentu	ODS	1220066088147062	Facebook	f	female	CZ	Czechia	6	1	107395	29531	500	148
Dita Charanzová	ANO	219333261570307	Facebook	f	female	CZ	Czechia	9	1	101742	34299	1272	328
Tomáš Hanuš	Kricfalusi Jiri	298486534052289	Facebook	f	female	CZ	Czechia	11	1	95896	23042	251	74
Andrej Bóna	Vokoun Tomas	321165708610626	Facebook	f	female	CZ	Czechia	2	1	90865	45433	1765	353
Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	f	female	CZ	Czechia	27	1	85520	17435	354	85
Evžen Tošenovský	Kasik Martin	233045260129148	Facebook	f	female	CZ	Czechia	3	1	74954	30860	193	42
YOU.and.EU	Nordstrom Laura Helena	250361215678222	Facebook	f	female	CZ	Czechia	5	1	73844	19456	275	66
MUDr. Gabriela Pecková - TOP 09	Vondryska Jan	113755299053	Facebook	f	female	CZ	Czechia	11	1	70331	15962	340	71
Česká společnost ornitologická	Česká společnost ornitologická	479746075051	Facebook	f	female	CZ	Czechia	1	1	70061	35031	1361	272
Ing. Jaromír Kohlíček, CSc.	Kohlicek Jaromir	162310277268109	Facebook	f	female	CZ	Czechia	36	1	68002	12446	106	8
Marek Ženíšek	TOP 09	523450094407778	Facebook	f	female	CZ	Czechia	9	1	65478	14789	340	80
Piráti České Budějovice	Hansal Jaroslav	153535188480725	Facebook	f	female	CZ	Czechia	3	1	60427	13814	234	53
Olga Sehnalová	Olga Sehnalová	474594005906021	Facebook	f	female	CZ	Czechia	5	1	57526	12377	276	54
Veronika Vrecionová	ODS - Občanská demokratická strana	273367223021327	Facebook	f	female	CZ	Czechia	8	1	56527	12203	385	89
Díky EU	MACH Jiří	404468833684516	Facebook	f	female	CZ	Czechia	4	1	52916	13020	331	66
Česká pirátská strana - Královéhradecký kraj	Verisova Libuse	163186777045684	Facebook	f	female	CZ	Czechia	2	1	52191	10438	202	40
Petr Štěpánek	Zelení - Strana zelených	224430782640	Facebook	f	female	CZ	Czechia	2	1	50379	10000	40	19
Kateřina Jacques	Kateřina Bursíková Jacques	51832713011	Facebook	f	female	CZ	Czechia	4	1	50217	10043	195	39
Tvůj kandidát	Konečný Daniel	599435753834732	Facebook	f	female	CZ	Czechia	7	1	49041	10888	262	57
Roman Kriz	Kriz Roman	382745889213194	Facebook	f	female	CZ	Czechia	10	1	48269	10002	279	99
KDU-ČSL	KDU-ČSL	251656685576	Facebook	f	female	CZ	Czechia	8	1	45805	13407	224	57
Kryštof Čižinský	TOP 09	589772668175086	Facebook	f	female	CZ	Czechia	1	1	45127	22563	87	17
Vlastibor Čermák, kandidát SPD do EP 2019	Cermak Vlastibor	435237393688140	Facebook	f	female	CZ	Czechia	5	1	44308	8861	177	38
Organizace pro pomoc uprchlíkům, z.s.	Organizace pro pomoc uprchlíkům, z.s.	188235971211201	Facebook	f	female	CZ	Czechia	4	1	42670	8534	111	26
Tomáš Zdechovský	KDU-ČSL	275042429350706	Facebook	f	female	CZ	Czechia	3	1	40482	8096	157	31
Jindřich Vobořil - kandidát do europarlamentu	ODS - Občanská demokratická strana	751475201891213	Facebook	f	female	CZ	Czechia	8	1	39102	8594	158	34
Kateřina Konečná	Konecna Katerina	119624098506	Facebook	f	female	CZ	Czechia	5	1	35528	8871	323	64
Míša Tejmlová	Tejmlová Michaela	170261140345723	Facebook	f	female	CZ	Czechia	6	1	35399	8479	154	42
Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	f	female	CZ	Czechia	15	1	35164	10483	252	63
Česká pirátská strana - Piráti Plzeňský kraj	Kubat Josef	115602606970	Facebook	f	female	CZ	Czechia	3	1	30821	7238	112	22
Piráti Klatovy	Kubat Josef	1729039174076892	Facebook	f	female	CZ	Czechia	3	1	29528	9029	106	28
Tomáš Lázna	Lazna Tomas	260234168098745	Facebook	f	female	CZ	Czechia	4	1	29190	7399	43	20
TOP 09 - Středočeský kraj	TOP 09	289075461571	Facebook	f	female	CZ	Czechia	2	1	29046	5809	122	30
Soukromníci  - Strana soukromníků České republiky	Soukromníci  - Strana soukromníků České republiky	106046725258	Facebook	f	female	CZ	Czechia	3	1	27352	6403	106	24
Národní Noviny	Hrubon Rudolf	267806570729225	Facebook	f	female	CZ	Czechia	13	1	26644	12790	411	87
TOPAZ	Polkova Marketa	541077242579260	Facebook	f	female	CZ	Czechia	3	1	24146	6563	183	36
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	f	female	CZ	Czechia	20	1	23293	7193	57	3
Eva Decroix	ODS - Občanská demokratická strana	567229570370422	Facebook	f	female	CZ	Czechia	12	1	22646	6834	117	50
Nina Nováková	KDU-ČSL	337821749739175	Facebook	f	female	CZ	Czechia	1	1	22314	4463	86	17
Jiří Drahoš	Jiří Drahoš	462447430809625	Facebook	f	female	CZ	Czechia	1	1	21891	4378	85	17
Alexander Bellu	ODS - Občanská demokratická strana	527708290604742	Facebook	f	female	CZ	Czechia	2	1	19929	3986	77	15
Radek Hlaváček	Hlavacek Radek	294674561247936	Facebook	f	female	CZ	Czechia	11	1	18722	4998	84	27
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	f	female	CZ	Czechia	1	1	16237	8118	40	8
Zachraňme lesy	Hnutí DUHA - Přátelé Země Česká republika	299124538476	Facebook	f	female	CZ	Czechia	3	1	15175	6643	48	17
Liberálně ekologická strana		477871765643301	Facebook	f	female	CZ	Czechia	1	1	12483	2496	48	9
Filip Smoljak		559924231130371	Facebook	f	female	CZ	Czechia	1	1	12341	2468	47	9
Marian Jurečka	Lambert Vojtech	356451014434612	Facebook	f	female	CZ	Czechia	6	1	11797	2360	41	8
Jiří Čunek	KDU-ČSL	173305846086912	Facebook	f	female	CZ	Czechia	3	1	11550	5498	44	21
Luděk Niedermayer	TOP 09	1395881230682843	Facebook	f	female	CZ	Czechia	3	1	10622	3591	41	13
Alexandr Vondra	ODS - Občanská demokratická strana	317802208282505	Facebook	f	female	CZ	Czechia	2	1	10519	2103	59	11
Petr Kutílek	Zelení - Strana zelených	211638332512206	Facebook	f	female	CZ	Czechia	6	1	9883	1504	41	8
Daniela	Vasatkova Daniela	252673128998993	Facebook	f	female	CZ	Czechia	1	1	9387	1877	36	7
Moravské zemské hnutí	Hysek Ondrej	223701741482175	Facebook	f	female	CZ	Czechia	4	1	9161	3554	26	11
Mirek Žbánek - prima primátor	wecreate media	325428267939168	Facebook	f	female	CZ	Czechia	3	1	8312	1662	23	4
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	f	female	CZ	Czechia	4	1	7853	3207	8	1
PhDr. Jan Hrnčíř	Hrnčíř Jan	632369483479043	Facebook	f	female	CZ	Czechia	3	1	6608	2250	73	14
David Pokorný	Soska Marek	1675252432766963	Facebook	f	female	CZ	Czechia	7	1	6249	931	41	13
Spolek Pejskařů		265421693630349	Facebook	f	female	CZ	Czechia	1	1	4998	999	19	3
ANO, máme rádi Olomouc	wecreate media	240004189482300	Facebook	f	female	CZ	Czechia	2	1	4972	994	19	3
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	f	female	CZ	Czechia	3	1	4963	2135	9	3
Přírodno		373974520024851	Facebook	f	female	CZ	Czechia	1	1	4811	962	18	3
Balahura Milan	Balahura Milan	2307673269493501	Facebook	f	female	CZ	Czechia	3	1	4630	877	21	4
Alliance of Conservatives and Reformists in Europe	ACRE 	134931073377586	Facebook	f	female	CZ	Czechia	3	1	4629	2254	4	0
PROČesko	Kňava Radek	2037399133257293	Facebook	f	female	CZ	Czechia	2	1	4622	1704	129	25
Prague European Summit		933667260032831	Facebook	f	female	CZ	Czechia	1	1	4325	2162	16	8
Programy do voleb	Štěpán Ryšavý - Programy do voleb	1033702273421005	Facebook	f	female	CZ	Czechia	1	1	3424	685	2	0
Alexandra Udženija		280617905401953	Facebook	f	female	CZ	Czechia	1	1	3384	1692	65	13
European Greens	European Greens	141366725876424	Facebook	f	female	CZ	Czechia	1	1	3291	658	6	0
ODS Brno	ODS -Občanská demokratická strana	572646052818182	Facebook	f	female	CZ	Czechia	3	1	3122	1090	9	1
Ing.Alexandr Gegalčij, kandidat-Europarlament, Rozumní&Národní Demokracie	Gegalczij Alexandr	386508422184056	Facebook	f	female	CZ	Czechia	1	1	3076	615	11	2
Tom	Tomáš Halva	2692563460759999	Facebook	f	female	CZ	Czechia	1	1	3045	609	11	2
Pascal do europarlamentu	Vecer Michael Pascal	388373825336893	Facebook	f	female	CZ	Czechia	1	1	2740	548	10	2
Lepší Trojka		580757188761372	Facebook	f	female	CZ	Czechia	1	1	2723	544	10	2
