advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Andrej Babiš	ANO	214827221987263	Facebook	rd3	Last 3 days	CZ	Czechia	6	1	1750993	809999	9913	3147
Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	rd3	Last 3 days	CZ	Czechia	15	1	1407087	587142	4535	939
European Parliament	European Parliament	178362315106	Facebook	rd3	Last 3 days	CZ	Czechia	7	1	1222632	510451	10922	2165
ČSSD	ČSSD	111041662264882	Facebook	rd3	Last 3 days	CZ	Czechia	158	1	880440	305644	11007	2431
European Commission	European Commission	107898832590939	Facebook	rd3	Last 3 days	CZ	Czechia	8	1	854290	409805	3802	761
Veronika Luňáková	ODS - Občanská demokratická strana	311589326158964	Facebook	rd3	Last 3 days	CZ	Czechia	9	1	499516	210761	760	182
TOP 09	TOP 09	90002267161	Facebook	rd3	Last 3 days	CZ	Czechia	13	1	444995	189500	874	357
Info.cz	Info.cz	1269502056393120	Facebook	rd3	Last 3 days	CZ	Czechia	16	1	440988	108999	1693	408
Nenechme to tak	ATG Principal GROUP	224923858400165	Facebook	rd3	Last 3 days	CZ	Czechia	10	1	401660	149833	2918	1367
Jaroslav Suchý	Lambert Vojtech	778460319203526	Facebook	rd3	Last 3 days	CZ	Czechia	15	1	334826	155000	1556	412
Pavel Poc	Poc Pavel	202974613060409	Facebook	rd3	Last 3 days	CZ	Czechia	11	1	320828	109166	890	178
Radka Trylčová do Evropského parlamentu	ODS - Občanská demokratická strana	388570561882834	Facebook	rd3	Last 3 days	CZ	Czechia	81	1	267030	63458	1145	295
ODS - Občanská demokratická strana	ODS - Občanská demokratická strana	30575632699	Facebook	rd3	Last 3 days	CZ	Czechia	10	1	254718	100110	466	166
Volime-Hynka-007	ODS - Občanská demokratická strana	339021716804527	Facebook	rd3	Last 3 days	CZ	Czechia	12	1	251824	55166	1354	270
Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	rd3	Last 3 days	CZ	Czechia	5	1	250497	125000	3888	777
Svobodní	Svobodní	43855944703	Facebook	rd3	Last 3 days	CZ	Czechia	25	1	250072	57416	1353	288
Josef Valihrach - kandidát do Evropského parlamentu	Soukromníci  - Strana soukromníků České republiky	1055203891355904	Facebook	rd3	Last 3 days	CZ	Czechia	11	1	229992	53999	284	142
Jan Zahradil	ODS - Občanská demokratická strana	400970967000022	Facebook	rd3	Last 3 days	CZ	Czechia	22	1	228118	67709	1119	292
Dita Charanzová	ANO	219333261570307	Facebook	rd3	Last 3 days	CZ	Czechia	6	1	212494	72500	2700	680
Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	rd3	Last 3 days	CZ	Czechia	88	1	190590	53098	666	170
Juraj Seman kandidát do Evropského parlamentu	Seman Juraj	447733512640347	Facebook	rd3	Last 3 days	CZ	Czechia	10	1	161661	41083	770	177
Evropa společně	Evropa společně	535611970260854	Facebook	rd3	Last 3 days	CZ	Czechia	6	1	137498	57500	339	97
Michaela Šojdrová	KDU-ČSL	733410133337387	Facebook	rd3	Last 3 days	CZ	Czechia	6	1	113330	24166	569	197
Marek Ženíšek	TOP 09	523450094407778	Facebook	rd3	Last 3 days	CZ	Czechia	9	1	109744	24750	573	135
Roman Kriz	Kriz Roman	382745889213194	Facebook	rd3	Last 3 days	CZ	Czechia	10	1	104993	22999	666	226
Tomáš Hanuš	Kricfalusi Jiri	298486534052289	Facebook	rd3	Last 3 days	CZ	Czechia	9	1	98993	24499	280	82
Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	rd3	Last 3 days	CZ	Czechia	5	1	89081	40249	200	68
Olga Sehnalová	Olga Sehnalová	474594005906021	Facebook	rd3	Last 3 days	CZ	Czechia	5	1	88681	19156	422	84
Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	rd3	Last 3 days	CZ	Czechia	27	1	83367	17426	347	88
KDU-ČSL	KDU-ČSL	251656685576	Facebook	rd3	Last 3 days	CZ	Czechia	10	1	83327	21666	381	95
Kryštof Čižinský	TOP 09	589772668175086	Facebook	rd3	Last 3 days	CZ	Czechia	1	1	74999	37500	145	29
Kateřina Jacques	Kateřina Bursíková Jacques	51832713011	Facebook	rd3	Last 3 days	CZ	Czechia	4	1	69998	14000	271	54
Ondřej Krutílek - kandidát do Evropského parlamentu	ODS	1220066088147062	Facebook	rd3	Last 3 days	CZ	Czechia	3	1	68331	23666	259	51
Tomáš Zdechovský	KDU-ČSL	275042429350706	Facebook	rd3	Last 3 days	CZ	Czechia	3	1	66665	13333	259	51
Česká společnost ornitologická	Česká společnost ornitologická	479746075051	Facebook	rd3	Last 3 days	CZ	Czechia	1	1	66608	33304	1294	258
Kateřina Konečná	Konecna Katerina	119624098506	Facebook	rd3	Last 3 days	CZ	Czechia	3	1	65831	15416	372	74
MUDr. Gabriela Pecková - TOP 09	Vondryska Jan	113755299053	Facebook	rd3	Last 3 days	CZ	Czechia	10	1	64129	14666	321	67
Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	rd3	Last 3 days	CZ	Czechia	15	1	63059	19833	495	120
Vlastibor Čermák, kandidát SPD do EP 2019	Cermak Vlastibor	435237393688140	Facebook	rd3	Last 3 days	CZ	Czechia	3	1	56665	11333	220	44
TOPAZ	Polkova Marketa	541077242579260	Facebook	rd3	Last 3 days	CZ	Czechia	3	1	54998	12500	291	58
Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	rd3	Last 3 days	CZ	Czechia	2	1	53332	16666	336	168
Jindřich Vobořil - kandidát do europarlamentu	ODS - Občanská demokratická strana	751475201891213	Facebook	rd3	Last 3 days	CZ	Czechia	3	1	51665	10333	207	45
Greenpeace Česká republika	Greenpeace Česká republika	55876739776	Facebook	rd3	Last 3 days	CZ	Czechia	1	1	49999	24999	485	97
YOU.and.EU	Nordstrom Laura Helena	250361215678222	Facebook	rd3	Last 3 days	CZ	Czechia	5	1	49997	15000	187	53
Veronika Vrecionová	ODS - Občanská demokratická strana	273367223021327	Facebook	rd3	Last 3 days	CZ	Czechia	7	1	49247	10533	273	59
Evžen Tošenovský	Kasik Martin	233045260129148	Facebook	rd3	Last 3 days	CZ	Czechia	2	1	45825	19163	113	22
Soukromníci  - Strana soukromníků České republiky	Soukromníci  - Strana soukromníků České republiky	106046725258	Facebook	rd3	Last 3 days	CZ	Czechia	5	1	42730	10166	165	39
Fórum 50 %	Fórum 50 %	136248513192	Facebook	rd3	Last 3 days	CZ	Czechia	5	1	42248	8416	138	29
Díky EU	MACH Jiří	404468833684516	Facebook	rd3	Last 3 days	CZ	Czechia	3	1	36664	12333	401	80
Tomáš Lázna	Lazna Tomas	260234168098745	Facebook	rd3	Last 3 days	CZ	Czechia	4	1	33331	10666	77	34
TOP 09 - Středočeský kraj	TOP 09	289075461571	Facebook	rd3	Last 3 days	CZ	Czechia	3	1	26915	5333	111	25
Nina Nováková	KDU-ČSL	337821749739175	Facebook	rd3	Last 3 days	CZ	Czechia	1	1	24995	4999	97	19
Luděk Niedermayer	TOP 09	1395881230682843	Facebook	rd3	Last 3 days	CZ	Czechia	3	1	20507	5968	79	23
Eva Decroix	ODS - Občanská demokratická strana	567229570370422	Facebook	rd3	Last 3 days	CZ	Czechia	12	1	20020	5076	101	39
Piráti České Budějovice	Hansal Jaroslav	153535188480725	Facebook	rd3	Last 3 days	CZ	Czechia	1	1	19999	4000	77	15
Organizace pro pomoc uprchlíkům, z.s.	Organizace pro pomoc uprchlíkům, z.s.	188235971211201	Facebook	rd3	Last 3 days	CZ	Czechia	2	1	19999	4000	77	15
Daniela	Vasatkova Daniela	252673128998993	Facebook	rd3	Last 3 days	CZ	Czechia	1	1	19959	3991	77	15
