advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	1k_5k	1k - 5k	CZ	Czechia	9	1	3520829	1709375	15747	7812
European Commission	European Commission	107898832590939	Facebook	1k_5k	1k - 5k	CZ	Czechia	2	1	1999994	999998	9997	1999
European Parliament	European Parliament	178362315106	Facebook	1k_5k	1k - 5k	CZ	Czechia	5	1	1545306	621920	15260	3052
Andrej Babiš	ANO	214827221987263	Facebook	1k_5k	1k - 5k	CZ	Czechia	6	1	1022915	510416	4088	1983
Nenechme to tak	ATG Principal GROUP	224923858400165	Facebook	1k_5k	1k - 5k	CZ	Czechia	1	1	499998	199999	3886	1943
Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	1k_5k	1k - 5k	CZ	Czechia	4	1	52082	22916	161	32
ČSSD	ČSSD	111041662264882	Facebook	1k_5k	1k - 5k	CZ	Czechia	9	1	28124	12083	364	72
Jaroslav Suchý	Lambert Vojtech	778460319203526	Facebook	1k_5k	1k - 5k	CZ	Czechia	2	1	14583	6249	80	16
Greenpeace Česká republika	Greenpeace Česká republika	55876739776	Facebook	1k_5k	1k - 5k	CZ	Czechia	1	1	4166	2083	40	8
Andrej Bóna	Vokoun Tomas	321165708610626	Facebook	1k_5k	1k - 5k	CZ	Czechia	2	1	4166	2083	80	16
Dita Charanzová	ANO	219333261570307	Facebook	1k_5k	1k - 5k	CZ	Czechia	1	1	2083	1041	40	8
Česká společnost ornitologická	Česká společnost ornitologická	479746075051	Facebook	1k_5k	1k - 5k	CZ	Czechia	1	1	2081	1040	40	8
European Free Alliance	European Free Alliance	46708306425	Facebook	1k_5k	1k - 5k	CZ	Czechia	1	1	1190	595	29	5
Izabela Kloc	Komitet Wyborczy Prawo i Sprawidliwość	171128483067743	Facebook	1k_5k	1k - 5k	CZ	Czechia	1	1	17	8	0	0
The UK EU Party	Pierre Edmond Kirk	863185927364896	Facebook	1k_5k	1k - 5k	CZ	Czechia	1	1	2	1	0	0
