advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Volkspartei Niederösterreich	Volkspartei Niederösterreich	185269004912086	Facebook	lower_austria_AT	Lower Austria, Austria	67	1	1173762	411477	15636	2555
Lukas Mandl	Verein VSM - Vorzugsstimmen für Mandl	436914289678818	Facebook	lower_austria_AT	Lower Austria, Austria	190	1	859805	200930	16773	380
Harald Vilimsky	FPÖ	547597092025909	Facebook	lower_austria_AT	Lower Austria, Austria	37	1	684725	295473	6582	1448
Günther Sidl	BSA Niederösterreich	806694216374998	Facebook	lower_austria_AT	Lower Austria, Austria	13	1	567693	263000	8559	2200
Sebastian Kurz	Volkspartei	105151752909840	Facebook	lower_austria_AT	Lower Austria, Austria	20	1	432865	194041	4480	984
SPÖ	SPÖ	77393060080	Facebook	lower_austria_AT	Lower Austria, Austria	87	1	416072	165762	3194	913
FPÖ Niederösterreich	FPÖ Niederösterreich	150623338441911	Facebook	lower_austria_AT	Lower Austria, Austria	8	1	267946	113189	2952	1111
Alex Bernhuber	Niederösterreichischer Bauernbund	382872055842390	Facebook	lower_austria_AT	Lower Austria, Austria	10	1	249013	52343	2035	368
European Greens	European Greens	141366725876424	Facebook	lower_austria_AT	Lower Austria, Austria	12	1	226059	104706	2021	424
FPÖ	FPÖ	169051073236170	Facebook	lower_austria_AT	Lower Austria, Austria	12	1	175844	75350	2033	497
European Parliament	European Parliament	178362315106	Facebook	lower_austria_AT	Lower Austria, Austria	20	1	167029	69126	906	233
Norbert Hofer	FPÖ	1650580648552563	Facebook	lower_austria_AT	Lower Austria, Austria	9	1	150038	59933	1569	425
Herbert Kickl	FPÖ	1977684662509834	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	137900	58070	1127	260
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	133374	66687	971	222
kontrast.at	kontrast.at	1079650008770485	Facebook	lower_austria_AT	Lower Austria, Austria	30	1	132674	50661	1669	352
Claudia Gamon	NEOS	447992848717452	Facebook	lower_austria_AT	Lower Austria, Austria	13	1	126820	43001	1110	228
JUNOS Studierende	JUNOS Studierende	231166380411824	Facebook	lower_austria_AT	Lower Austria, Austria	31	1	116767	33918	515	32
1Europa	Peter Glawischnig	320389701908367	Facebook	lower_austria_AT	Lower Austria, Austria	14	1	106569	34286	1016	196
Wolfram Pirchner	Österreichischer Seniorenbund	296676857050295	Facebook	lower_austria_AT	Lower Austria, Austria	9	1	106058	43743	940	237
NR KLUB JETZT	NR KLUB JETZT	833013456857401	Facebook	lower_austria_AT	Lower Austria, Austria	75	1	92612	24787	679	22
GRAS - Grüne & Alternative Student_innen	GRAS - Grüne & Alternative Student_innen	79935247286	Facebook	lower_austria_AT	Lower Austria, Austria	17	1	90309	30574	601	108
Die Grünen	Die Grünen	21759893033	Facebook	lower_austria_AT	Lower Austria, Austria	32	1	89495	35518	922	219
Alexander Van der Bellen	Österreichische Präsidentschaftskanzlei	138508202860897	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	81904	40952	409	81
Team Kurz	Volkspartei	1446536545429987	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	72328	34501	770	185
Europäisches Parlament Österreich	Europäisches Parlament Österreich	124468054313069	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	62400	26198	470	89
Wirtschaftsbund Niederösterreich	Wirtschaftsbund Niederösterreich	150609794968507	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	60277	15055	603	100
FSG - Fraktion Sozialdemokratischer GewerkschafterInnen	GewerkschafterInnen in der SPÖ	364093897023468	Facebook	lower_austria_AT	Lower Austria, Austria	14	1	57602	16264	483	84
NEOS	NEOS	327450964017497	Facebook	lower_austria_AT	Lower Austria, Austria	13	1	53738	18398	394	93
Othmar Karas	Volkspartei	395638503864459	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	50006	22599	930	223
Grüne Jugend - Grünalternative Jugend	Grüne Jugend - Grünalternative Jugend	533665483708070	Facebook	lower_austria_AT	Lower Austria, Austria	15	1	45536	16835	180	10
Christian Zoll	Vorarlberger Volkspartei	601419393620184	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	44197	17657	49	8
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	lower_austria_AT	Lower Austria, Austria	11	1	42845	13687	116	7
Andreas Schieder	SPÖ	290881691011354	Facebook	lower_austria_AT	Lower Austria, Austria	9	1	41369	15527	273	74
Simone Schmiedtbauer	Bauernbund	2423163447708524	Facebook	lower_austria_AT	Lower Austria, Austria	7	1	38058	8596	442	75
Werner Kogler	Die Grünen	133612666671985	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	35584	16816	435	101
Österreichische Gesellschaft für Europapolitik	Österreichische Gesellschaft für Europapolitik	290449626693	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	31302	13906	678	133
Wirtschaftsbund Österreich	Wirtschaftsbund Österreich	385183128166442	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	30074	9094	217	34
Pamela Rendi-Wagner	SPÖ-Parlamentsklub	1673371229636129	Facebook	lower_austria_AT	Lower Austria, Austria	16	1	27970	8780	157	13
Wochenblick	Wochenblick	991628130904203	Facebook	lower_austria_AT	Lower Austria, Austria	7	1	27117	5686	150	20
I LOVE GERASDORF	ÖVP Gerasdorf	225716772430	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	24935	10972	296	0
GPA-djp	GPA-djp	214499840736	Facebook	lower_austria_AT	Lower Austria, Austria	9	1	23242	5595	77	0
Evelyn Regner	SPÖ	291746820967544	Facebook	lower_austria_AT	Lower Austria, Austria	4	1	22236	8311	157	31
KPÖ PLUS	KPÖ PLUS	849742871847407	Facebook	lower_austria_AT	Lower Austria, Austria	17	1	18249	5988	147	38
Maysara Soliman	Maysara Soliman	169929840584692	Facebook	lower_austria_AT	Lower Austria, Austria	4	1	17880	3573	98	15
Volkspartei	Volkspartei	15078244418	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	17611	7234	228	114
Wilfried Haslauer	Salzburger Volkspartei	49835536470	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	15687	6310	152	30
Junge Generation in der SPÖ	Junge Generation in der SPÖ	138952762862969	Facebook	lower_austria_AT	Lower Austria, Austria	4	1	15347	3070	303	0
NEOS Wien	NEOS Wien	580791221952500	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	15046	7523	75	15
KOSMO	KOSMO	191576624211837	Facebook	lower_austria_AT	Lower Austria, Austria	7	1	14553	6152	132	0
Amnesty International Austria	Amnesty International Austria	30925241455	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	11919	2497	103	18
Petra Steger	Petra Steger	1525366237690952	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	11703	5692	66	11
Peter Pilz	NR KLUB JETZT	127399223970566	Facebook	lower_austria_AT	Lower Austria, Austria	7	1	11555	2531	132	18
NEOS Niederösterreich	NEOS Niederösterreich	441223455916739	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	10997	2000	297	0
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	lower_austria_AT	Lower Austria, Austria	30	1	10856	2941	327	0
Europa-Wahl 2019	Michael Eisenriegler Bakk Phil	489866264465481	Facebook	lower_austria_AT	Lower Austria, Austria	22	1	9999	1980	205	0
SPÖ Niederösterreich	SPÖ Niederösterreich	106739889401505	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	9999	5000	99	0
Unser Niederösterreich	Unser Niederösterreich	469284460250113	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	9999	2000	19	0
SPÖ Felixdorf	SPÖ Felixdorf	148243776026237	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	9357	4679	92	0
Wirtschaftskammer	Wirtschaftskammer	125946327466544	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	9231	4615	46	9
Alma Zadic	NR KLUB JETZT	1891626681100935	Facebook	lower_austria_AT	Lower Austria, Austria	33	1	7742	1571	164	0
Arbeit&Wirtschaft Magazin	Arbeit&Wirtschaft Magazin	312134126182731	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	7110	2152	49	0
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	6425	1085	206	0
European Commission	European Commission	107898832590939	Facebook	lower_austria_AT	Lower Austria, Austria	15	1	6391	2932	6	2
Udo Landbauer	FPÖ Niederösterreich	494195290313	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	5937	2277	81	0
NEOS Tirol	NEOS Tirol	459133680794363	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	5350	1070	10	0
SPÖ Stadtorganisation Amstetten	SPÖ Stadtorganisation Amstetten	912354165459699	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	4999	1000	99	0
Sebastian Bohrn Mena	Tierschutzvolksbegehren	1583324305255890	Facebook	lower_austria_AT	Lower Austria, Austria	21	1	4750	685	198	0
SPÖ Hainfeld	Robert Steineck	378862102263329	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	4707	941	93	0
Sarah Wiener	Die Grünen	970529566390833	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	4629	2314	23	4
ServusTV	ServusTV	248450014269	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	4622	924	46	9
Mario Kunasek	FPÖ - Landespartei Steiermark	66095458281	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	4422	884	44	8
Keinen Millimeter	Michael Dorner	356665748284436	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	4335	1354	21	0
Tierschutzvolksbegehren	Tierschutzvolksbegehren	1642678769161065	Facebook	lower_austria_AT	Lower Austria, Austria	12	1	4084	679	135	0
Julia Herr	Sozialistische Jugend Österreich	345172509462824	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	4054	810	40	8
Georg Strasser	Georg Strasser	1450886738334945	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	4027	805	7	0
Irmgard Griss	Irmgard Griss	1505949083037195	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	3702	740	7	0
Austrian World Summit	R2o Austria & EU	1852365868311086	Facebook	lower_austria_AT	Lower Austria, Austria	11	1	3609	326	228	0
LET'S CEE Film Festival	LET'S CEE Film Festival	374807339208829	Facebook	lower_austria_AT	Lower Austria, Austria	9	1	3383	1305	77	0
Freiheitliche Jugend	Freiheitliche Jugend	261850724850	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	2908	1255	35	0
Nurten Yilmaz	Nurten Yilmaz	160128484173405	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	2459	491	4	0
Michael Raml	FPÖ Linz	1499759610320321	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	1991	682	30	0
Gottfried Waldhäusl	FPÖ Niederösterreich	627580790692097	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	1877	740	25	0
Ahmed Husagić	SPÖ	1617700101837646	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	1851	505	32	0
mymuesli		20393019390	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	1727	345	3	0
Lui Hofmann	Ing. Mag. Ludwig Harald Hofmann	1571665456409772	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	1681	336	33	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	lower_austria_AT	Lower Austria, Austria	21	1	1396	576	2	0
Maximilian Krauss	FPÖ-Wien	590930261019192	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	1368	684	68	13
Hermann Schützenhöfer	Steirische Volkspartei	141720165842248	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	1354	270	13	2
Politik muss wieder für die einfachen Menschen gemacht werden.	Georg Krejci	2060122567590322	Facebook	lower_austria_AT	Lower Austria, Austria	4	1	1311	250	30	0
Freiheitliche Bauernschaft Oberösterreich	Freiheitliche Bauernschaft Oberösterreich	124298681063701	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	1188	594	11	0
Steffi Krisper	Stephanie Krisper	170392456839307	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	1143	228	22	0
WahlSwiper		111883876144163	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	1138	569	11	0
Österreich&Europa	Johann Eichhorn	396597551187061	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	1122	0	111	0
Herwig Mahr	Freiheitlicher Landtagsklub Oberösterreich	212990319049096	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	1005	502	9	0
Salzburger Volkspartei	Salzburger Volkspartei	243190742384882	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	993	497	9	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	lower_austria_AT	Lower Austria, Austria	11	1	983	395	1	0
Partei der Arbeit	Partei der Arbeit	298693416922933	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	830	404	10	0
Christoph Wiederkehr	NEOS Wien	1047221682152437	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	817	408	8	0
bagru GRAS boku	bagru*GRAS*boku	110449662370582	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	725	229	17	0
Wandel	Wandel	441927269154538	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	662	67	39	0
Thomas Waitz	Die Grünen	235816017203590	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	648	324	6	0
ZARA - Zivilcourage und Anti-Rassismus-Arbeit	ZARA - Zivilcourage und Anti-Rassismus-Arbeit	100290843377097	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	643	128	12	0
Markus Hein	FPÖ Linz	624525897689879	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	612	306	6	0
Die Grünen Oberösterreich	Die Grünen Oberösterreich	84955135551	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	594	118	8	0
Freiheitliche Arbeitnehmer Oberösterreich	Freiheitliche Arbeitnehmer Oberösterreich	346842098763288	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	546	109	10	0
wienerinnen.at	Valeria Foglar-Deinhardstein 	293185317391782	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	518	103	10	0
scoop.me		100745679654	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	442	60	17	0
Phibie v. Aldebaran		447772735582107	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	388	77	7	0
European Free Alliance	European Free Alliance	46708306425	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	309	155	1	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	253	111	0	0
Peter Pollák	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	307556876112136	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	214	43	2	0
SPÖ Oberösterreich	SPÖ Oberösterreich	208930355786005	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	206	41	4	0
GRAS Linz - Grüne und Alternative Student_innen	GRAS Linz - Grüne und Alternative Student_innen	1738792296441731	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	188	37	3	0
Sense Mesura		1606564102740842	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	121	0	12	0
Zora Jaurová • Progresívne Slovensko	MPhilms o.z.	267456060571592	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	114	26	1	0
