advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
USR Olt	ANTON SILVIU-CRISTIAN	247245385651467	Facebook	olt_county_RO	Olt County, Romania	10	1	660681	255138	1155	357
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	olt_county_RO	Olt County, Romania	35	1	198202	88584	265	54
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	olt_county_RO	Olt County, Romania	19	1	129694	59019	299	124
Claudiu Manda	Partidul Social Democrat	199635566715473	Facebook	olt_county_RO	Olt County, Romania	4	1	115764	48090	193	48
European Commission	European Commission	107898832590939	Facebook	olt_county_RO	Olt County, Romania	27	1	111077	52411	276	72
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	olt_county_RO	Olt County, Romania	14	1	107942	49526	120	27
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	olt_county_RO	Olt County, Romania	12	1	105171	50924	197	40
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	olt_county_RO	Olt County, Romania	40	1	103713	46512	286	65
European Parliament	European Parliament	178362315106	Facebook	olt_county_RO	Olt County, Romania	15	1	83899	39077	234	54
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	olt_county_RO	Olt County, Romania	26	1	47494	21178	62	18
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	olt_county_RO	Olt County, Romania	8	1	46009	21338	37	8
PLUS	PLUS	1903580739951981	Facebook	olt_county_RO	Olt County, Romania	4	1	41854	20062	54	11
Nicu Ștefănuță	Uniunea Salvați România - USR	279454772645662	Facebook	olt_county_RO	Olt County, Romania	7	1	38761	18751	27	6
Partidul Mișcarea Populară	Amerisoft	581911828514783	Facebook	olt_county_RO	Olt County, Romania	16	1	37103	16099	48	12
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	olt_county_RO	Olt County, Romania	5	1	37096	15146	15	7
Norica Nicolai	Increase Digital	121265151226126	Facebook	olt_county_RO	Olt County, Romania	15	1	30546	9922	60	11
Cristian Ghinea	Uniunea Salvați România	269505079808785	Facebook	olt_county_RO	Olt County, Romania	11	1	23277	9795	13	2
Romania #nuepsd	Future Innovation	293215748279337	Facebook	olt_county_RO	Olt County, Romania	1	1	22336	11168	23	4
Calin Popescu Tariceanu	EvolveDreamSoft	227922987222524	Facebook	olt_county_RO	Olt County, Romania	2	1	22297	11148	43	21
Ionel Dancă	ETIS Design	227578001357165	Facebook	olt_county_RO	Olt County, Romania	5	1	21740	9351	14	5
România în primul rând	Future Innovation	770704223323599	Facebook	olt_county_RO	Olt County, Romania	1	1	20687	10344	21	4
