advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	setubal_district_PT	Setúbal District, Portugal	19	1	513854	241366	1992	451
European Commission	European Commission	107898832590939	Facebook	setubal_district_PT	Setúbal District, Portugal	27	1	155459	73584	407	90
Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	setubal_district_PT	Setúbal District, Portugal	18	1	142880	61814	176	14
SPEA - Sociedade Portuguesa para o Estudo das Aves	SPEA - Sociedade Portuguesa para o Estudo das Aves	152559446094	Facebook	setubal_district_PT	Setúbal District, Portugal	7	1	54637	16211	255	34
Uniarea	Uniarea	413110028708018	Facebook	setubal_district_PT	Setúbal District, Portugal	7	1	39887	18125	34	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	setubal_district_PT	Setúbal District, Portugal	10	1	26415	12284	50	9
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	setubal_district_PT	Setúbal District, Portugal	21	1	25315	8802	71	10
Um universitário também chora	Uniarea	1429916380583545	Facebook	setubal_district_PT	Setúbal District, Portugal	6	1	22833	9539	26	0
Conselho Nacional de Juventude - Portugal	Conselho Nacional de Juventude - Portugal	194732796798	Facebook	setubal_district_PT	Setúbal District, Portugal	12	1	9212	3604	73	0
Erasmus+ Juventude em Ação	Erasmus+ Juventude em Ação	128362563891037	Facebook	setubal_district_PT	Setúbal District, Portugal	5	1	5771	1369	21	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	setubal_district_PT	Setúbal District, Portugal	2	1	3633	1515	26	1
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	setubal_district_PT	Setúbal District, Portugal	3	1	2457	1112	4	1
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	setubal_district_PT	Setúbal District, Portugal	5	1	1912	741	8	1
CRIF		395919323779707	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	1839	919	9	1
Opinion Podium		581957128631800	Facebook	setubal_district_PT	Setúbal District, Portugal	2	1	1485	742	14	0
ANPC Associação		173004083265969	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	999	0	99	0
Sindicato dos Jornalistas	Sindicato dos Jornalistas	906523126046063	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	747	373	7	0
ETUC		129041250601685	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	189	37	1	0
Europe Thinx		335839580440114	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	159	31	0	0
Fundação Francisco Manuel dos Santos		197936253581591	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	106	0	10	0
Aliança - VFXira e Azambuja		544071142748299	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	65	0	5	0
Save The Seas		2203608429682203	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	47	9	0	0
Talking Trees: Adult Survivors of CSA		157082910999500	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	30	0	2	0
Eurozine		115579498521257	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	22	4	0	0
ITUC		20556338116	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	8	0	0	0
Big News Buzz		125179374733697	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	4	2	0	0
Tom MacDonald		212732770186	Facebook	setubal_district_PT	Setúbal District, Portugal	1	1	2	0	0	0
