week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w021	Week 21	2019-05-20	2019-05-26	89260	6447	2061804770	741047424	16899507	2711936
w020	Week 20	2019-05-13	2019-05-19	45365	2971	2612221856	298857147	13796357	467118
w019	Week 19	2019-05-06	2019-05-12	16481	132	1185527917	110916416	5486863	148824
w018	Week 18	2019-04-29	2019-05-05	8549	86	627768297	60127044	2338055	80707
w017	Week 17	2019-04-22	2019-04-28	6874	71	643450495	61153964	2803951	101219
w016	Week 16	2019-04-15	2019-04-21	3980	56	326588621	31218047	1283608	24881
w015	Week 15	2019-04-08	2019-04-14	2161	65	253956306	24802006	1515086	29299
w014	Week 14	2019-04-01	2019-04-07	1390	53	122902716	11919050	998344	19435
w013	Week 13	2019-03-25	2019-03-31	829	46	53170193	5144984	491230	10236
w012	Week 12	2019-03-18	2019-03-24	573	37	24832565	2354913	132480	3237
