advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	d138	2019-05-18	DK	Denmark	34	1	187996	67549	4525	904
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	d138	2019-05-18	DK	Denmark	7	1	143610	68055	1178	539
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	d138	2019-05-18	DK	Denmark	5	1	51248	16249	552	110
European Parliament	European Parliament	178362315106	Facebook	d138	2019-05-18	DK	Denmark	1	1	49995	24998	499	249
Morten Østergaard	Radikale Venstre	252520351444054	Facebook	d138	2019-05-18	DK	Denmark	4	1	44165	10833	128	45
Margrete Auken	SF	36730930417	Facebook	d138	2019-05-18	DK	Denmark	6	1	35415	7083	407	86
Kristian Hegaard	Hegaard Kristian Wurtz	309352049198824	Facebook	d138	2019-05-18	DK	Denmark	4	1	29995	12000	160	26
Nikolaj Villumsen	Nikolaj Villumsen	529124290474705	Facebook	d138	2019-05-18	DK	Denmark	15	1	28746	13250	217	43
Enhedslisten	Enhedslisten	223040066022	Facebook	d138	2019-05-18	DK	Denmark	2	1	28332	6666	379	89
Theresa Blegvad, Aarhus Byråd	Venstre, Danmarks Liberale Parti	401991943254934	Facebook	d138	2019-05-18	DK	Denmark	1	1	22222	11111	743	148
Mona Juul	Mona Juul	2079067062409423	Facebook	d138	2019-05-18	DK	Denmark	3	1	21665	5333	272	66
Sophie Løhde	Sophie Løhde	699619700116377	Facebook	d138	2019-05-18	DK	Denmark	4	1	20326	4498	93	37
Troels Lund Poulsen	Poulsen Troels Lund	139443622778678	Facebook	d138	2019-05-18	DK	Denmark	4	1	17777	3888	171	38
Tommy Ahlers	Ahlers Tommy	2121857298076689	Facebook	d138	2019-05-18	DK	Denmark	1	1	16666	3333	223	44
Mia Tang	Mia Tang	358828094665364	Facebook	d138	2019-05-18	DK	Denmark	4	1	16610	3322	109	30
Mette Abildgaard	Mette Abildgaard	309867232515766	Facebook	d138	2019-05-18	DK	Denmark	5	1	14999	4500	140	30
Nick Zimmermann - Dansk Folkeparti	Zimmermann Nick	331034483992282	Facebook	d138	2019-05-18	DK	Denmark	4	1	14915	4583	102	43
Europa-Parlamentet i Danmark	Europa-Parlamentet i Danmark	128700897207990	Facebook	d138	2019-05-18	DK	Denmark	7	1	13747	3124	115	20
Mette Thiesen	Mette Thiesen	718327901589937	Facebook	d138	2019-05-18	DK	Denmark	9	1	13492	4164	174	55
Pia Olsen Dyhr	SF	49348971479	Facebook	d138	2019-05-18	DK	Denmark	1	1	12499	2500	33	16
Søren Valgreen Knudsen - Folketingskandidat	Knudsen Soren Valgreen	1727075740642843	Facebook	d138	2019-05-18	DK	Denmark	2	1	12499	2500	60	20
Alex Vanopslagh	Alex Vanopslagh	671022293105597	Facebook	d138	2019-05-18	DK	Denmark	4	1	12165	2333	55	17
Ældre Sagen	Ældre Sagen	126543540781090	Facebook	d138	2019-05-18	DK	Denmark	3	1	11666	3333	334	66
Lise Müller	Müller Lise	145989963343	Facebook	d138	2019-05-18	DK	Denmark	3	1	11349	5625	76	15
Asger Christensen i EU	Christensen Asger Bank Møller	1450750935146684	Facebook	d138	2019-05-18	DK	Denmark	2	1	9999	2499	44	22
