advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SF	SF	74796954245	Facebook	d140	2019-05-20	DK	Denmark	13	1	386063	77589	4624	965
Zetland	Zetland	341299649231023	Facebook	d140	2019-05-20	DK	Denmark	34	1	353631	111665	1338	410
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	d140	2019-05-20	DK	Denmark	14	1	285205	96375	3074	918
European Parliament	European Parliament	178362315106	Facebook	d140	2019-05-20	DK	Denmark	3	1	199992	84997	1247	399
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	d140	2019-05-20	DK	Denmark	23	1	186875	56279	1604	345
Nikolaj Villumsen	Nikolaj Villumsen	529124290474705	Facebook	d140	2019-05-20	DK	Denmark	24	1	167869	63325	1812	680
Morten Klessen	Socialdemokratiet i Nordjylland	1039840406189567	Facebook	d140	2019-05-20	DK	Denmark	14	1	164640	72500	807	180
Enhedslisten	Enhedslisten	223040066022	Facebook	d140	2019-05-20	DK	Denmark	9	1	164066	41284	576	278
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	d140	2019-05-20	DK	Denmark	33	1	87996	17549	1178	234
Ali Aminali	Det Konservative Folkeparti	1452133531486822	Facebook	d140	2019-05-20	DK	Denmark	3	1	85356	31785	1310	368
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	d140	2019-05-20	DK	Denmark	4	1	68054	30111	576	135
Kuzma Pavlov Jensen	Det Konservative Folkeparti	2798719490153637	Facebook	d140	2019-05-20	DK	Denmark	2	1	63749	25625	845	169
Jens Meilvang	Meilvang Jens	1550318855207094	Facebook	d140	2019-05-20	DK	Denmark	5	1	61995	12000	896	214
Amnesty International Danmark	Amnesty International Danmark	36664432940	Facebook	d140	2019-05-20	DK	Denmark	2	1	59997	14999	803	200
Sophie Løhde	Sophie Løhde	699619700116377	Facebook	d140	2019-05-20	DK	Denmark	8	1	59126	21756	1951	436
Linea Søgaard-Lidell	Søgaard-Lidell Linea	1002755833225691	Facebook	d140	2019-05-20	DK	Denmark	15	1	57564	20855	1233	250
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	d140	2019-05-20	DK	Denmark	3	1	57285	28571	1053	210
Margrete Auken	SF	36730930417	Facebook	d140	2019-05-20	DK	Denmark	9	1	56844	11369	694	143
Mia Tang	Mia Tang	358828094665364	Facebook	d140	2019-05-20	DK	Denmark	20	1	53487	10926	485	111
Tommy Ahlers	Ahlers Tommy	2121857298076689	Facebook	d140	2019-05-20	DK	Denmark	4	1	53332	11666	713	156
Pia Olsen Dyhr	SF	49348971479	Facebook	d140	2019-05-20	DK	Denmark	5	1	50414	10083	657	283
