advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	m	male	DK	Denmark	89	1	3530033	1268065	27427	7182
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	m	male	DK	Denmark	60	1	2025093	715496	37125	9176
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	m	male	DK	Denmark	59	1	1546268	550066	15536	4733
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	m	male	DK	Denmark	11	1	1428960	635657	17522	3911
Enhedslisten	Enhedslisten	223040066022	Facebook	m	male	DK	Denmark	39	1	1283492	504280	13959	5815
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	m	male	DK	Denmark	19	1	1135577	491323	28067	6403
Nikolaj Villumsen	Nikolaj Villumsen	529124290474705	Facebook	m	male	DK	Denmark	41	1	996258	375956	15351	3921
European Parliament	European Parliament	178362315106	Facebook	m	male	DK	Denmark	15	1	732185	326267	9229	2389
3F - Danmarks Stærkeste Fagforening	3F - Danmarks Stærkeste Fagforening	109012749124622	Facebook	m	male	DK	Denmark	9	1	657866	274514	9322	2111
Morten Klessen	Socialdemokratiet i Nordjylland	1039840406189567	Facebook	m	male	DK	Denmark	28	1	612097	262801	3564	1004
Linea Søgaard-Lidell	Søgaard-Lidell Linea	1002755833225691	Facebook	m	male	DK	Denmark	23	1	550535	195116	9620	1952
Ali Aminali	Det Konservative Folkeparti	1452133531486822	Facebook	m	male	DK	Denmark	12	1	534919	192541	10488	2816
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	m	male	DK	Denmark	17	1	513543	188520	10407	2612
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	m	male	DK	Denmark	141	1	513165	105379	2854	525
Der er noget, der ikke stemmer	The Brand Agency ApS	607503123085160	Facebook	m	male	DK	Denmark	3	1	462081	204873	4845	1371
Mai Mercado	Mai Mercado	397094903687472	Facebook	m	male	DK	Denmark	18	1	456992	143551	6094	1290
Kuzma Pavlov Jensen	Det Konservative Folkeparti	2798719490153637	Facebook	m	male	DK	Denmark	6	1	456511	162664	6092	1248
Zetland	Zetland	341299649231023	Facebook	m	male	DK	Denmark	65	1	443466	141366	1870	569
Margrete Auken	SF	36730930417	Facebook	m	male	DK	Denmark	27	1	404550	90449	4744	1028
SF	SF	74796954245	Facebook	m	male	DK	Denmark	38	1	386101	85405	4130	922
Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	m	male	DK	Denmark	15	1	379609	104758	3371	817
Tommy Ahlers	Ahlers Tommy	2121857298076689	Facebook	m	male	DK	Denmark	17	1	361086	78222	4414	963
Bergur Larsson Løkke Rasmussen	Bergur Løkke Rasmussen	141378109375840	Facebook	m	male	DK	Denmark	37	1	358892	97544	4769	1297
Mona Juul	Mona Juul	2079067062409423	Facebook	m	male	DK	Denmark	74	1	357042	77096	3110	711
Alex Vanopslagh	Alex Vanopslagh	671022293105597	Facebook	m	male	DK	Denmark	36	1	341184	77972	1785	586
Europa-Parlamentet i Danmark	Europa-Parlamentet i Danmark	128700897207990	Facebook	m	male	DK	Denmark	40	1	306967	81428	2753	655
Fagbevægelsens Hovedorganisation	Fagbevægelsens Hovedorganisation	261599053881378	Facebook	m	male	DK	Denmark	8	1	296989	109285	3981	1704
Sophie Løhde	Sophie Løhde	699619700116377	Facebook	m	male	DK	Denmark	22	1	276208	97625	4922	1174
Pia Olsen Dyhr	SF	49348971479	Facebook	m	male	DK	Denmark	34	1	262547	58999	2653	829
Niels Fuglsang	Fuglsang Niels Peder Rindum	264009771074617	Facebook	m	male	DK	Denmark	316	1	261159	28230	3908	561
Troels Lund Poulsen	Poulsen Troels Lund	139443622778678	Facebook	m	male	DK	Denmark	14	1	236205	52062	2733	612
Lars Løkke Rasmussen	Venstre, Danmarks Liberale Parti	58140803787	Facebook	m	male	DK	Denmark	6	1	223076	61909	1913	434
Morten Østergaard	Radikale Venstre	252520351444054	Facebook	m	male	DK	Denmark	16	1	210360	50846	690	231
Mia Tang	Mia Tang	358828094665364	Facebook	m	male	DK	Denmark	20	1	205828	42685	1936	443
Zenia Stampe	Zenia Stampe	127344360615074	Facebook	m	male	DK	Denmark	24	1	205301	59251	2269	532
Nick Zimmermann - Dansk Folkeparti	Zimmermann Nick	331034483992282	Facebook	m	male	DK	Denmark	30	1	200620	51105	1114	379
Niels Flemming Hansen	Hansen Niels Flemming Schultz	177609692660255	Facebook	m	male	DK	Denmark	17	1	197119	43975	3246	661
Nikolaj Bøgh	Nikolaj Bøgh	674034729594774	Facebook	m	male	DK	Denmark	7	1	192260	79826	1130	283
Alternativet	Alternativet	676061179094769	Facebook	m	male	DK	Denmark	8	1	192217	80930	1414	586
Mette Abildgaard	Mette Abildgaard	309867232515766	Facebook	m	male	DK	Denmark	16	1	188022	51616	1594	389
Danmarks Socialdemokratiske Ungdom (DSU)	DSU	126084211821	Facebook	m	male	DK	Denmark	10	1	186457	59774	1485	570
Klaus Riskær Pedersen	Parti Klaus Riskaer Pedersen	728307113871618	Facebook	m	male	DK	Denmark	4	1	184717	36944	2472	494
Asger Christensen i EU	Christensen Asger Bank Møller	1450750935146684	Facebook	m	male	DK	Denmark	14	1	179894	45044	1974	586
Petar Socevic - Radikale Venstre	Socevic Petar	2190488887846226	Facebook	m	male	DK	Denmark	6	1	179393	35879	2401	480
Jeppe Kofod	Socialdemokratiet	137685999659722	Facebook	m	male	DK	Denmark	13	1	161504	78034	1265	327
Konservativ Ungdom	Konservativ Ungdom	119769598101853	Facebook	m	male	DK	Denmark	9	1	150454	33788	939	269
Mette Frederiksen	Socialdemokratiet	57497067718	Facebook	m	male	DK	Denmark	8	1	144430	32170	985	282
Erik Poulsen - kandidat til Europa-Parlamentet	Erik Poulsen - kandidat til Europa-Parlamentet	203735820417737	Facebook	m	male	DK	Denmark	9	1	143818	50055	2450	763
Morten Helveg Petersen	Morten Helveg Petersen	442403485851495	Facebook	m	male	DK	Denmark	2	1	143365	63195	1149	460
Thomas Thomsen	Thomsen Thomas	155006118510945	Facebook	m	male	DK	Denmark	4	1	138654	55327	976	215
Anders Krojgaard Lund	Det Konservative Folkeparti	310638582806533	Facebook	m	male	DK	Denmark	4	1	137353	48817	1316	261
Gitte Willumsen - Folketingskandidat for Venstre	Willumsen Gitte	1751959911736210	Facebook	m	male	DK	Denmark	25	1	127276	29922	1452	346
Anders Burlund - Liberal Alliance	Burlund Andres Preben	256725284456505	Facebook	m	male	DK	Denmark	10	1	120682	26338	455	125
BUPL	BUPL	359674067377201	Facebook	m	male	DK	Denmark	13	1	118335	46062	1338	514
Simon Emil Ammitzbøll-Bille	Liberal Alliance	1489320827982521	Facebook	m	male	DK	Denmark	4	1	112907	44981	1008	200
Mellemfolkeligt Samvirke	Mellemfolkeligt Samvirke	5624899398	Facebook	m	male	DK	Denmark	123	1	110056	18247	1179	210
Caspar Stefani	Det Konservative Folkeparti	1333714923324143	Facebook	m	male	DK	Denmark	9	1	109651	33527	1409	402
Nye Borgerlige	Nye Borgerlige	646746285466931	Facebook	m	male	DK	Denmark	3	1	109121	21824	1460	292
René Nord Hansen - folketingskandidat	Det Konservative Folkeparti	779582492178326	Facebook	m	male	DK	Denmark	9	1	107179	22522	1434	301
Ældre Sagen	Ældre Sagen	126543540781090	Facebook	m	male	DK	Denmark	15	1	105510	25197	1035	276
Per Møller	Det Konservative Folkeparti	279383622197240	Facebook	m	male	DK	Denmark	6	1	104150	22167	1394	296
Stig Grenov	Kristendemokraterne	461906303966227	Facebook	m	male	DK	Denmark	3	1	101618	38026	1360	509
Charlotte Libach	Johansen Charlotte Libach	161798761017183	Facebook	m	male	DK	Denmark	6	1	100704	25018	1414	388
IDA	IDA	154415494575789	Facebook	m	male	DK	Denmark	6	1	100147	24039	410	205
FOA	FOA	132344416862423	Facebook	m	male	DK	Denmark	26	1	95540	31421	478	111
Anne Honoré Østergaard	Ostergaard Anne Honore	1719764131664489	Facebook	m	male	DK	Denmark	21	1	93867	17521	528	139
Mark Grossmann	Venstre Odense 1. kreds	393486437446456	Facebook	m	male	DK	Denmark	48	1	92715	18565	500	41
Marie Høgh  - konservativ folketingskandidat i Københavns storkreds	Det Konservative Folkeparti	369282413923161	Facebook	m	male	DK	Denmark	9	1	90829	25170	1215	337
Jan E. Jørgensen	Jørgensen Jan Ejnar	329413910880676	Facebook	m	male	DK	Denmark	3	1	89451	17890	1197	239
Dino Selimović	Selimovic Dino	423838101331835	Facebook	m	male	DK	Denmark	2	1	89443	37198	497	119
Lars Chr. Lilleholt	Lars Chr. Lilleholt	1408142216156387	Facebook	m	male	DK	Denmark	57	1	89055	8643	876	38
FDM	FDM	46265612799	Facebook	m	male	DK	Denmark	2	1	89019	17804	1191	238
Frederik Bloch Münster	Det Konservative Folkeparti	161801967707312	Facebook	m	male	DK	Denmark	7	1	87486	21678	537	189
Erling Bonnesen	Bonnesen Erling Faber	390925417751473	Facebook	m	male	DK	Denmark	10	1	87010	19281	791	178
