advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	200k_500k	200k - 500k	EL	Greece	7	1	3497567	1399029	4989	1898
Kyriakos Mitsotakis	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	34848567724	Facebook	200k_500k	200k - 500k	EL	Greece	6	1	2998583	1199435	3992	1399
European Parliament	European Parliament	178362315106	Facebook	200k_500k	200k - 500k	EL	Greece	6	1	2543307	1017325	8440	2288
To Potami	To Potami	240638659452549	Facebook	200k_500k	200k - 500k	EL	Greece	4	1	1999355	799743	11994	2999
INBOX	New Digital Media	369693523475596	Facebook	200k_500k	200k - 500k	EL	Greece	4	1	1998798	799520	1994	399
Οι Έλληνες	In Progress	2273336566260671	Facebook	200k_500k	200k - 500k	EL	Greece	4	1	1998672	799470	7991	2498
ΣΥ.ΡΙΖ.Α.	ΣΥ.ΡΙΖ.Α.	31895177275	Facebook	200k_500k	200k - 500k	EL	Greece	4	1	1998648	799460	15985	3497
Θοδωρής Ζαγοράκης / Thodoris Zagorakis	Θοδωρής Ζαγοράκης / Thodoris Zagorakis	235332330007800	Facebook	200k_500k	200k - 500k	EL	Greece	4	1	1998198	799280	3492	1598
Ρένα Δούρου	Ρένα Δούρου	225197477683663	Facebook	200k_500k	200k - 500k	EL	Greece	3	1	1499997	600000	6997	2000
Ομάδα Μνήμης	In Progress	230319800467420	Facebook	200k_500k	200k - 500k	EL	Greece	3	1	1498999	599600	10990	2498
In Progress	In Progress	254883792041627	Facebook	200k_500k	200k - 500k	EL	Greece	3	1	1498932	599574	2994	1498
Στέλιος Κούλογλου - Stelios Kouloglou	Στέλιος Κούλογλου	230852653624004	Facebook	200k_500k	200k - 500k	EL	Greece	3	1	1498856	599543	5993	1199
Αθήνα Ψηλά	Αθήνα Ψηλά	981725628696226	Facebook	200k_500k	200k - 500k	EL	Greece	2	1	999998	400000	1998	1000
Παύλος Γερουλάνος	Παύλος Γερουλάνος	196882087005924	Facebook	200k_500k	200k - 500k	EL	Greece	2	1	999998	400000	1498	600
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	200k_500k	200k - 500k	EL	Greece	2	1	999704	399882	1497	599
