recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	FI	Finland	1124	129	7132588	2388271	82174	14195
rd2	Last 2 days	2019-05-25	2019-05-26	FI	Finland	1308	144	13124503	4315368	161834	26988
rd3	Last 3 days	2019-05-24	2019-05-26	FI	Finland	1381	154	18116915	5880849	223449	36716
rd4	Last 4 days	2019-05-23	2019-05-26	FI	Finland	1427	155	22183629	7187574	272025	44506
rd5	Last 5 days	2019-05-22	2019-05-26	FI	Finland	1494	157	24971389	8078377	302477	49281
rd6	Last 6 days	2019-05-21	2019-05-26	FI	Finland	1539	161	26875201	8674889	325168	52652
rw1	Last week	2019-05-20	2019-05-26	FI	Finland	1556	164	28112856	9083119	339972	54749
rw2	Last 2 weeks	2019-05-13	2019-05-26	FI	Finland	1568	165	29376855	9503007	357227	57669
rw3	Last 3 weeks	2019-05-06	2019-05-26	FI	Finland	1568	165	29376855	9503007	357227	57669
rw4	Last 4 weeks	2019-04-29	2019-05-26	FI	Finland	1568	165	29376855	9503007	357227	57669
rm1	Last month	2019-04-27	2019-05-26	FI	Finland	1568	165	29376855	9503007	357227	57669
rm2	Last 2 months	2019-03-28	2019-05-26	FI	Finland	1568	165	29376855	9503007	357227	57669
rm3	Last 3 months	2019-02-26	2019-05-26	FI	Finland	1568	165	29376855	9503007	357227	57669
rm6	Last 6 months	2019-01-01	2019-05-26	FI	Finland	1568	165	29376855	9503007	357227	57669
