advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kokoomus	Kokoomus	201285237101	Facebook	paijat_hame	Päijät-Häme	FI	Finland	27	1	83324	19473	1202	102
Sosialidemokraatit SDP	Sosialidemokraatit SDP	108945982480217	Facebook	paijat_hame	Päijät-Häme	FI	Finland	3	1	14403	3017	141	29
Elisa Lientola, Vasemmistoliitto	Elisa Lientolan tukiryhmä	1481965412047542	Facebook	paijat_hame	Päijät-Häme	FI	Finland	3	1	10071	2036	201	0
Vasemmistoliitto	Vasemmistoliitto	60390955171	Facebook	paijat_hame	Päijät-Häme	FI	Finland	101	1	3835	1043	46	7
Perussuomalaiset	Perussuomalaiset	181106108341	Facebook	paijat_hame	Päijät-Häme	FI	Finland	6	1	3268	1271	34	7
Antton Rönnholm	Antton Rönnholm	575908612596562	Facebook	paijat_hame	Päijät-Häme	FI	Finland	41	1	3195	692	23	2
Anna Mäkipää	Mäkipää Anna Marjatta	410045932385582	Facebook	paijat_hame	Päijät-Häme	FI	Finland	8	1	2567	583	37	7
Satu Taavitsainen	Taavitsainen Satu Johanna	803596373025380	Facebook	paijat_hame	Päijät-Häme	FI	Finland	3	1	1748	402	32	0
Petri Sarvamaa	Petri Sarvamaa	164624737027350	Facebook	paijat_hame	Päijät-Häme	FI	Finland	11	1	1479	86	111	0
European Parliament	European Parliament	178362315106	Facebook	paijat_hame	Päijät-Häme	FI	Finland	16	1	1464	670	16	4
European Greens	European Greens	141366725876424	Facebook	paijat_hame	Päijät-Häme	FI	Finland	8	1	1359	570	17	3
Vihreät - De Gröna	Vihreät - De Gröna	33722070600	Facebook	paijat_hame	Päijät-Häme	FI	Finland	16	1	973	448	5	1
Satu Jaatinen 216		611696415923639	Facebook	paijat_hame	Päijät-Häme	FI	Finland	6	1	713	266	14	2
Matleena Käppi	Matleena Käpin vuoden 2019 vaalien tukiyhdistys	1806983809518838	Facebook	paijat_hame	Päijät-Häme	FI	Finland	6	1	639	254	8	0
Henna Virkkunen	Henna Virkkunen	120537424633927	Facebook	paijat_hame	Päijät-Häme	FI	Finland	18	1	637	228	6	1
Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	paijat_hame	Päijät-Häme	FI	Finland	7	1	626	275	3	0
Anna Sirkiä	Anna Sirkiä	115751458577078	Facebook	paijat_hame	Päijät-Häme	FI	Finland	18	1	601	13	55	0
Arto Luukkanen	Riekkovaara Niko Tapani	1527478777519070	Facebook	paijat_hame	Päijät-Häme	FI	Finland	15	1	436	95	6	0
Ville Niinistö	Ville Niinistö	153186884700042	Facebook	paijat_hame	Päijät-Häme	FI	Finland	4	1	384	191	2	1
Jouni Kemppainen	Kemppainen Jouni Petteri	387812258475026	Facebook	paijat_hame	Päijät-Häme	FI	Finland	3	1	383	175	2	1
Teuvo Hakkarainen	Riekkovaara Niko Tapani	198979100169761	Facebook	paijat_hame	Päijät-Häme	FI	Finland	12	1	369	78	3	0
Sirpa Pietikäinen	Sirpa Pietikäinen	140188405326	Facebook	paijat_hame	Päijät-Häme	FI	Finland	8	1	368	74	4	1
Tomi Kontkanen	Finlands svenska socialdemokrater	2211545855568908	Facebook	paijat_hame	Päijät-Häme	FI	Finland	6	1	367	147	2	0
Mikko Ohela	Mikko Ohela	201647537374497	Facebook	paijat_hame	Päijät-Häme	FI	Finland	12	1	364	79	2	0
Suomiduunari	Riekkovaara Niko Tapani	244224963187036	Facebook	paijat_hame	Päijät-Häme	FI	Finland	4	1	338	98	3	0
