advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Greenpeace France	Greenpeace France	39435457457	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	16	1	61233	14779	148	10
Les Energies du Soleil		1684031805239401	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	49795	9959	496	99
Gouvernement	Gouvernement	392341217527576	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	40	1	42612	19042	277	60
European Parliament	European Parliament	178362315106	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	13	1	11609	5127	81	17
Make.org	Make.org	122037308191612	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	6	1	3768	1623	47	10
Agence française pour la biodiversité	Agence française pour la biodiversité	500437833654583	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	3402	1701	17	3
Cogito	Cogito	2059332547662115	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	12	1	3302	1225	10	1
Avaaz	Avaaz	8340223883	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	3	1	3099	1543	16	3
GRDF	GRDF	314443337102	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	2746	1373	13	2
Le mouvement	~ le mouvement	1030528233746321	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	2336	934	23	4
Jam		299724236866849	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	2063	825	18	3
EcoTree	EcoTree	386108291584856	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	1602	640	1	0
Fille Unique	Sébastien Jean-Pierre Paul Henri Gourdon	268836617151334	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	2	1	992	496	4	1
European Free Alliance	European Free Alliance	46708306425	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	2	1	960	384	9	1
Il est encore temps	Il est encore temps	353979872007801	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	577	288	2	0
WWF-France	WWF-France	145392792632	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	21	1	517	134	5	0
Déclic	OFAJ	472408162883256	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	4	1	447	87	2	0
LE MONDE OUKA. Sauvons le climat	SAS MONDOUKA	341110826085002	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	25	1	379	66	11	0
Maplanèteverte	Ma Planète Verte	340654233462962	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	9	1	347	134	4	0
Debout La France 61		193117771310282	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	323	64	6	0
America mag	America mag	1907091326193407	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	283	56	2	0
Surfrider Foundation Europe	Surfrider Foundation Europe	41452575362	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	235	47	0	0
CARE France	CARE France	93745060700	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	6	1	229	51	1	0
YOU.and.EU	Nordstrom Laura Helena	250361215678222	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	214	42	0	0
Sciences Po	Sciences Po	212218225479739	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	2	1	208	41	1	0
Coral Guardian	Coral Guardian	304678472936995	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	3	1	198	38	1	0
Agir Pour l'Environnement		86539967660	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	2	1	142	28	1	0
upply	Upply	248039519074498	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	2	1	119	23	0	0
Eurolapins	Pulse of Europe France	755726434768654	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	4	1	110	28	1	0
Super Choix		257283065179986	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	10	1	103	20	1	0
upply FR	Upply	216289915800302	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	92	18	0	0
La Poste		173022039045	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	4	1	61	30	0	0
Service-Public.fr	Service-Public.fr	244226855990028	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	53	10	0	0
Se relaxer	Mike Guy Cassiano Henri Leborgne-Lavorel	1971818342930074	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	8	1	40	6	1	0
ATAA Foundation	ATAA Foundation	2039469612804034	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	4	1	39	13	0	0
USR Diaspora	Uniunea Salvați România - USR	1793510380925494	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	37	7	0	0
Actions pour l'écologie		872257819482862	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	35	17	0	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	17	1	32	13	0	0
Planète Panda	BARBIER QUENTIN	2002323729992518	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	23	4	0	0
Le témoignage du sycomore   Années 68		1818005848278428	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	2	1	18	3	0	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	2	1	16	8	0	0
Once Again		1645867382294670	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	3	1	14	0	1	0
Art et Essai		297115661094216	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	2	1	10	1	0	0
You_shop		622075514919349	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	4	1	8	0	0	0
La Cause Première : L'Aventure humaniste		813137738813234	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	7	1	0	0
Paul Zilmia - Pour une France Insoumise		109981492838880	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	7	1	0	0
Tatayou	Jacques-Francis Gilbert Lecareux	331061487556199	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	5	1	0	0
Marie Claire France		236672451730	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	5	0	0	0
Libertas Opinionis		366373566882829	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	4	0	0	0
C'est pas possible		393263747888788	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	3	0	0	0
Japon Actu - FuransuJapon	Benjamin Cabiron	1732451513549809	Facebook	pays_de_la_loire	Pays de la Loire	FR	France	1	1	3	0	0	0
