advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Slobodna Dalmacija	Slobodna Dalmacija	100267330025110	Facebook	m13_17	male (13-17)	HR	Croatia	25	1	27895	10788	49	0
Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	m13_17	male (13-17)	HR	Croatia	2	1	18235	3647	56	0
European Commission	European Commission	107898832590939	Facebook	m13_17	male (13-17)	HR	Croatia	20	1	15976	7599	20	6
European Parliament	European Parliament	178362315106	Facebook	m13_17	male (13-17)	HR	Croatia	3	1	7033	3503	13	1
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	m13_17	male (13-17)	HR	Croatia	2	1	3575	715	6	0
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	m13_17	male (13-17)	HR	Croatia	1	1	1978	989	4	0
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	m13_17	male (13-17)	HR	Croatia	5	1	1877	409	5	0
European Greens	European Greens	141366725876424	Facebook	m13_17	male (13-17)	HR	Croatia	1	1	576	230	5	1
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	m13_17	male (13-17)	HR	Croatia	5	1	120	42	0	0
Ne u moje ime		138418753446889	Facebook	m13_17	male (13-17)	HR	Croatia	1	1	75	15	0	0
ITUC		20556338116	Facebook	m13_17	male (13-17)	HR	Croatia	2	1	3	0	0	0
Franc Bogovič	Slovenska ljudska stranka (SLS)	288826994603012	Facebook	m13_17	male (13-17)	HR	Croatia	1	1	0	0	0	0
DK Nagykanizsa	Demokratikus Koalíció	704399322958470	Facebook	m13_17	male (13-17)	HR	Croatia	1	1	0	0	0	0
