advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ruža Kovačević Bilić	Hrvatska narodna stranka - liberalni demokrati (HNS)	2268602929863854	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	7	1	182087	49043	318	0
Domagoj Maroević	HDZ - Hrvatska demokratska zajednica	377283356332665	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	6	1	80181	25420	265	34
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	11	1	74560	18190	231	0
HDZ - Hrvatska demokratska zajednica	HDZ - Hrvatska demokratska zajednica	406059206159790	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	49	1	46078	19021	190	45
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	17	1	27702	8515	43	0
Slobodna Dalmacija	Slobodna Dalmacija	100267330025110	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	25	1	27453	8976	62	0
Valter Flego	IDS - Istarski Demokratski Sabor	441675022557503	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	19	1	26221	11787	70	15
European Parliament	European Parliament	178362315106	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	15	1	25334	11968	75	20
Đanino Sučić	Pametno	1778906682211240	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	1	1	17501	8750	87	17
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	8	1	15542	5371	43	5
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	23	1	15045	4921	67	9
Mladež HDZ	HDZ - Hrvatska demokratska zajednica	426737060720348	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	19	1	13622	5210	42	4
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	10	1	12775	4440	48	7
Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	22	1	12565	5768	29	3
European Greens	European Greens	141366725876424	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	6	1	9906	4323	33	12
Goran Pauk	HDZ - Hrvatska demokratska zajednica	581489628528785	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	3	1	8450	1690	16	0
Joško Klisović	Klisovic Josko	1262594650584725	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	14	1	5034	1495	18	0
Željana Zovko	HDZ - Hrvatska demokratska zajednica	1203134436474667	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	18	1	4484	924	23	0
Model European Union Zagreb - MEUZ	Divea Studio	521874817895935	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	5	1	4076	1751	4	0
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	8	1	3407	681	8	0
BIOM	BIOM	138743669505642	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	9	1	3354	780	11	0
Marijana Petir	Marijana Petir	1418903245032313	Facebook	split_dalmatia_county	Split-Dalmatia County	HR	Croatia	8	1	3001	981	10	1
