advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	50k_100k	50k - 100k	HU	Hungary	24	1	2399976	1200000	6654	2909
Kálmán Olga Hivatalos oldala	Kálmán Olga Hivatalos oldala	1878531865537365	Facebook	50k_100k	50k - 100k	HU	Hungary	23	1	2299977	1150000	7118	3002
Fidesz	Fidesz	9844779306	Facebook	50k_100k	50k - 100k	HU	Hungary	15	1	1499985	750000	11607	5138
Alfahír	Alfahír Hírportál	525574220799452	Facebook	50k_100k	50k - 100k	HU	Hungary	14	1	1399986	700000	4023	1826
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	50k_100k	50k - 100k	HU	Hungary	10	1	999532	499771	2475	1052
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	50k_100k	50k - 100k	HU	Hungary	9	1	899824	449916	1547	402
Gyurcsány Ferenc	Demokratikus Koalíció	187301974635606	Facebook	50k_100k	50k - 100k	HU	Hungary	8	1	799991	399999	2940	1423
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	50k_100k	50k - 100k	HU	Hungary	6	1	599994	300000	1547	588
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	50k_100k	50k - 100k	HU	Hungary	6	1	599994	300000	1238	433
MSZP	MSZP	115388925185513	Facebook	50k_100k	50k - 100k	HU	Hungary	4	1	399996	200000	1083	495
European Parliament	European Parliament	178362315106	Facebook	50k_100k	50k - 100k	HU	Hungary	3	1	299997	150000	1097	200
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	50k_100k	50k - 100k	HU	Hungary	3	1	299997	150000	1547	773
Gyöngyösi Márton	Jobbik Magyarországért Mozgalom	781030738624077	Facebook	50k_100k	50k - 100k	HU	Hungary	3	1	299997	150000	1083	495
KDNP és Frakciója	KDNP és Frakciója	230385242742	Facebook	50k_100k	50k - 100k	HU	Hungary	3	1	299996	149999	464	92
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	50k_100k	50k - 100k	HU	Hungary	2	1	199998	100000	464	185
Sneider Tamás	Országgyűlés Hivatala Jobbik Frakció	329107800543535	Facebook	50k_100k	50k - 100k	HU	Hungary	2	1	199997	99999	619	309
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	50k_100k	50k - 100k	HU	Hungary	2	1	199997	99999	619	309
Partizán	Gulyás Márton Ferenc	1406386486355924	Facebook	50k_100k	50k - 100k	HU	Hungary	2	1	199996	99999	464	185
European Commission	European Commission	107898832590939	Facebook	50k_100k	50k - 100k	HU	Hungary	2	1	102581	51291	501	100
Indítsuk Be Magyarországot Alapítvány	Indítsuk Be Magyarországot Alapítvány	422399638586608	Facebook	50k_100k	50k - 100k	HU	Hungary	1	1	99999	50000	619	309
PestiSracok.hu	PestiSrácok.hu	264517713636590	Facebook	50k_100k	50k - 100k	HU	Hungary	1	1	99999	50000	309	154
Alapjogokért Központ	Alapjogokért Központ	594088897289853	Facebook	50k_100k	50k - 100k	HU	Hungary	1	1	99999	50000	1547	619
Európai Parlament Tájékoztatási Irodája	Európai Parlament Tájékoztatási Irodája	126893087354793	Facebook	50k_100k	50k - 100k	HU	Hungary	1	1	99999	49999	154	30
Momentum Újbuda	Momentum Mozgalom	1947426878644256	Facebook	50k_100k	50k - 100k	HU	Hungary	1	1	99999	50000	309	154
Jakab Péter	Jobbik Magyarországért Mozgalom	781150971947219	Facebook	50k_100k	50k - 100k	HU	Hungary	1	1	99999	50000	309	154
