advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	m55_64	male (55-64)	IE	Ireland	14	1	127307	55371	476	126
Malcolm Byrne	Malcolm Byrne Page	34812247970	Facebook	m55_64	male (55-64)	IE	Ireland	27	1	69671	17321	644	116
Mark Durkan	Fine Gael	2002340613394109	Facebook	m55_64	male (55-64)	IE	Ireland	9	1	67335	32528	571	272
Fine Gael	Fine Gael	264172043210	Facebook	m55_64	male (55-64)	IE	Ireland	6	1	57395	23823	502	131
Sean Kelly MEP	Sean Kelly MEP	340786422717552	Facebook	m55_64	male (55-64)	IE	Ireland	45	1	52674	15651	587	36
Deirdre Clune MEP	Deirdre Clune MEP	516116248507364	Facebook	m55_64	male (55-64)	IE	Ireland	26	1	52043	18007	380	78
Fianna Fáil	Fianna Fáil	222629035132	Facebook	m55_64	male (55-64)	IE	Ireland	21	1	48710	20336	171	25
Luke 'Ming' Flanagan MEP	Luke 'Ming' Flanagan MEP	182354901841834	Facebook	m55_64	male (55-64)	IE	Ireland	4	1	46344	19831	618	130
Maria Walsh	Fine Gael	883806764992893	Facebook	m55_64	male (55-64)	IE	Ireland	6	1	40019	17099	316	95
Dr. Fidelma Healy Eames Independent Candidate, EU elections	Healy Eames Fidelma	395965057626422	Facebook	m55_64	male (55-64)	IE	Ireland	25	1	34866	8566	279	32
Sinn Féin Ireland	Sinn Féin	148726998530273	Facebook	m55_64	male (55-64)	IE	Ireland	8	1	33456	13149	168	30
Frances Fitzgerald	Fine Gael	302584593224671	Facebook	m55_64	male (55-64)	IE	Ireland	2	1	31349	12539	313	62
Leo Varadkar T.D.	Fine Gael	178974912140818	Facebook	m55_64	male (55-64)	IE	Ireland	10	1	26528	10315	181	56
Michael  O'Dowd for Europe	O'Dowd Michael Joseph	878147035569806	Facebook	m55_64	male (55-64)	IE	Ireland	7	1	19770	7208	151	24
Aontú	Toibin Peadar Pol	1052704411520149	Facebook	m55_64	male (55-64)	IE	Ireland	2	1	18764	7132	127	56
European Greens	European Greens	141366725876424	Facebook	m55_64	male (55-64)	IE	Ireland	4	1	18402	9096	378	78
Andrew Doyle	Andrew Doyle	200875073325354	Facebook	m55_64	male (55-64)	IE	Ireland	10	1	18262	4411	173	33
Gary Gannon 4 Europe	The Gary Gannon 4 Europe Campaign	691388720903801	Facebook	m55_64	male (55-64)	IE	Ireland	5	1	18218	8253	47	9
Sheila Nunan for Europe	The Labour Party	786865738356162	Facebook	m55_64	male (55-64)	IE	Ireland	1	1	17491	6996	174	34
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	m55_64	male (55-64)	IE	Ireland	5	1	16860	6947	108	33
Matt Carthy	Carthy Matt	580216935345125	Facebook	m55_64	male (55-64)	IE	Ireland	3	1	15431	7716	61	12
Saoirse McHugh for MEP	Green Party Ireland	2242183922693730	Facebook	m55_64	male (55-64)	IE	Ireland	5	1	14745	6373	112	35
Mick Wallace	Oonan Christopher Patrick	346069865514537	Facebook	m55_64	male (55-64)	IE	Ireland	1	1	14676	7338	73	36
Cllr. Éilis Ryan for Europe	The Workers' Party of Ireland	787376334669425	Facebook	m55_64	male (55-64)	IE	Ireland	6	1	14315	2859	144	28
Pro Life Campaign Ireland	Pro Life Campaign Ireland	224615650378	Facebook	m55_64	male (55-64)	IE	Ireland	4	1	13226	4706	132	47
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m55_64	male (55-64)	IE	Ireland	15	1	12374	3509	73	6
Department of Politics and Public Administration UL		190855980950496	Facebook	m55_64	male (55-64)	IE	Ireland	3	1	10211	2042	20	0
Referendum Commission	Referendum Commission	580832208630212	Facebook	m55_64	male (55-64)	IE	Ireland	9	1	9839	2556	90	17
Clare Daly	Clare Daly	304407706241836	Facebook	m55_64	male (55-64)	IE	Ireland	5	1	9228	2745	52	0
Adrienne Wallace - People Before Profit	Wallace Adrienne Catherine	1555518121383424	Facebook	m55_64	male (55-64)	IE	Ireland	13	1	8927	1985	78	0
Josiah Burke	Burke Josiah Emmanuelle	162814401227663	Facebook	m55_64	male (55-64)	IE	Ireland	3	1	8926	1785	95	16
Peter Casey	Casey Peter Joseph	1473814189502078	Facebook	m55_64	male (55-64)	IE	Ireland	29	1	8604	1669	232	4
Social Democrats	Social Democrats	1012851375393300	Facebook	m55_64	male (55-64)	IE	Ireland	35	1	7946	1719	93	0
Clare Claffey Social Democrats	Social Democrats Laois Offaly	289004898593218	Facebook	m55_64	male (55-64)	IE	Ireland	8	1	7838	1715	29	0
Independent Ireland	Ryan Purcell Walter	758725787550554	Facebook	m55_64	male (55-64)	IE	Ireland	5	1	7744	1544	97	11
Barry Andrews for Europe	Barry Andrews	188114061407	Facebook	m55_64	male (55-64)	IE	Ireland	26	1	7525	2651	100	2
Labour Party	Labour Party	164027949687	Facebook	m55_64	male (55-64)	IE	Ireland	2	1	7479	3740	44	5
Alex White	Mc Kinney Eunan Anthony	58389344622	Facebook	m55_64	male (55-64)	IE	Ireland	2	1	7282	2531	54	10
Brendan Smith TD	Brendan Smith 	287458667963046	Facebook	m55_64	male (55-64)	IE	Ireland	2	1	6794	3397	30	6
Protect Life		541250599362726	Facebook	m55_64	male (55-64)	IE	Ireland	12	1	6784	3392	67	0
Fiona Nolan Fianna Fáil	Sweeney Simon Martin	2220109951652114	Facebook	m55_64	male (55-64)	IE	Ireland	4	1	6697	1526	18	0
Mark Carey - City West - Time for Change	Steamboat	433481587460366	Facebook	m55_64	male (55-64)	IE	Ireland	7	1	6087	1564	63	8
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	m55_64	male (55-64)	IE	Ireland	3	1	5878	1175	23	0
Malachy Hand - FF Local Election Candidate for South Roscommon	Hand Malachy	949185501928800	Facebook	m55_64	male (55-64)	IE	Ireland	6	1	5713	1631	38	0
Luke Crowley-Holland	CROWLEY-HOLLAND LUKE	404745130303486	Facebook	m55_64	male (55-64)	IE	Ireland	7	1	5499	1406	62	10
EPP Group in the European Parliament	EPP Group in the European Parliament	291699857688	Facebook	m55_64	male (55-64)	IE	Ireland	1	1	5059	2529	12	2
Alice Mary Higgins for Europe	Alice Mary Higgins	1055105841226515	Facebook	m55_64	male (55-64)	IE	Ireland	3	1	4922	984	12	0
Horseworldeu		106222951129	Facebook	m55_64	male (55-64)	IE	Ireland	2	1	4147	829	8	0
Paul Mulville	Paul Mulville	170053833201393	Facebook	m55_64	male (55-64)	IE	Ireland	4	1	4096	1105	18	0
Denise McMorrow for Dublin 2019	Mc Morrow Denise	438930423601172	Facebook	m55_64	male (55-64)	IE	Ireland	13	1	4072	1061	53	0
John McGahon	John Mcgahon	1408702926037982	Facebook	m55_64	male (55-64)	IE	Ireland	2	1	4026	805	22	3
Samantha Long - Independent - Dublin City Council Local Elections 2019	Long Samantha	2274952412827323	Facebook	m55_64	male (55-64)	IE	Ireland	1	1	3838	767	7	0
Life Institute		158325247540273	Facebook	m55_64	male (55-64)	IE	Ireland	1	1	3578	715	35	7
TENI - Transgender Equality Network Ireland	TENI - Transgender Equality Network Ireland	182348645122723	Facebook	m55_64	male (55-64)	IE	Ireland	34	1	3364	616	103	0
Liam Minehan	Minehan Liam	657837987964520	Facebook	m55_64	male (55-64)	IE	Ireland	1	1	3223	644	6	0
Paul Nolan - Social Democrats Meath East	King John	1838758749501583	Facebook	m55_64	male (55-64)	IE	Ireland	5	1	3089	617	39	4
Catherine Stocker SocDems	Stocker Matthew	173573370153556	Facebook	m55_64	male (55-64)	IE	Ireland	5	1	3087	608	19	0
Breandán Anraoi MacGabhann	Breandán Anraoi MacGabhann (Green Party)	1682603511977567	Facebook	m55_64	male (55-64)	IE	Ireland	3	1	3032	674	31	5
Cyril Brennan - People Before Profit	People Before Profit - Midlands North West	164750800796944	Facebook	m55_64	male (55-64)	IE	Ireland	3	1	2963	846	18	0
Fionn Kiely - Local Election Candidate - Gort Kinvara	Kiely Fionn Kevin	357397571772969	Facebook	m55_64	male (55-64)	IE	Ireland	4	1	2900	703	15	0
Joe O Riordan Independent Election Candidate Waterford County Council 2019	O'RIORDAN NICHOLAS ANTHONY	436709017145632	Facebook	m55_64	male (55-64)	IE	Ireland	4	1	2813	562	33	4
Cllr Sharon Tolan East Meath	Tolan Sharon Mary	562597020485832	Facebook	m55_64	male (55-64)	IE	Ireland	2	1	2724	681	8	0
Cllr Ossian Smyth	Smyth Ossian Francis	1269409019742709	Facebook	m55_64	male (55-64)	IE	Ireland	1	1	2628	525	26	5
