advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Malcolm Byrne	Malcolm Byrne Page	34812247970	Facebook	kilkenny	Kilkenny	IE	Ireland	13	1	67596	13841	682	129
Orla Kelly	Orla Kelly	284729489119670	Facebook	kilkenny	Kilkenny	IE	Ireland	3	1	19997	7000	297	0
Fine Gael	Fine Gael	264172043210	Facebook	kilkenny	Kilkenny	IE	Ireland	2	1	9557	3823	95	19
Fianna Fáil	Fianna Fáil	222629035132	Facebook	kilkenny	Kilkenny	IE	Ireland	2	1	6783	3391	30	6
Andrew Doyle	Andrew Doyle	200875073325354	Facebook	kilkenny	Kilkenny	IE	Ireland	10	1	3597	1409	25	4
Deirdre Clune MEP	Deirdre Clune MEP	516116248507364	Facebook	kilkenny	Kilkenny	IE	Ireland	13	1	2186	976	12	3
Adrienne Wallace - People Before Profit	Wallace Adrienne Catherine	1555518121383424	Facebook	kilkenny	Kilkenny	IE	Ireland	11	1	1044	177	31	0
Sheila Nunan for Europe	The Labour Party	786865738356162	Facebook	kilkenny	Kilkenny	IE	Ireland	1	1	954	381	9	1
European Parliament	European Parliament	178362315106	Facebook	kilkenny	Kilkenny	IE	Ireland	15	1	764	332	2	0
Mick Wallace	Oonan Christopher Patrick	346069865514537	Facebook	kilkenny	Kilkenny	IE	Ireland	1	1	544	272	2	1
European Greens	European Greens	141366725876424	Facebook	kilkenny	Kilkenny	IE	Ireland	7	1	413	195	4	0
Labour Party	Labour Party	164027949687	Facebook	kilkenny	Kilkenny	IE	Ireland	4	1	199	99	0	0
Referendum Commission	Referendum Commission	580832208630212	Facebook	kilkenny	Kilkenny	IE	Ireland	1	1	193	96	0	0
Leo Varadkar T.D.	Fine Gael	178974912140818	Facebook	kilkenny	Kilkenny	IE	Ireland	3	1	155	41	1	0
Independent Ireland	Ryan Purcell Walter	758725787550554	Facebook	kilkenny	Kilkenny	IE	Ireland	5	1	150	29	1	0
Department of Politics and Public Administration UL		190855980950496	Facebook	kilkenny	Kilkenny	IE	Ireland	2	1	126	25	0	0
Sinn Féin Ireland	Sinn Féin	148726998530273	Facebook	kilkenny	Kilkenny	IE	Ireland	4	1	124	57	0	0
Pro Life Campaign Ireland	Pro Life Campaign Ireland	224615650378	Facebook	kilkenny	Kilkenny	IE	Ireland	4	1	109	37	1	0
Liam Minehan	Minehan Liam	657837987964520	Facebook	kilkenny	Kilkenny	IE	Ireland	1	1	96	19	0	0
TENI - Transgender Equality Network Ireland	TENI - Transgender Equality Network Ireland	182348645122723	Facebook	kilkenny	Kilkenny	IE	Ireland	71	1	74	14	2	0
Transmitter		264627431202	Facebook	kilkenny	Kilkenny	IE	Ireland	1	1	58	11	0	0
Amnesty International-Ireland	Amnesty International-Ireland	158961023733	Facebook	kilkenny	Kilkenny	IE	Ireland	4	1	55	26	0	0
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	kilkenny	Kilkenny	IE	Ireland	2	1	26	5	0	0
Peter Casey	Casey Peter Joseph	1473814189502078	Facebook	kilkenny	Kilkenny	IE	Ireland	11	1	22	4	0	0
Protect Life		541250599362726	Facebook	kilkenny	Kilkenny	IE	Ireland	2	1	16	8	0	0
