advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Social Democrats	Social Democrats	1012851375393300	Facebook	50_100	50 - 100	IE	Ireland	37	1	2651	681	11	0
Malcolm Byrne	Malcolm Byrne Page	34812247970	Facebook	50_100	50 - 100	IE	Ireland	14	1	1652	357	4	0
Fianna Fáil	Fianna Fáil	222629035132	Facebook	50_100	50 - 100	IE	Ireland	15	1	1129	314	4	0
Sean Kelly MEP	Sean Kelly MEP	340786422717552	Facebook	50_100	50 - 100	IE	Ireland	42	1	1098	373	12	0
TENI - Transgender Equality Network Ireland	TENI - Transgender Equality Network Ireland	182348645122723	Facebook	50_100	50 - 100	IE	Ireland	87	1	921	189	26	0
Dr. Fidelma Healy Eames Independent Candidate, EU elections	Healy Eames Fidelma	395965057626422	Facebook	50_100	50 - 100	IE	Ireland	21	1	877	267	6	0
sortedfestivalessentials		343551302970040	Facebook	50_100	50 - 100	IE	Ireland	2	1	782	130	16	0
Green Party Ireland	Green Party Ireland	108339693065	Facebook	50_100	50 - 100	IE	Ireland	4	1	778	249	1	0
Clare Claffey Social Democrats	Social Democrats Laois Offaly	289004898593218	Facebook	50_100	50 - 100	IE	Ireland	8	1	700	149	2	0
Sinn Féin Ireland	Sinn Féin	148726998530273	Facebook	50_100	50 - 100	IE	Ireland	4	1	622	124	1	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	50_100	50 - 100	IE	Ireland	16	1	541	102	4	0
Barry Andrews for Europe	Barry Andrews	188114061407	Facebook	50_100	50 - 100	IE	Ireland	25	1	529	189	7	0
Deirdre Clune MEP	Deirdre Clune MEP	516116248507364	Facebook	50_100	50 - 100	IE	Ireland	14	1	529	124	4	0
Adrienne Wallace - People Before Profit	Wallace Adrienne Catherine	1555518121383424	Facebook	50_100	50 - 100	IE	Ireland	14	1	504	118	4	0
Fiona Nolan Fianna Fáil	Sweeney Simon Martin	2220109951652114	Facebook	50_100	50 - 100	IE	Ireland	4	1	498	108	1	0
Alice Mary Higgins for Europe	Alice Mary Higgins	1055105841226515	Facebook	50_100	50 - 100	IE	Ireland	5	1	485	96	1	0
Department of Politics and Public Administration UL		190855980950496	Facebook	50_100	50 - 100	IE	Ireland	3	1	466	93	0	0
Peter Casey	Casey Peter Joseph	1473814189502078	Facebook	50_100	50 - 100	IE	Ireland	29	1	420	84	8	0
Fine Gael Limerick City	Breen Colm Timothy	137766716313436	Facebook	50_100	50 - 100	IE	Ireland	5	1	389	96	1	0
Protect Life		541250599362726	Facebook	50_100	50 - 100	IE	Ireland	12	1	373	186	3	0
Luke Crowley-Holland	CROWLEY-HOLLAND LUKE	404745130303486	Facebook	50_100	50 - 100	IE	Ireland	4	1	373	93	1	0
Denise McMorrow for Dublin 2019	Mc Morrow Denise	438930423601172	Facebook	50_100	50 - 100	IE	Ireland	13	1	348	87	4	0
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	50_100	50 - 100	IE	Ireland	3	1	326	65	0	0
Horseworldeu		106222951129	Facebook	50_100	50 - 100	IE	Ireland	2	1	311	62	0	0
Clare Daly	Clare Daly	304407706241836	Facebook	50_100	50 - 100	IE	Ireland	5	1	264	80	1	0
