advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	65_	65+	IT	Italy	68	1	1266717	527446	6728	1436
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	65_	65+	IT	Italy	10	1	1002178	471438	5097	1117
European Parliament	European Parliament	178362315106	Facebook	65_	65+	IT	Italy	10	1	981573	478191	5367	1063
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	65_	65+	IT	Italy	21	1	927313	397135	5812	1315
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	65_	65+	IT	Italy	11	1	847287	414058	4463	889
Caterina Cerroni	Caterina Cerroni	1618719834925589	Facebook	65_	65+	IT	Italy	23	1	684446	319157	4928	1078
Brando Benifei	Brando Benifei	291380024325396	Facebook	65_	65+	IT	Italy	22	1	595787	237160	3850	897
Angelo Ciocca	Angelo Ciocca	479212098810360	Facebook	65_	65+	IT	Italy	11	1	583073	257783	4531	1030
Avaaz	Avaaz	8340223883	Facebook	65_	65+	IT	Italy	33	1	573100	257265	2445	827
Nicola Clerici europee 2019 M5S	Nicola Clerici	2340174086227422	Facebook	65_	65+	IT	Italy	37	1	529129	166191	2981	679
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	65_	65+	IT	Italy	30	1	526556	209085	2871	734
Simona Bonafè	Simona Bonafè	145437958954905	Facebook	65_	65+	IT	Italy	35	1	501385	168066	3941	709
Nicola Danti	Nicola Danti	241424056063716	Facebook	65_	65+	IT	Italy	26	1	446876	148673	2843	441
Forza Italia	Forza Italia	172265396249029	Facebook	65_	65+	IT	Italy	10	1	442804	180447	1821	525
Più Europa Vercelli	Carloalberto Polidori	527235457776008	Facebook	65_	65+	IT	Italy	14	1	379084	158284	2003	356
Deputati PD	Deputati PD	104652392900508	Facebook	65_	65+	IT	Italy	23	1	348852	71501	820	0
European Commission	European Commission	107898832590939	Facebook	65_	65+	IT	Italy	12	1	322079	141750	352	112
Federica Picchi	Federica Picchi	362494797700891	Facebook	65_	65+	IT	Italy	31	1	305766	98478	1832	324
Partito Democratico	Partito Democratico	77034286895	Facebook	65_	65+	IT	Italy	55	1	299934	125575	1838	298
Lara Comi	Lara Comi	155619044465389	Facebook	65_	65+	IT	Italy	21	1	292049	120466	1836	371
Carmine Spiaggia	Carmine Spiaggia	425820797979047	Facebook	65_	65+	IT	Italy	4	1	291065	119787	1698	415
Carlo Calenda	Siamo Europei	131887960826264	Facebook	65_	65+	IT	Italy	11	1	288211	137695	1228	270
Più Europa	Più Europa	126662574668084	Facebook	65_	65+	IT	Italy	5	1	284875	132132	1588	394
