advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	m13_17	male (13-17)	IT	Italy	1	1	88812	44406	44	8
European Commission	European Commission	107898832590939	Facebook	m13_17	male (13-17)	IT	Italy	3	1	40206	16219	42	8
ISPI - Istituto per gli studi di politica internazionale	ISPI - Istituto per gli studi di politica internazionale	171795872872353	Facebook	m13_17	male (13-17)	IT	Italy	2	1	5962	1192	27	0
Angela Russo	Angela Russo 	1624334387651107	Facebook	m13_17	male (13-17)	IT	Italy	2	1	1016	203	2	0
Deputati PD	Deputati PD	104652392900508	Facebook	m13_17	male (13-17)	IT	Italy	4	1	686	167	2	0
Matteo Melato - Lega Reggio Emilia	Matteo Melato 	539466976169977	Facebook	m13_17	male (13-17)	IT	Italy	1	1	278	0	27	0
Giosi Ferrandino	Giosi Ferrandino	141856142632410	Facebook	m13_17	male (13-17)	IT	Italy	2	1	200	40	1	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	m13_17	male (13-17)	IT	Italy	2	1	167	39	0	0
Stefano Passarini	Stefano Passarini	573828172688916	Facebook	m13_17	male (13-17)	IT	Italy	2	1	157	0	15	0
Luca Vidoni	Luca Onorio Vidoni	392986254173330	Facebook	m13_17	male (13-17)	IT	Italy	2	1	152	26	4	0
Elena Gentile	Elena Gentile	1426435657576038	Facebook	m13_17	male (13-17)	IT	Italy	2	1	151	60	1	0
Enrico Zucchi - Lega Prato	Enrico Zucchi	707579962958222	Facebook	m13_17	male (13-17)	IT	Italy	1	1	108	0	10	0
Lorenzo Vignali	Lorenzo Vignali	229114191886	Facebook	m13_17	male (13-17)	IT	Italy	2	1	94	0	9	0
Per Chiesina Uzzanese	Per Chiesina Uzzanese - Di Nuovo Insieme	1402850209999395	Facebook	m13_17	male (13-17)	IT	Italy	1	1	62	0	6	0
Fabio Candalice	Fabio Candalice	929896213793987	Facebook	m13_17	male (13-17)	IT	Italy	1	1	62	12	1	0
Luisa Regimenti	Luisa Regimenti	201996906606311	Facebook	m13_17	male (13-17)	IT	Italy	1	1	45	22	0	0
Fabio Amendolara	Fabio Amendolara	122191987831675	Facebook	m13_17	male (13-17)	IT	Italy	2	1	44	5	2	0
Lista Civica "ProgettiAmo Savignano"	Enrico Tagliavini	2111477435580468	Facebook	m13_17	male (13-17)	IT	Italy	1	1	40	0	3	0
Silvia Sardone	Silvia Sardone	667483386685540	Facebook	m13_17	male (13-17)	IT	Italy	1	1	37	0	3	0
Movimento Cinque Stelle Folignano	Diego Di Ovidio	363976727107282	Facebook	m13_17	male (13-17)	IT	Italy	2	1	32	6	0	0
MalnateSostenibile	Lista civica Malnate Sostenibile	397809613568460	Facebook	m13_17	male (13-17)	IT	Italy	2	1	31	0	3	0
Eraldo Ciangherotti	Eraldo Ciangherotti	1020725961324733	Facebook	m13_17	male (13-17)	IT	Italy	1	1	23	4	0	0
Gianluca Festa	Gianluca Festa	1414627525508278	Facebook	m13_17	male (13-17)	IT	Italy	1	1	18	3	0	0
Centrodestra per cambiare con Pacetti sindaco	Manuel Gianfelici	292638348325601	Facebook	m13_17	male (13-17)	IT	Italy	1	1	12	2	0	0
PD Palo del Colle	Gabriella Sasso	1578164322435113	Facebook	m13_17	male (13-17)	IT	Italy	1	1	10	2	0	0
