advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
déi gréng	déi gréng	21710789873	Facebook	rd2	Last 2 days	LU	Luxembourg	35	1	960754	280404	5432	875
Mischel Sylvie	Sylvie Suzette Renee Mischel	155913575037227	Facebook	rd2	Last 2 days	LU	Luxembourg	17	1	291865	62817	2848	530
ADR  - Alternativ Demokratesch Reformpartei	ADR	115916035102253	Facebook	rd2	Last 2 days	LU	Luxembourg	13	1	220114	44023	1922	371
DP - Demokratesch Partei	DP - Demokratesch Partei	280875378609326	Facebook	rd2	Last 2 days	LU	Luxembourg	10	1	213052	87477	1380	456
déi jonk gréng	Déi jonk gréng	197451906960613	Facebook	rd2	Last 2 days	LU	Luxembourg	12	1	211660	54999	893	66
CSV	CSV	56016549775	Facebook	rd2	Last 2 days	LU	Luxembourg	20	1	174887	38785	1274	189
déi Lénk	déi Lénk	120444648033670	Facebook	rd2	Last 2 days	LU	Luxembourg	13	1	125243	31916	697	16
European Parliament	European Parliament	178362315106	Facebook	rd2	Last 2 days	LU	Luxembourg	7	1	114829	24166	879	116
Give Us A Voice Lëtzebuerg		1505184473073824	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	65682	32841	1641	328
CSJ - Chrëschtlech-Sozial Jugend	CSJ - Chrëschtlech-Sozial Jugend	118614251515164	Facebook	rd2	Last 2 days	LU	Luxembourg	3	1	50664	9999	164	0
LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	47216059667	Facebook	rd2	Last 2 days	LU	Luxembourg	3	1	47736	18119	225	28
Volt Luxembourg	Volt Luxembourg	766459183561998	Facebook	rd2	Last 2 days	LU	Luxembourg	8	1	46304	10154	255	0
Christopher Lilyblad	Christopher Lilyblad	163909507424327	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	16666	3333	166	33
Greenpeace Luxembourg	Greenpeace Luxembourg	67370457805	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	16666	3333	32	0
Piraten Bezierk Osten		141480992729926	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	12353	2470	123	24
Gary Diderich	Gary Diderich	73144437219	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	6249	1250	62	12
Julia Elisabetta Pitterman	Volt Luxembourg	2235333396715580	Facebook	rd2	Last 2 days	LU	Luxembourg	4	1	6026	1205	119	0
Wee2050 / Nee2015	Wee2050 / Nee2015	889354561125041	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	4999	2500	49	0
Marc ANGEL	Marc Angel	1404458223105541	Facebook	rd2	Last 2 days	LU	Luxembourg	3	1	4398	799	118	0
Marc Spautz		143237373145276	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	2222	1111	21	0
Marc Goergen		2139886662711123	Facebook	rd2	Last 2 days	LU	Luxembourg	2	1	2166	1000	36	0
EPP Group in the European Parliament	EPP Group in the European Parliament	291699857688	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	2145	1072	5	1
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	rd2	Last 2 days	LU	Luxembourg	3	1	1512	662	3	1
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	rd2	Last 2 days	LU	Luxembourg	13	1	1283	424	5	0
Piraten Lëtzebuerg		183148710560	Facebook	rd2	Last 2 days	LU	Luxembourg	2	1	1249	200	44	0
Piraten Bezierk Süden		659368007411223	Facebook	rd2	Last 2 days	LU	Luxembourg	4	1	699	0	69	0
Roy Reding		734660406636837	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	499	0	49	0
Piratepartei Bezierk Norden		494284087327520	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	249	0	24	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	163	32	0	0
Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	rd2	Last 2 days	LU	Luxembourg	10	1	84	26	0	0
European Greens	European Greens	141366725876424	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	83	0	8	0
CDH liste à la Chambre province de Liège	CDH - Centre Démocrate Humaniste	268478507423505	Facebook	rd2	Last 2 days	LU	Luxembourg	9	1	75	35	0	0
Big News Buzz		125179374733697	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	46	23	0	0
Europe Thinx		335839580440114	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	42	8	0	0
MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	rd2	Last 2 days	LU	Luxembourg	12	1	32	9	0	0
Vivant   Ostbelgien	Vivant Ostbelgien	1440393739538888	Facebook	rd2	Last 2 days	LU	Luxembourg	4	1	22	7	0	0
Olivier Chastel	MR - Mouvement Réformateur	36858143935	Facebook	rd2	Last 2 days	LU	Luxembourg	4	1	14	3	0	0
ETUC		129041250601685	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	11	2	0	0
Volt Deutschland	Volt Deutschland	134209407129787	Facebook	rd2	Last 2 days	LU	Luxembourg	3	1	7	1	0	0
SPD Rheinland-Pfalz	SPD Rheinland-Pfalz	330165526782	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	6	3	0	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	6	3	0	0
Eurozine		115579498521257	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	6	1	0	0
Melanie Blesgen, Candidate aux élections régionales 2019	Melanie Blesgen	408261873079490	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	3	0	0	0
Alexander Miesen	Alexander Marcellus Miesen	136747073688457	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	2	0	0	0
Minister Harald Mollers	Harald Mollers	1869992013240347	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	1	0	0	0
Simon Bultot, 3ème à la Chambre, Liste PS	Simon Fabrice Bultot	2180842748675219	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	0	0	0	0
Justice for Daphne Caruana Galizia		245601565462724	Facebook	rd2	Last 2 days	LU	Luxembourg	1	1	0	0	0	0
