advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDA	CDA	320374518118	Facebook	d142	2019-05-22	NL	Netherlands	7	1	1024997	467500	6122	1450
Partij van de Arbeid (PvdA)	Partij van de Arbeid (PvdA)	113895885305052	Facebook	d142	2019-05-22	NL	Netherlands	24	1	935215	394807	4556	1616
GroenLinks	GroenLinks	175740570505	Facebook	d142	2019-05-22	NL	Netherlands	13	1	890826	379666	9677	2274
Volt Nederland	Volt Nederland	146644665960101	Facebook	d142	2019-05-22	NL	Netherlands	112	1	809714	316750	6764	900
VVD	VVD	121264564551002	Facebook	d142	2019-05-22	NL	Netherlands	20	1	614823	290500	3207	600
Elke Stem Telt	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	1443518785699143	Facebook	d142	2019-05-22	NL	Netherlands	4	1	591664	233333	1531	600
European Parliament	European Parliament	178362315106	Facebook	d142	2019-05-22	NL	Netherlands	4	1	539997	253332	3632	786
De Goede Zaak	DeGoedeZaak	264564577356897	Facebook	d142	2019-05-22	NL	Netherlands	8	1	525829	215916	3647	783
CDA Zuid-Holland	CDA Zuid-Holland	1523833891223465	Facebook	d142	2019-05-22	NL	Netherlands	37	1	442481	174000	2431	150
D66	D66	52985377549	Facebook	d142	2019-05-22	NL	Netherlands	14	1	437475	187496	1987	383
Partij voor de Dieren	Partij voor de Dieren	102287806490622	Facebook	d142	2019-05-22	NL	Netherlands	11	1	286734	128268	2159	807
Esther de Lange	Esther de Lange	206205079489175	Facebook	d142	2019-05-22	NL	Netherlands	9	1	286080	124916	808	128
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	d142	2019-05-22	NL	Netherlands	3	1	199998	100000	1498	750
Henk Jan Ormel	CDA	823537391322678	Facebook	d142	2019-05-22	NL	Netherlands	2	1	169972	68320	365	166
Gert-Jan Segers	ChristenUnie	147772805659767	Facebook	d142	2019-05-22	NL	Netherlands	6	1	126664	40333	1281	400
ChristenUnie	ChristenUnie	211661062254003	Facebook	d142	2019-05-22	NL	Netherlands	20	1	126247	62500	747	125
SP	SP	128393027527	Facebook	d142	2019-05-22	NL	Netherlands	9	1	120746	54750	1421	550
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	d142	2019-05-22	NL	Netherlands	4	1	118424	51712	618	119
European Greens	European Greens	141366725876424	Facebook	d142	2019-05-22	NL	Netherlands	2	1	113604	56802	2839	568
Paul Tang	PvdA	208020512703248	Facebook	d142	2019-05-22	NL	Netherlands	6	1	100498	43200	433	75
Jesse Klaver	GroenLinks	687496011309020	Facebook	d142	2019-05-22	NL	Netherlands	1	1	99999	49999	499	100
Malik Azmani	Malik Azmani	1734459723547461	Facebook	d142	2019-05-22	NL	Netherlands	26	1	89274	30949	949	66
Vera Tax	PvdA	712637722497338	Facebook	d142	2019-05-22	NL	Netherlands	4	1	79706	17425	396	50
Vote for a Woman / Stem op een Vrouw		1329572193784367	Facebook	d142	2019-05-22	NL	Netherlands	4	1	74127	29064	628	234
Daan Versteeg	Versteeg Daniel R	1010657719133321	Facebook	d142	2019-05-22	NL	Netherlands	39	1	73049	21307	1146	33
