advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	55_64	55-64	RO	Romania	20	1	1664355	774258	3900	1582
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	55_64	55-64	RO	Romania	35	1	1352427	609145	3695	879
European Parliament	European Parliament	178362315106	Facebook	55_64	55-64	RO	Romania	14	1	1311908	608982	3316	764
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	55_64	55-64	RO	Romania	10	1	957103	463509	2034	424
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	55_64	55-64	RO	Romania	15	1	594529	274709	1147	262
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	55_64	55-64	RO	Romania	44	1	492150	221019	618	131
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	55_64	55-64	RO	Romania	26	1	438667	188894	623	181
European Commission	European Commission	107898832590939	Facebook	55_64	55-64	RO	Romania	12	1	381212	155104	739	359
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	55_64	55-64	RO	Romania	5	1	360349	145528	152	74
Norica Nicolai	Increase Digital	121265151226126	Facebook	55_64	55-64	RO	Romania	30	1	350705	110120	631	108
Calin Popescu Tariceanu	EvolveDreamSoft	227922987222524	Facebook	55_64	55-64	RO	Romania	2	1	342602	171301	668	334
RMDSZ	RMDSZ	102601499822802	Facebook	55_64	55-64	RO	Romania	64	1	335068	96819	802	154
PLUS	PLUS	1903580739951981	Facebook	55_64	55-64	RO	Romania	2	1	273253	114310	573	146
Partidul Mișcarea Populară	Amerisoft	581911828514783	Facebook	55_64	55-64	RO	Romania	16	1	272800	116764	355	96
Erdélyi magyarok Orbán Viktor mellett	Erdélyi magyarok Orbán Viktor mellett	1537537942983268	Facebook	55_64	55-64	RO	Romania	37	1	264931	61652	603	103
Virgil Popescu	POPESCU VIRGIL-DANIEL	1641765056062575	Facebook	55_64	55-64	RO	Romania	7	1	230954	81513	488	96
Kárpát-medencei Magyar Összefogás	Kárpát-medencei Magyar Összefogás	221361328752151	Facebook	55_64	55-64	RO	Romania	41	1	230238	61001	554	82
USR Sibiu	Uniunea Salvați România	1028428697211383	Facebook	55_64	55-64	RO	Romania	25	1	229382	60970	462	124
PNL Oradea	PNL Oradea	304085190083197	Facebook	55_64	55-64	RO	Romania	31	1	208494	73485	553	178
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	55_64	55-64	RO	Romania	9	1	202860	79723	387	80
USR Brașov	Uniunea Salvați România	1723480164579572	Facebook	55_64	55-64	RO	Romania	10	1	193735	81828	588	182
PRO România	Networld IT&C SRL	2177244962290894	Facebook	55_64	55-64	RO	Romania	20	1	192133	53053	365	75
Csíkország	Csíkország	2229168487164126	Facebook	55_64	55-64	RO	Romania	53	1	176817	41206	364	60
PNL Bucuresti	Rus Alexandra	678840505584990	Facebook	55_64	55-64	RO	Romania	15	1	175903	51958	381	94
Simona Maria Vlădica	Amerisoft	236992636715917	Facebook	55_64	55-64	RO	Romania	6	1	149805	70192	176	59
