advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	m65_	male (65+)	RO	Romania	1	1	39619	15847	79	39
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	m65_	male (65+)	RO	Romania	4	1	26505	10897	36	12
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	m65_	male (65+)	RO	Romania	2	1	15250	7625	23	11
USR Maramureș	USR Maramureș	1750327845246533	Facebook	m65_	male (65+)	RO	Romania	1	1	8236	3294	17	3
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	m65_	male (65+)	RO	Romania	2	1	6852	1882	12	2
Romania #nuepsd	Future Innovation	293215748279337	Facebook	m65_	male (65+)	RO	Romania	1	1	6080	2432	2	1
RMDSZ	RMDSZ	102601499822802	Facebook	m65_	male (65+)	RO	Romania	10	1	4295	1093	4	0
USR Hunedoara	Uniunea Salvați România - USR	250986431933338	Facebook	m65_	male (65+)	RO	Romania	2	1	4141	828	8	1
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	m65_	male (65+)	RO	Romania	2	1	3884	1140	6	0
USR Sibiu	Uniunea Salvați România	1028428697211383	Facebook	m65_	male (65+)	RO	Romania	5	1	3389	677	9	0
USR Bihor	Uniunea Salvați România Filiala Bihor	1592660281028385	Facebook	m65_	male (65+)	RO	Romania	4	1	3192	1069	5	1
Simona Maria Vlădica	Amerisoft	236992636715917	Facebook	m65_	male (65+)	RO	Romania	2	1	3138	1010	6	0
PNL Oradea	PNL Oradea	304085190083197	Facebook	m65_	male (65+)	RO	Romania	4	1	3119	680	7	1
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	m65_	male (65+)	RO	Romania	3	1	2897	597	10	4
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	m65_	male (65+)	RO	Romania	1	1	2770	1385	14	2
Partidul Mișcarea Populară	Amerisoft	581911828514783	Facebook	m65_	male (65+)	RO	Romania	1	1	2509	501	1	0
USR Filiala Județeană Hunedoara	Uniunea Salvați România - USR	2380746071976634	Facebook	m65_	male (65+)	RO	Romania	1	1	2286	457	4	0
USR Bistrița-Năsăud	Stan Calin	1097122383697273	Facebook	m65_	male (65+)	RO	Romania	4	1	2281	426	7	0
Adrian Mocanu	Mocanu Adrian	1750234035208501	Facebook	m65_	male (65+)	RO	Romania	1	1	2281	456	4	0
Virgil Popescu	POPESCU VIRGIL-DANIEL	1641765056062575	Facebook	m65_	male (65+)	RO	Romania	1	1	2076	415	4	0
Gabriel Daraban	Dumio	170290960472201	Facebook	m65_	male (65+)	RO	Romania	12	1	2008	470	8	0
USR Deva	Uniunea Salvați România - USR	712674922236299	Facebook	m65_	male (65+)	RO	Romania	2	1	1979	377	5	0
USR Hațeg	Uniunea Salvați România - USR	426799654422553	Facebook	m65_	male (65+)	RO	Romania	1	1	1926	385	4	0
Legyen ELÉG	Legyen Elég	1500893963467932	Facebook	m65_	male (65+)	RO	Romania	4	1	1637	297	9	0
ALDE BACĂU - Partidul Alianța Liberalilor și Democraților	Partidul Alianța Liberalilor și Democraților - ALDE	535445976897124	Facebook	m65_	male (65+)	RO	Romania	2	1	1492	746	15	3
USR Călan	Uniunea Salvați România - USR	1942492232464096	Facebook	m65_	male (65+)	RO	Romania	1	1	1461	292	3	0
European Commission	European Commission	107898832590939	Facebook	m65_	male (65+)	RO	Romania	2	1	1388	694	3	0
Erdélyi magyarok Orbán Viktor mellett	Erdélyi magyarok Orbán Viktor mellett	1537537942983268	Facebook	m65_	male (65+)	RO	Romania	5	1	1338	459	7	0
Corina Cretu	Corina Cretu	200813406761691	Facebook	m65_	male (65+)	RO	Romania	3	1	1248	249	5	0
Socioblog.ro	ZODIAN ALEXANDRU-SERBAN	815735411826201	Facebook	m65_	male (65+)	RO	Romania	1	1	1138	227	4	0
USR Caraș-Severin	Uniunea Salvați România	1556903897946498	Facebook	m65_	male (65+)	RO	Romania	2	1	1131	226	2	0
PNL Bucuresti	Rus Alexandra	678840505584990	Facebook	m65_	male (65+)	RO	Romania	2	1	1002	372	2	0
USR Sector 5	Uniunea Salvați România	1460571894265803	Facebook	m65_	male (65+)	RO	Romania	1	1	937	187	0	0
Kárpát-medencei Magyar Összefogás	Kárpát-medencei Magyar Összefogás	221361328752151	Facebook	m65_	male (65+)	RO	Romania	1	1	736	368	1	0
Radu Mihaiu	Mihaiu Radu-Nicolae	689386518104305	Facebook	m65_	male (65+)	RO	Romania	1	1	654	130	2	0
USR Arad	Uniunea Salvați Romania	1210260295704425	Facebook	m65_	male (65+)	RO	Romania	1	1	647	323	1	0
USR Petroșani	Uniunea Salvați România - USR	1624764627827202	Facebook	m65_	male (65+)	RO	Romania	2	1	625	109	3	0
MH TIMES	MINCULEASA CLAUDIU-NICOLAE	559977200816313	Facebook	m65_	male (65+)	RO	Romania	2	1	593	118	2	0
Cristian Chirteș	EUROPA DNS	309525925854654	Facebook	m65_	male (65+)	RO	Romania	4	1	529	105	2	0
Mihai Goţiu	Uniunea Salvați România	602280189818804	Facebook	m65_	male (65+)	RO	Romania	1	1	505	252	1	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	m65_	male (65+)	RO	Romania	2	1	501	150	2	0
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	m65_	male (65+)	RO	Romania	1	1	483	96	2	0
Kelemen Hunor	RMDSZ	175293925828191	Facebook	m65_	male (65+)	RO	Romania	2	1	448	198	1	0
USR Prahova	USR Prahova	1385405838141456	Facebook	m65_	male (65+)	RO	Romania	2	1	386	57	3	0
Antal Lóránt	Diversity Advertising	490181697757865	Facebook	m65_	male (65+)	RO	Romania	1	1	381	76	1	0
USR Gorj	Uniunea Salvați România	979274598853221	Facebook	m65_	male (65+)	RO	Romania	1	1	360	72	1	0
Filimon Tezolato	FILIMON-TEZOLATO ADRIAN	319400161992089	Facebook	m65_	male (65+)	RO	Romania	1	1	203	40	0	0
PNL Constanţa	PNL Constanţa	422079857963680	Facebook	m65_	male (65+)	RO	Romania	1	1	196	39	0	0
Ionel Arsene	Ionel Arsene	298765223557508	Facebook	m65_	male (65+)	RO	Romania	1	1	194	38	0	0
PNL Mures	EUROPA DNS	143378845861681	Facebook	m65_	male (65+)	RO	Romania	2	1	182	0	3	0
USR Zalău	Uniunea Salavati Romania Filiala Salaj	260094808237890	Facebook	m65_	male (65+)	RO	Romania	1	1	169	84	0	0
USR Sighetu Marmației	USR Maramureș	166649027305554	Facebook	m65_	male (65+)	RO	Romania	1	1	159	79	0	0
USR Vaslui	Uniunea Salvați România	526411640878009	Facebook	m65_	male (65+)	RO	Romania	2	1	115	0	2	0
Daniel Marinac		191781881583981	Facebook	m65_	male (65+)	RO	Romania	2	1	114	0	10	0
Vincze Loránt	Vincze Loránt	675042232534141	Facebook	m65_	male (65+)	RO	Romania	1	1	112	56	0	0
ALDE - Partidul Alianta Liberalilor si Democratilor Constanta	Dumio	1573385822939865	Facebook	m65_	male (65+)	RO	Romania	1	1	102	0	2	0
Gregoriana Tudoran	Tudoran Gregoriana Carmen	1985293741779690	Facebook	m65_	male (65+)	RO	Romania	1	1	96	0	2	0
Drobeta Online - Stiri din Mehedinti	Vasilan Pavel-Mihai	1133575306806915	Facebook	m65_	male (65+)	RO	Romania	2	1	95	41	0	0
Norica Nicolai	Increase Digital	121265151226126	Facebook	m65_	male (65+)	RO	Romania	1	1	82	0	1	0
Good Affairs		750408395070231	Facebook	m65_	male (65+)	RO	Romania	1	1	68	0	1	0
Takacs Zoltan	Takacs Zoltan	1827240594259659	Facebook	m65_	male (65+)	RO	Romania	1	1	38	0	0	0
Todoran Adrian	Deputat Adrian Todoran	378450619599004	Facebook	m65_	male (65+)	RO	Romania	1	1	16	3	0	0
Ionel Bogdan	Rus Alexandra	1449284915381234	Facebook	m65_	male (65+)	RO	Romania	1	1	4	0	0	0
Eurolapins	Pulse of Europe France	755726434768654	Facebook	m65_	male (65+)	RO	Romania	1	1	0	0	0	0
