advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	m	male	RO	Romania	43	1	4803435	2075368	7612	1588
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	m	male	RO	Romania	20	1	4521677	2098025	10444	4265
European Commission	European Commission	107898832590939	Facebook	m	male	RO	Romania	27	1	3899495	1847678	9963	2529
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	m	male	RO	Romania	31	1	3373305	1516738	8640	2092
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m	male	RO	Romania	12	1	3199061	1546933	6165	1280
European Parliament	European Parliament	178362315106	Facebook	m	male	RO	Romania	15	1	2927069	1351037	8274	1987
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	m	male	RO	Romania	15	1	2876333	1319233	3544	806
Partidul Mișcarea Populară	Amerisoft	581911828514783	Facebook	m	male	RO	Romania	16	1	1565124	687303	1978	527
PLUS	PLUS	1903580739951981	Facebook	m	male	RO	Romania	3	1	1531733	715867	2167	453
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	m	male	RO	Romania	26	1	1381895	620905	1827	584
PNL Oradea	PNL Oradea	304085190083197	Facebook	m	male	RO	Romania	34	1	1119117	420060	2576	785
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	m	male	RO	Romania	9	1	1093493	495260	1202	270
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	m	male	RO	Romania	5	1	1024245	418754	439	205
USR Iași	Uniunea Salvați România - USR	1792449434342411	Facebook	m	male	RO	Romania	21	1	947237	429347	4477	1322
RMDSZ	RMDSZ	102601499822802	Facebook	m	male	RO	Romania	65	1	939169	261533	2069	389
Norica Nicolai	Increase Digital	121265151226126	Facebook	m	male	RO	Romania	30	1	850746	272044	1511	266
USR Bihor	Uniunea Salvați România Filiala Bihor	1592660281028385	Facebook	m	male	RO	Romania	22	1	782500	302108	1155	345
Csíkország	Csíkország	2229168487164126	Facebook	m	male	RO	Romania	53	1	726582	168264	1439	235
USR Brașov	Uniunea Salvați România	1723480164579572	Facebook	m	male	RO	Romania	10	1	725933	307236	2449	600
USR Sibiu	Uniunea Salvați România	1028428697211383	Facebook	m	male	RO	Romania	26	1	684740	191454	1330	361
USR Dolj	Uniunea Salvați România	109556372802910	Facebook	m	male	RO	Romania	25	1	674326	223083	2781	721
USR Arad	Uniunea Salvați Romania	1210260295704425	Facebook	m	male	RO	Romania	17	1	643126	249792	2116	640
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m	male	RO	Romania	33	1	633581	243701	2788	449
Cristian Ghinea	Uniunea Salvați România	269505079808785	Facebook	m	male	RO	Romania	11	1	625486	251625	498	93
Claudiu Manda	Partidul Social Democrat	199635566715473	Facebook	m	male	RO	Romania	4	1	623152	253499	1161	260
Declic	Declic	686190454826244	Facebook	m	male	RO	Romania	3	1	601780	251073	687	168
USR Cluj	Partidul Uniunea Salvati România	287761518247055	Facebook	m	male	RO	Romania	18	1	579707	204563	1134	355
USR Sector 5	Uniunea Salvați România	1460571894265803	Facebook	m	male	RO	Romania	10	1	564468	209533	1112	275
România în primul rând	Future Innovation	770704223323599	Facebook	m	male	RO	Romania	2	1	551748	275874	579	115
PRO România	Networld IT&C SRL	2177244962290894	Facebook	m	male	RO	Romania	20	1	547188	164954	1201	298
USR Sector 2	Uniunea Salvați România	706663502771254	Facebook	m	male	RO	Romania	14	1	546941	229398	2917	605
USR Argeș	Uniunea Salvati Romania	987000488084806	Facebook	m	male	RO	Romania	22	1	533045	158879	745	128
Calin Popescu Tariceanu	EvolveDreamSoft	227922987222524	Facebook	m	male	RO	Romania	2	1	530404	265202	974	487
Ionel Dancă	ETIS Design	227578001357165	Facebook	m	male	RO	Romania	6	1	527570	232924	425	152
