advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	100_1k	100 - 1k	RO	Romania	29	1	6193037	2781304	9088	2007
European Commission	European Commission	107898832590939	Facebook	100_1k	100 - 1k	RO	Romania	21	1	4581039	2081435	6238	2380
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	100_1k	100 - 1k	RO	Romania	39	1	3742045	1713952	10190	2669
Parlamentul European, Biroul de Informare în Romania	Parlamentul European, Biroul de Informare în Romania	138896782840976	Facebook	100_1k	100 - 1k	RO	Romania	14	1	3660525	1666276	4248	1039
European Parliament	European Parliament	178362315106	Facebook	100_1k	100 - 1k	RO	Romania	8	1	3599987	1599998	4991	1599
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	100_1k	100 - 1k	RO	Romania	12	1	3312862	1602887	6396	1342
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	100_1k	100 - 1k	RO	Romania	5	1	2093040	846522	888	429
PNL Oradea	PNL Oradea	304085190083197	Facebook	100_1k	100 - 1k	RO	Romania	34	1	1697844	654275	3944	1483
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	100_1k	100 - 1k	RO	Romania	13	1	1660443	706991	3846	1021
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	100_1k	100 - 1k	RO	Romania	9	1	1572306	734981	1113	285
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	100_1k	100 - 1k	RO	Romania	26	1	1540854	699608	2073	730
PLUS	PLUS	1903580739951981	Facebook	100_1k	100 - 1k	RO	Romania	4	1	1438694	692574	1897	442
Partidul Mișcarea Populară	Amerisoft	581911828514783	Facebook	100_1k	100 - 1k	RO	Romania	11	1	1216644	560616	1533	496
USR Bihor	Uniunea Salvați România Filiala Bihor	1592660281028385	Facebook	100_1k	100 - 1k	RO	Romania	19	1	1072902	451727	1570	566
USR Arad	Uniunea Salvați Romania	1210260295704425	Facebook	100_1k	100 - 1k	RO	Romania	17	1	1054671	440473	3145	1133
USR Iași	Uniunea Salvați România - USR	1792449434342411	Facebook	100_1k	100 - 1k	RO	Romania	12	1	1012278	469165	4472	1210
RMDSZ	RMDSZ	102601499822802	Facebook	100_1k	100 - 1k	RO	Romania	40	1	909457	266325	2112	486
Declic	Declic	686190454826244	Facebook	100_1k	100 - 1k	RO	Romania	3	1	860779	353617	821	227
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	100_1k	100 - 1k	RO	Romania	16	1	860739	357377	3353	809
USR Brașov	Uniunea Salvați România	1723480164579572	Facebook	100_1k	100 - 1k	RO	Romania	9	1	828445	343495	2624	777
USR Dolj	Uniunea Salvați România	109556372802910	Facebook	100_1k	100 - 1k	RO	Romania	22	1	823545	274320	3419	999
Norica Nicolai	Increase Digital	121265151226126	Facebook	100_1k	100 - 1k	RO	Romania	11	1	768080	274669	1563	312
Ionel Dancă	ETIS Design	227578001357165	Facebook	100_1k	100 - 1k	RO	Romania	5	1	762821	324434	566	239
Claudiu Manda	Partidul Social Democrat	199635566715473	Facebook	100_1k	100 - 1k	RO	Romania	3	1	735217	314087	1334	329
USR Sibiu	Uniunea Salvați România	1028428697211383	Facebook	100_1k	100 - 1k	RO	Romania	20	1	700075	215369	1458	481
USR Sector 5	Uniunea Salvați România	1460571894265803	Facebook	100_1k	100 - 1k	RO	Romania	8	1	665429	278030	1226	371
USR Cluj	Partidul Uniunea Salvati România	287761518247055	Facebook	100_1k	100 - 1k	RO	Romania	16	1	645424	228869	1424	537
USR Sector 6	Uniunea Salvati Romania	1656475137918717	Facebook	100_1k	100 - 1k	RO	Romania	13	1	606990	245586	1600	698
USR Maramureș	USR Maramureș	1750327845246533	Facebook	100_1k	100 - 1k	RO	Romania	7	1	602742	237621	1852	559
România în primul rând	Future Innovation	770704223323599	Facebook	100_1k	100 - 1k	RO	Romania	2	1	581998	290999	611	122
USR Sector 2	Uniunea Salvați România	706663502771254	Facebook	100_1k	100 - 1k	RO	Romania	12	1	544563	236695	2801	623
Csíkország	Csíkország	2229168487164126	Facebook	100_1k	100 - 1k	RO	Romania	25	1	544291	111651	1219	244
Romania #nuepsd	Future Innovation	293215748279337	Facebook	100_1k	100 - 1k	RO	Romania	1	1	535478	267739	562	112
PRO România	Networld IT&C SRL	2177244962290894	Facebook	100_1k	100 - 1k	RO	Romania	17	1	534946	183738	1151	356
Cosette Chichirău	Uniunea Salvați România - USR	329619180721358	Facebook	100_1k	100 - 1k	RO	Romania	5	1	533031	239743	1945	452
Nicu Ștefănuță	Uniunea Salvați România - USR	279454772645662	Facebook	100_1k	100 - 1k	RO	Romania	9	1	529118	221648	761	278
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	100_1k	100 - 1k	RO	Romania	12	1	516365	179339	1743	601
Simona Maria Vlădica	Amerisoft	236992636715917	Facebook	100_1k	100 - 1k	RO	Romania	5	1	516207	251127	566	239
Cristian Ghinea	Uniunea Salvați România	269505079808785	Facebook	100_1k	100 - 1k	RO	Romania	8	1	511732	204694	390	78
Viorel Catarama	Dreapta Liberala	795022763862618	Facebook	100_1k	100 - 1k	RO	Romania	4	1	507092	253547	1192	427
Rares Bogdan	ETIS Design	204397909629079	Facebook	100_1k	100 - 1k	RO	Romania	1	1	499999	200000	209	105
Departamentul pentru Comunicații și Societate Informațională al PSD	Partidul Social Democrat	346281832652995	Facebook	100_1k	100 - 1k	RO	Romania	1	1	499999	200000	209	105
