advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Sverigedemokraterna Eskilstuna	Fredriksson Kim David	161935043870264	Facebook	sodermanland_county	Södermanland County	SE	Sweden	4	1	56996	11000	573	138
Miljöpartiet de gröna i Katrineholm	Miljöpartiet de gröna i Katrineholm	744040148974429	Facebook	sodermanland_county	Södermanland County	SE	Sweden	10	1	49953	15234	849	220
Socialdemokraterna i Eskilstuna	Socialdemokraterna i Eskilstuna 	272041890388	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	19827	9914	501	100
Linus Lakso - MP	Miljöpartiet de gröna	1038425926323402	Facebook	sodermanland_county	Södermanland County	SE	Sweden	9	1	13013	5003	110	18
Kristdemokraterna Sörmland	Tinglöf Miriam Monica Mariana	1633975010236193	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	10110	5022	93	46
Moderaterna	Moderaterna	7719591155	Facebook	sodermanland_county	Södermanland County	SE	Sweden	128	1	9806	3853	153	37
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	sodermanland_county	Södermanland County	SE	Sweden	59	1	9667	4253	58	14
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	sodermanland_county	Södermanland County	SE	Sweden	45	1	6238	2682	79	24
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	sodermanland_county	Södermanland County	SE	Sweden	82	1	6108	2176	98	30
Socialdemokraterna i Nyköping	Socialdemokraterna i Nyköping	109911525800180	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	4999	1000	46	9
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	sodermanland_county	Södermanland County	SE	Sweden	363	1	4244	1402	77	17
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	sodermanland_county	Södermanland County	SE	Sweden	39	1	4008	1835	42	9
Arba Kokalari	Moderaterna i Stockholms stad och län	355819811185620	Facebook	sodermanland_county	Södermanland County	SE	Sweden	12	1	3688	749	16	4
Ebba Busch Thor	Kristdemokraterna	661702230515862	Facebook	sodermanland_county	Södermanland County	SE	Sweden	29	1	3286	1169	18	7
Miljöpartiet de gröna i Gnesta	Miljöpartiet de Gröna i Gnesta	288168764608020	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	3099	619	43	17
Moderaterna i Södermanland	Moderaterna	144955505526463	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	2997	0	27	0
European Parliament	European Parliament	178362315106	Facebook	sodermanland_county	Södermanland County	SE	Sweden	19	1	2939	1338	24	8
Centerpartiet	Centerpartiet	12690894340	Facebook	sodermanland_county	Södermanland County	SE	Sweden	28	1	2466	1055	40	16
European Commission	European Commission	107898832590939	Facebook	sodermanland_county	Södermanland County	SE	Sweden	24	1	2335	1151	14	4
Socialdemokraterna i Katrineholm		126125844249254	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	1998	0	18	0
Sara Skyttedal	Sara Skyttedal	249195615122371	Facebook	sodermanland_county	Södermanland County	SE	Sweden	40	1	1797	574	32	10
SSU	SSU	45101268520	Facebook	sodermanland_county	Södermanland County	SE	Sweden	38	1	1581	607	25	6
European Greens	European Greens	141366725876424	Facebook	sodermanland_county	Södermanland County	SE	Sweden	9	1	1493	694	17	6
Plan International Sverige	Plan International Sverige	382243262003	Facebook	sodermanland_county	Södermanland County	SE	Sweden	32	1	1432	612	11	3
Said till Europaparlamentet	Liberalernas riksorganisation	1509050235995572	Facebook	sodermanland_county	Södermanland County	SE	Sweden	22	1	1381	487	18	5
Vänsterpartiet	Vänsterpartiet	323156205347	Facebook	sodermanland_county	Södermanland County	SE	Sweden	74	1	1248	307	8	1
Centerpartiets Ungdomsförbund	Centerpartiets Ungdomsförbund	110793008936879	Facebook	sodermanland_county	Södermanland County	SE	Sweden	9	1	1033	456	9	2
Moderaterna i Eskilstuna		278736088808574	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	999	0	9	0
Frivilliga Familjehem i Österåker		126710901300090	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	999	0	9	0
Alternativ för Sverige	Alternativ för Sverige	270592853332987	Facebook	sodermanland_county	Södermanland County	SE	Sweden	7	1	935	426	20	4
Liberalerna Norrköping	Liberalerna Norrköping	225505640849010	Facebook	sodermanland_county	Södermanland County	SE	Sweden	12	1	874	175	8	2
