advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Socialdemokraterna Västmanland	Socialdemokraterna Västmanland	439408222749809	Facebook	vastmanland_county	Västmanland County	SE	Sweden	8	1	231411	55283	2620	551
Moderaterna i Region Västmanland	Moderaterna Västmanland	161086337290646	Facebook	vastmanland_county	Västmanland County	SE	Sweden	4	1	29996	12000	1064	240
Liberalerna Västmanland	Liberalerna Västmanland	112927778743586	Facebook	vastmanland_county	Västmanland County	SE	Sweden	4	1	15028	3006	138	27
Lina Eriksson	Lina Eriksson	273049170050654	Facebook	vastmanland_county	Västmanland County	SE	Sweden	7	1	10993	1000	175	27
Moderaterna	Moderaterna	7719591155	Facebook	vastmanland_county	Västmanland County	SE	Sweden	127	1	10576	4173	163	38
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	vastmanland_county	Västmanland County	SE	Sweden	59	1	10499	4603	63	15
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	vastmanland_county	Västmanland County	SE	Sweden	46	1	6249	2689	82	24
Liberalerna Västerås	Liberalerna Västerås	39940078116	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	6004	1001	138	55
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	vastmanland_county	Västmanland County	SE	Sweden	363	1	5901	1959	116	26
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	vastmanland_county	Västmanland County	SE	Sweden	68	1	5662	1529	96	37
Vänsterpartiet Västmanland	Vänsterpartiet Västmanland	1438013249820378	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	4999	1000	46	9
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	vastmanland_county	Västmanland County	SE	Sweden	39	1	4607	2091	51	11
Arba Kokalari	Moderaterna i Stockholms stad och län	355819811185620	Facebook	vastmanland_county	Västmanland County	SE	Sweden	11	1	3443	701	14	4
European Parliament	European Parliament	178362315106	Facebook	vastmanland_county	Västmanland County	SE	Sweden	20	1	2953	1337	26	9
Centerpartiet	Centerpartiet	12690894340	Facebook	vastmanland_county	Västmanland County	SE	Sweden	28	1	2545	1103	41	16
Moderaterna i Örebro län	Moderaterna i Örebro län	1622018661360930	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	2507	501	46	23
European Commission	European Commission	107898832590939	Facebook	vastmanland_county	Västmanland County	SE	Sweden	24	1	2393	1177	15	4
Moderaterna i Arboga	Soderland Anders Mikael	1307727569320278	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	2012	994	18	9
Sara Skyttedal	Sara Skyttedal	249195615122371	Facebook	vastmanland_county	Västmanland County	SE	Sweden	38	1	1962	596	21	7
Ebba Busch Thor	Kristdemokraterna	661702230515862	Facebook	vastmanland_county	Västmanland County	SE	Sweden	29	1	1928	620	17	6
SSU	SSU	45101268520	Facebook	vastmanland_county	Västmanland County	SE	Sweden	36	1	1716	651	27	6
Operation Smile Sverige	Operation Smile Sverige	161213770567846	Facebook	vastmanland_county	Västmanland County	SE	Sweden	98	1	1613	82	14	0
European Greens	European Greens	141366725876424	Facebook	vastmanland_county	Västmanland County	SE	Sweden	9	1	1422	658	17	5
Plan International Sverige	Plan International Sverige	382243262003	Facebook	vastmanland_county	Västmanland County	SE	Sweden	31	1	1364	581	10	3
Centerpartiets Ungdomsförbund	Centerpartiets Ungdomsförbund	110793008936879	Facebook	vastmanland_county	Västmanland County	SE	Sweden	9	1	1267	555	11	2
Said till Europaparlamentet	Liberalernas riksorganisation	1509050235995572	Facebook	vastmanland_county	Västmanland County	SE	Sweden	22	1	1132	387	15	4
Vänsterpartiet	Vänsterpartiet	323156205347	Facebook	vastmanland_county	Västmanland County	SE	Sweden	71	1	1110	227	7	1
Abir till Bryssel	Nyberg Claes Otto	252516142116820	Facebook	vastmanland_county	Västmanland County	SE	Sweden	30	1	1073	260	7	2
Alternativ för Sverige	Alternativ för Sverige	270592853332987	Facebook	vastmanland_county	Västmanland County	SE	Sweden	7	1	1050	476	22	5
Miljöpartiet de gröna i Västerås	Miljöpartiet de gröna i Västerås	170276156377688	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	999	0	9	0
Rädda Barnen	Rädda Barnen	72659261793	Facebook	vastmanland_county	Västmanland County	SE	Sweden	88	1	558	151	4	0
Stefan Löfven	Socialdemokraterna	329885883718979	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	558	223	20	10
Heléne Fritzon	Socialdemokraterna	767749640051136	Facebook	vastmanland_county	Västmanland County	SE	Sweden	20	1	532	116	4	1
Sveriges Kommunistiska Parti	Sveriges Kommunistiska Parti	133234606721672	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	491	100	4	0
Tomas Tobé	Moderaterna	1829725353928210	Facebook	vastmanland_county	Västmanland County	SE	Sweden	35	1	488	122	7	1
Sverige för UNHCR	Viva Media	643137272398136	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	453	225	7	1
LO Sverige	LO Sverige	163820136238	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	440	203	7	1
Gustav Hemming	Gustav Hemming (Centerpartiet)	722853564439941	Facebook	vastmanland_county	Västmanland County	SE	Sweden	7	1	429	111	7	1
Fredrick Federley	Fredrick Federley	189892183097	Facebook	vastmanland_county	Västmanland County	SE	Sweden	5	1	429	154	3	1
Svenskt Näringsliv	Svenskt Näringsliv	90882504375	Facebook	vastmanland_county	Västmanland County	SE	Sweden	5	1	415	196	9	2
Jordens Vänner / Friends of the Earth Sweden	Jordens Vänner / Friends of the Earth Sweden	207890945895422	Facebook	vastmanland_county	Västmanland County	SE	Sweden	7	1	396	129	1	0
Arabiska Teatern / أرابيسكا تياترن	Arabiska Teatern / أرابيسكا تياترن	996264337099052	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	393	195	1	0
Magnus Thulin - Centerpartiet	Thulin Magnus Nils Oscar	161302754576832	Facebook	vastmanland_county	Västmanland County	SE	Sweden	8	1	359	71	3	1
Emma Wiesner	Emma Wiesner (Centerpartiet)	653072158104424	Facebook	vastmanland_county	Västmanland County	SE	Sweden	11	1	329	67	2	0
Unga Feminister	Unga Feminister	100642360004457	Facebook	vastmanland_county	Västmanland County	SE	Sweden	9	1	328	90	3	0
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	vastmanland_county	Västmanland County	SE	Sweden	37	1	317	64	1	0
Diakonia	Diakonia	42676805259	Facebook	vastmanland_county	Västmanland County	SE	Sweden	13	1	306	94	1	0
IF Metall	IF Metall	108492218918	Facebook	vastmanland_county	Västmanland County	SE	Sweden	10	1	293	77	2	0
En Företagares Vardag	Eriksson Mats Ove	347852331958080	Facebook	vastmanland_county	Västmanland County	SE	Sweden	20	1	270	64	2	0
Skogsindustrierna	Skogsindustrierna 	182933185135	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	261	112	1	0
David Lega	Kristdemokraterna	251829904829983	Facebook	vastmanland_county	Västmanland County	SE	Sweden	6	1	250	56	3	0
Henrik Sundström - M	Sundström Claes Henrik	180745369170	Facebook	vastmanland_county	Västmanland County	SE	Sweden	8	1	224	48	1	0
Sverigedemokraterna Region Stockholm	SD Stockholm	1729304067391998	Facebook	vastmanland_county	Västmanland County	SE	Sweden	5	1	208	41	1	0
Feministiskt initiativ	Feministiskt initiativ	112513375470294	Facebook	vastmanland_county	Västmanland County	SE	Sweden	7	1	200	41	5	1
Allan Widman	Liberalerna	540799486089503	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	160	61	5	1
Annie Lööf	Centerpartiet	118943054880945	Facebook	vastmanland_county	Västmanland County	SE	Sweden	4	1	157	31	1	0
6F - Fackförbund i samverkan	6F - Fackförbund i samverkan	720556414800953	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	156	31	1	0
KDU Sverige	KDU Sverige	177549278946958	Facebook	vastmanland_county	Västmanland County	SE	Sweden	7	1	146	41	2	0
Nyhetssajten Europaportalen	Nyhetssajten Europaportalen	8005743307	Facebook	vastmanland_county	Västmanland County	SE	Sweden	6	1	143	35	1	0
Afram Yakoub	Yakuob Afram	1849562398465143	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	141	34	1	0
ABF	ABF	80386149597	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	133	66	0	0
Evin Incir	Socialdemokraterna i Uppsala län	1439778006254125	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	125	25	1	0
Kristdemokraterna Stockholm	Kristdemokraterna Stockholm	176875999028086	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	125	48	0	0
Djurens parti	Eriksson Monica Maria Therese	207364469446997	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	118	27	1	0
Kristdemokraterna Arboga	Stenzelius Jonas Peter Mikael	1083070925184919	Facebook	vastmanland_county	Västmanland County	SE	Sweden	7	1	117	21	1	0
Kryssa Birgitta Sacrédeus	Kristdemokraterna Dalarna	1452780184793248	Facebook	vastmanland_county	Västmanland County	SE	Sweden	5	1	116	22	2	0
Liberala ungdomsförbundet	Tilstam Emilie Josefin	108941769135355	Facebook	vastmanland_county	Västmanland County	SE	Sweden	5	1	111	22	1	0
Slöseriombudsmannen	Skattebetalarna	408171019221426	Facebook	vastmanland_county	Västmanland County	SE	Sweden	12	1	104	40	0	0
Medborgerlig Samling	Medborgerlig Samling	189332844828330	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	103	20	0	0
EU-kommissionen i Sverige	EU-kommissionen i Sverige	155824787799	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	103	41	0	0
WaterAid Sverige	WaterAid Sverige	175843834306	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	101	25	0	0
Jonas Sjöstedt		261331320599298	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	94	18	0	0
Skiftet	Skiftet	100650935646	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	87	20	0	0
Jessica Polfjärd	Moderaterna	337086006951883	Facebook	vastmanland_county	Västmanland County	SE	Sweden	4	1	84	25	1	0
Svensk Handel	Svensk Handel	120477444659925	Facebook	vastmanland_county	Västmanland County	SE	Sweden	5	1	74	21	0	0
Anders Rehnberg till Europaparlamentet	Rehnberg Anders John Henry	362678667854817	Facebook	vastmanland_county	Västmanland County	SE	Sweden	6	1	72	16	1	0
ActionAid Sweden	ActionAid Sweden	18880778360	Facebook	vastmanland_county	Västmanland County	SE	Sweden	8	1	72	15	0	0
Islamic Relief Sverige	Islamic Relief Sverige	121702404531696	Facebook	vastmanland_county	Västmanland County	SE	Sweden	25	1	70	11	0	0
