advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	rd1	Yesterday	UK	United Kingdom	49	1	455321	94366	1675	84
Swatch	Swatch	297973083586150	Facebook	rd1	Yesterday	UK	United Kingdom	25	1	324519	117047	3362	749
School Cuts	National Education Union	871798409656672	Facebook	rd1	Yesterday	UK	United Kingdom	26	1	157994	35200	688	23
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	rd1	Yesterday	UK	United Kingdom	98	1	137233	26545	5241	45
Jeremy Corbyn	The Labour Party	330250343871	Facebook	rd1	Yesterday	UK	United Kingdom	2	1	104998	51000	692	289
European Parliament	European Parliament	178362315106	Facebook	rd1	Yesterday	UK	United Kingdom	1	1	99998	50000	499	100
Global Justice Now	Global Justice Now	6707857033	Facebook	rd1	Yesterday	UK	United Kingdom	64	1	87150	23666	1938	19
Liana Saranga	Liana Saranga Gulcan	406430003544310	Facebook	rd1	Yesterday	UK	United Kingdom	34	1	84725	17999	2825	19
Renew	Renew  Party	1923371311278106	Facebook	rd1	Yesterday	UK	United Kingdom	80	1	78571	10055	4537	0
Liam Byrne	Liam Byrne MP	147894618876725	Facebook	rd1	Yesterday	UK	United Kingdom	16	1	77327	16500	793	38
The Labour Party	The Labour Party	25749647410	Facebook	rd1	Yesterday	UK	United Kingdom	1	1	66666	33333	385	192
38 Degrees	38 Degrees	200006375787	Facebook	rd1	Yesterday	UK	United Kingdom	6	1	57831	11566	289	28
WWF UK	WWF UK	311627208673	Facebook	rd1	Yesterday	UK	United Kingdom	3	1	56665	23333	269	46
Paul Bristow	The Conservative Party	293864561226540	Facebook	rd1	Yesterday	UK	United Kingdom	81	1	50308	12333	2941	23
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd1	Yesterday	UK	United Kingdom	96	1	49137	4316	3396	0
Peterborough Conservatives	The Conservative Party	1410613969166253	Facebook	rd1	Yesterday	UK	United Kingdom	84	1	45306	7200	3028	0
Trades Union Congress (TUC)	Trades Union Congress	124295177616347	Facebook	rd1	Yesterday	UK	United Kingdom	25	1	42325	14833	945	0
Green Lane Masjid	Green Lane Masjid & Community Centre	173087829397613	Facebook	rd1	Yesterday	UK	United Kingdom	2	1	41666	18333	211	38
Abortion Support Network	Abortion Support Network	171179209569823	Facebook	rd1	Yesterday	UK	United Kingdom	9	1	37747	10499	604	86
Chatham House	Chatham House	202798122688	Facebook	rd1	Yesterday	UK	United Kingdom	1	1	33333	16666	192	38
National Education Union	National Education Union	241312696375349	Facebook	rd1	Yesterday	UK	United Kingdom	1	1	33333	16666	192	96
Plaid Cymru	Plaid Cymru	26416930992	Facebook	rd1	Yesterday	UK	United Kingdom	2	1	29999	7500	345	57
Crisis	Crisis UK	6447117653	Facebook	rd1	Yesterday	UK	United Kingdom	19	1	26327	9666	687	0
Brexit - The Play	Thomas George Salinsky	962944977211240	Facebook	rd1	Yesterday	UK	United Kingdom	1	1	24999	5000	57	0
EPP Group in the European Parliament	EPP Group in the European Parliament	291699857688	Facebook	rd1	Yesterday	UK	United Kingdom	1	1	23527	11763	58	11
