recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	UK	United Kingdom	1123	187	2744470	759873	51678	2233
rd2	Last 2 days	2019-05-25	2019-05-26	UK	United Kingdom	1211	210	5947716	1655006	96963	4975
rd3	Last 3 days	2019-05-24	2019-05-26	UK	United Kingdom	1636	271	11962151	3406517	175115	9925
rd4	Last 4 days	2019-05-23	2019-05-26	UK	United Kingdom	7522	355	62735727	21076063	976906	106855
rd5	Last 5 days	2019-05-22	2019-05-26	UK	United Kingdom	8040	382	105781794	37721206	1491848	205150
rd6	Last 6 days	2019-05-21	2019-05-26	UK	United Kingdom	8586	388	127138121	45383177	1784478	249443
rw1	Last week	2019-05-20	2019-05-26	UK	United Kingdom	8973	398	141896241	50886681	1973574	277361
rw2	Last 2 weeks	2019-05-13	2019-05-26	UK	United Kingdom	9258	411	160205269	57645089	2176561	307046
rw3	Last 3 weeks	2019-05-06	2019-05-26	UK	United Kingdom	9258	411	160205269	57645089	2176561	307046
rw4	Last 4 weeks	2019-04-29	2019-05-26	UK	United Kingdom	9258	411	160205269	57645089	2176561	307046
rm1	Last month	2019-04-27	2019-05-26	UK	United Kingdom	9258	411	160205269	57645089	2176561	307046
rm2	Last 2 months	2019-03-28	2019-05-26	UK	United Kingdom	9258	411	160205269	57645089	2176561	307046
rm3	Last 3 months	2019-02-26	2019-05-26	UK	United Kingdom	9258	411	160205269	57645089	2176561	307046
rm6	Last 6 months	2019-01-01	2019-05-26	UK	United Kingdom	9258	411	160205269	57645089	2176561	307046
