age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	FI	Finland	European Parliament		178362315106	Facebook	45	1	232463	85586	2386	452
13_17	13-17	FI	Finland	Sosialidemokraatit SDP		108945982480217	Facebook	29	1	126065	41913	452	62
13_17	13-17	FI	Finland	Oatly		585888148224935	Facebook	3	1	117295	49052	606	151
13_17	13-17	FI	Finland	Euroopan komissio Suomessa - Europeiska kommissionen i Finland	Euroopan komissio Suomessa - Europeiska kommissionen i Finland	139489762782508	Facebook	4	1	110705	39420	175	0
13_17	13-17	FI	Finland	Lapsiasiavaltuutettu		576746312441238	Facebook	1	1	109869	54934	274	54
13_17	13-17	FI	Finland	XAMK - Kaakkois-Suomen ammattikorkeakoulu		1713318895550712	Facebook	29	1	46858	15505	475	8
13_17	13-17	FI	Finland	Itämeriprojekti		1585362805066825	Facebook	1	1	46387	23194	231	46
13_17	13-17	FI	Finland	Emma Kari		70955745948	Facebook	1	1	39726	7945	78	0
13_17	13-17	FI	Finland	Rasmus ry		725866417439712	Facebook	1	1	37782	7556	74	0
13_17	13-17	FI	Finland	Finlayson		201736349984	Facebook	1	1	24421	4884	48	0
13_17	13-17	FI	Finland	Neste Bensis		386964478028420	Facebook	1	1	14605	7303	72	14
13_17	13-17	FI	Finland	Kokoomus	Kokoomus	201285237101	Facebook	6	1	13101	3101	105	16
13_17	13-17	FI	Finland	Eduskuntavaaliehdokas Jenni Kiiskinen - Ylöjärven vihreät		393205937720831	Facebook	7	1	9555	1237	456	0
13_17	13-17	FI	Finland	Vihreät nuoret		362064961211	Facebook	5	1	8506	1386	293	0
13_17	13-17	FI	Finland	Kokoomusnuoret		28469960111	Facebook	1	1	8252	1650	16	0
13_17	13-17	FI	Finland	Porvoon Vasemmisto		449437091752029	Facebook	4	1	7647	3372	111	0
13_17	13-17	FI	Finland	Janika Takatalo	Takatalo Janika Emmi Kristiina	1380023342235751	Facebook	6	1	7590	1297	237	0
13_17	13-17	FI	Finland	Kieli Poskessa sarjakuva		734741850048942	Facebook	1	1	7543	3772	74	0
13_17	13-17	FI	Finland	Finlands svenska socialdemokrater - FSD		174819292560785	Facebook	1	1	6501	1300	12	0
13_17	13-17	FI	Finland	Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	30	1	6374	548	414	0
13_17	13-17	FI	Finland	Wholesome Culture		1664959567149320	Facebook	7	1	6292	2768	8	1
13_17	13-17	FI	Finland	Kate Kae		1820863678160878	Facebook	1	1	5978	2989	5	2
13_17	13-17	FI	Finland	Happyhappypandas		2235118046744006	Facebook	2	1	5485	913	181	0
13_17	13-17	FI	Finland	Liban Sheikh		302959147221497	Facebook	9	1	5374	1133	90	2
13_17	13-17	FI	Finland	Savo-Karjalan Luonto-Liitto		2557658880974539	Facebook	1	1	4999	1000	88	0
