audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
u13_17	unknown (13-17)	CZ	Czechia	Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	82	1	2808	634	1	0
u13_17	unknown (13-17)	CZ	Czechia	European Parliament		178362315106	Facebook	25	1	811	336	2	0
u13_17	unknown (13-17)	CZ	Czechia	Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	16	1	166	50	1	0
u13_17	unknown (13-17)	CZ	Czechia	Greens/EFA in the European Parliament		150527751674751	Facebook	17	1	128	56	0	0
u13_17	unknown (13-17)	CZ	Czechia	Greenpeace Česká republika	Greenpeace Česká republika	55876739776	Facebook	2	1	98	38	0	0
u13_17	unknown (13-17)	CZ	Czechia	Egomotion	Sklenar Jan	342123489585393	Facebook	1	1	83	16	0	0
u13_17	unknown (13-17)	CZ	Czechia	Mladí demokraté		171976652332	Facebook	4	1	71	14	0	0
u13_17	unknown (13-17)	CZ	Czechia	Senátor Václav Hampl	Höfer Karel	524288824339961	Facebook	2	1	54	9	0	0
u13_17	unknown (13-17)	CZ	Czechia	e.on		511324618972373	Facebook	2	1	50	24	0	0
u13_17	unknown (13-17)	CZ	Czechia	IGO bottle		588626198197868	Facebook	2	1	44	11	0	0
u13_17	unknown (13-17)	CZ	Czechia	Bistro Střecha		254846818312235	Facebook	1	1	39	7	0	0
u13_17	unknown (13-17)	CZ	Czechia	Wholesome Culture		1664959567149320	Facebook	7	1	36	16	0	0
u13_17	unknown (13-17)	CZ	Czechia	MC Hejtman		1838584856406893	Facebook	1	1	35	7	0	0
u13_17	unknown (13-17)	CZ	Czechia	On Your Sleeve	ON YOUR SLEEVE	247943179229148	Facebook	6	1	23	4	0	0
u13_17	unknown (13-17)	CZ	Czechia	Amazinc Skincare		222074311472291	Facebook	1	1	23	4	0	0
u13_17	unknown (13-17)	CZ	Czechia	Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	1	1	18	9	0	0
u13_17	unknown (13-17)	CZ	Czechia	Zámostí		460094517391603	Facebook	1	1	18	9	0	0
u13_17	unknown (13-17)	CZ	Czechia	Voxpot		799083753454179	Facebook	2	1	18	3	0	0
u13_17	unknown (13-17)	CZ	Czechia	Olga Sehnalová	Olga Sehnalová	474594005906021	Facebook	1	1	15	3	0	0
u13_17	unknown (13-17)	CZ	Czechia	Milion chvilek pro demokracii		728495140691300	Facebook	1	1	15	7	0	0
u13_17	unknown (13-17)	CZ	Czechia	Amica Store		550778458763036	Facebook	3	1	8	0	0	0
u13_17	unknown (13-17)	CZ	Czechia	Tuunes		992176580926495	Facebook	5	1	7	1	0	0
u13_17	unknown (13-17)	CZ	Czechia	Michaela Šojdrová	KDU-ČSL	733410133337387	Facebook	1	1	6	1	0	0
u13_17	unknown (13-17)	CZ	Czechia	European Commission		107898832590939	Facebook	3	1	6	3	0	0
u13_17	unknown (13-17)	CZ	Czechia	Create.Refresh	Create.Refresh	1736881926615141	Facebook	1	1	6	1	0	0
