week_code_filter	week_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	CZ	Czechia	ČSSD	ČSSD	111041662264882	Facebook	992	1	3490008	689000	15879	3377
w019	Week 19	CZ	Czechia	Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	88	1	3082342	1245857	10266	2861
w019	Week 19	CZ	Czechia	Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	37	1	1504842	601547	5196	1163
w019	Week 19	CZ	Czechia	Andrej Babiš	ANO	214827221987263	Facebook	4	1	1399996	700000	4469	1068
w019	Week 19	CZ	Czechia	Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	91	1	1379516	433777	2804	639
w019	Week 19	CZ	Czechia	TOP 09	TOP 09	90002267161	Facebook	25	1	1306109	535003	2456	791
w019	Week 19	CZ	Czechia	Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	15	1	1040876	418866	3261	794
w019	Week 19	CZ	Czechia	Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	19	1	1017702	320984	4502	1091
w019	Week 19	CZ	Czechia	Evropa společně	Evropa společně	535611970260854	Facebook	43	1	865270	291234	2751	684
w019	Week 19	CZ	Czechia	Pavel Poc	Poc Pavel	202974613060409	Facebook	15	1	774837	282314	1120	311
w019	Week 19	CZ	Czechia	Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	10	1	695826	249500	965	295
w019	Week 19	CZ	Czechia	Roman Kriz	Kriz Roman	382745889213194	Facebook	116	1	672403	157048	2364	545
w019	Week 19	CZ	Czechia	KDU-ČSL	KDU-ČSL	251656685576	Facebook	36	1	655028	255620	1684	413
w019	Week 19	CZ	Czechia	European Greens	European Greens	141366725876424	Facebook	5	1	437990	175913	889	433
w019	Week 19	CZ	Czechia	Olga Sehnalová	Olga Sehnalová	474594005906021	Facebook	19	1	298858	73482	790	199
w019	Week 19	CZ	Czechia	Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	42	1	272695	77249	569	147
w019	Week 19	CZ	Czechia	European Parliament		178362315106	Facebook	5	1	252866	126281	2921	584
w019	Week 19	CZ	Czechia	Martin Kuba	Martin Kuba	114474108677288	Facebook	3	1	199997	70000	971	427
w019	Week 19	CZ	Czechia	Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	12	1	177244	53604	876	279
w019	Week 19	CZ	Czechia	Humans of Piráti	Česká pirátská strana	1036986463173677	Facebook	19	1	173981	32000	706	132
w019	Week 19	CZ	Czechia	Programy do voleb	Štěpán Ryšavý - Programy do voleb	1033702273421005	Facebook	15	1	172081	56930	71	9
w019	Week 19	CZ	Czechia	MUDr. Gabriela Pecková - TOP 09	Vondryska Jan	113755299053	Facebook	18	1	148508	39028	685	154
w019	Week 19	CZ	Czechia	Greenpeace Česká republika	Greenpeace Česká republika	55876739776	Facebook	5	1	144996	29000	563	112
w019	Week 19	CZ	Czechia	Daniel Herman		378072105614553	Facebook	6	1	132115	54129	154	51
w019	Week 19	CZ	Czechia	Institute H21	Sova Miriam	1900532106849242	Facebook	3	1	128568	25714	366	83
