country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LU	Luxembourg	d133	2019-05-13	283	65	571424	219032	2433	276
LU	Luxembourg	d132	2019-05-12	301	70	674903	251001	2871	310
LU	Luxembourg	d131	2019-05-11	326	77	629427	241809	2628	313
LU	Luxembourg	d130	2019-05-10	333	78	628494	243445	2846	318
LU	Luxembourg	d129	2019-05-09	321	75	556532	186756	2497	243
LU	Luxembourg	d128	2019-05-08	320	75	578512	192873	2575	243
LU	Luxembourg	d127	2019-05-07	317	72	510022	175816	3169	252
LU	Luxembourg	d126	2019-05-06	303	72	365791	125249	2720	238
LU	Luxembourg	d125	2019-05-05	257	77	227459	75086	1523	151
LU	Luxembourg	d124	2019-05-04	261	73	318973	119153	1582	145
LU	Luxembourg	d123	2019-05-03	279	80	504414	162063	2824	247
LU	Luxembourg	d122	2019-05-02	278	76	294766	106901	1467	136
LU	Luxembourg	d121	2019-05-01	270	71	471568	140640	2631	298
LU	Luxembourg	d120	2019-04-30	315	79	559012	155416	3555	99
LU	Luxembourg	d119	2019-04-29	316	78	491969	173887	1859	114
LU	Luxembourg	d118	2019-04-28	280	76	256318	99843	1317	81
LU	Luxembourg	d117	2019-04-27	275	75	240546	96295	1267	115
LU	Luxembourg	d116	2019-04-26	314	81	257505	105116	1329	121
LU	Luxembourg	d115	2019-04-25	275	79	66024	15970	525	40
LU	Luxembourg	d114	2019-04-24	271	83	27962	7254	478	5
LU	Luxembourg	d113	2019-04-23	302	87	146224	33412	1033	112
LU	Luxembourg	d112	2019-04-22	273	92	44985	14195	316	20
LU	Luxembourg	d111	2019-04-21	282	96	39403	10692	279	18
LU	Luxembourg	d110	2019-04-20	276	99	44603	11303	309	22
LU	Luxembourg	d109	2019-04-19	309	110	154679	49602	1039	50
LU	Luxembourg	d108	2019-04-18	294	107	42883	10213	271	17
LU	Luxembourg	d107	2019-04-17	292	108	67837	15273	446	55
LU	Luxembourg	d106	2019-04-16	320	112	127906	37604	748	111
LU	Luxembourg	d105	2019-04-15	390	124	187052	51536	1251	120
LU	Luxembourg	d104	2019-04-14	400	136	171657	48994	855	39
